fetch_date,name,isin,type,day_n,open_date,close_date,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,gmp_rs,gmp_pct
2026-06-07,Hexagon Nutrition Ltd.,,MB,3,2026-06-05,2026-06-09,,,,,,
2026-06-07,Genxai Analytics Ltd.,,SME,3,2026-06-05,2026-06-09,,,,,,
2026-06-07,Vahh Chemicals Ltd.,,SME,4,2026-06-04,2026-06-08,,,,,,
2026-06-07,UHM Vacation Ltd.,,SME,4,2026-06-04,2026-06-08,,,,,,
2026-06-08,Genxai Analytics Ltd.,,SME,4,2026-06-05,2026-06-09,,,,,11.0,9.48
2026-06-08,Hexagon Nutrition Ltd.,,MB,4,2026-06-05,2026-06-09,,,,,10.0,22.22
2026-06-08,Vahh Chemicals Ltd. CT,,SME,5,2026-06-04,2026-06-08,,,,,,
2026-06-08,UHM Vacation Ltd. CT,,SME,5,2026-06-04,2026-06-08,,,,,,
2026-06-09,Genxai Analytics Ltd. CT,,SME,5,2026-06-05,2026-06-09,17.58,30.91,12.59,16.99,,
2026-06-09,Hexagon Nutrition Ltd. CT,,MB,5,2026-06-05,2026-06-09,19.77,161.49,26.85,53.68,,
2026-06-10,Utkal Speciality Industries India Ltd.,,SME,1,2026-06-10,2026-06-12,,0.41,0.15,0.26,,
2026-06-11,Susan Electricals India Ltd.,,SME,1,2026-06-11,2026-06-15,,,,,15.0,11.81
2026-06-11,Utkal Speciality Industries India Ltd.,,SME,2,2026-06-10,2026-06-12,,0.3,0.31,0.31,,
