fetch_date,name,isin,type,status,open_date,close_date,price_band_high,gmp_rs,gmp_pct
2026-06-08,Genxai Analytics Ltd.,,SME,open,2026-06-05,2026-06-09,116.0,11.0,9.48
2026-06-08,Hexagon Nutrition Ltd.,,MB,open,2026-06-05,2026-06-09,45.0,10.0,22.22
2026-06-08,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-09,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-09,Susan Electricals India Ltd.,,SME,upcoming,2026-06-11,2026-06-15,127.0,,
2026-06-09,Utkal Speciality Industries India Ltd.,,SME,upcoming,2026-06-10,2026-06-12,66.0,,
2026-06-09,Genxai Analytics Ltd. CT,,SME,open,2026-06-05,2026-06-09,116.0,,
2026-06-09,Hexagon Nutrition Ltd. CT,,MB,open,2026-06-05,2026-06-09,45.0,,
2026-06-09,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-09,Susan Electricals India Ltd.,,SME,upcoming,2026-06-11,2026-06-15,127.0,15.0,11.81
2026-06-09,Utkal Speciality Industries India Ltd.,,SME,upcoming,2026-06-10,2026-06-12,66.0,,
2026-06-09,Genxai Analytics Ltd. CT,,SME,open,2026-06-05,2026-06-09,116.0,,
2026-06-09,Hexagon Nutrition Ltd. CT,,MB,open,2026-06-05,2026-06-09,45.0,,
2026-06-09,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-09,Susan Electricals India Ltd.,,SME,upcoming,2026-06-11,2026-06-15,127.0,15.0,11.81
2026-06-09,Utkal Speciality Industries India Ltd.,,SME,upcoming,2026-06-10,2026-06-12,66.0,,
2026-06-09,Genxai Analytics Ltd. CT,,SME,open,2026-06-05,2026-06-09,116.0,,
2026-06-09,Hexagon Nutrition Ltd. CT,,MB,open,2026-06-05,2026-06-09,45.0,,
2026-06-09,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-09,Susan Electricals India Ltd.,,SME,upcoming,2026-06-11,2026-06-15,127.0,15.0,11.81
2026-06-09,Utkal Speciality Industries India Ltd.,,SME,upcoming,2026-06-10,2026-06-12,66.0,,
2026-06-09,Genxai Analytics Ltd. CT,,SME,open,2026-06-05,2026-06-09,116.0,,
2026-06-09,Hexagon Nutrition Ltd. CT,,MB,open,2026-06-05,2026-06-09,45.0,,
2026-06-10,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-10,Susan Electricals India Ltd.,,SME,upcoming,2026-06-11,2026-06-15,127.0,15.0,11.81
2026-06-10,Utkal Speciality Industries India Ltd.,,SME,open,2026-06-10,2026-06-12,66.0,,
2026-06-11,Liotech Industries Ltd.,,SME,upcoming,2026-06-17,2026-06-19,321.0,,
2026-06-11,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-11,Susan Electricals India Ltd.,,SME,open,2026-06-11,2026-06-15,127.0,15.0,11.81
2026-06-11,Utkal Speciality Industries India Ltd.,,SME,open,2026-06-10,2026-06-12,66.0,,
2026-06-11,Liotech Industries Ltd.,,SME,upcoming,2026-06-17,2026-06-19,321.0,,
2026-06-11,Horizon Reclaim (India) Ltd.,,SME,upcoming,2026-06-12,2026-06-16,103.0,5.0,4.85
2026-06-11,Susan Electricals India Ltd.,,SME,open,2026-06-11,2026-06-15,127.0,15.0,11.81
2026-06-11,Utkal Speciality Industries India Ltd.,,SME,open,2026-06-10,2026-06-12,66.0,,
