call_id,isin,name,type,cohort,call_date,call_type,mode,rules_fired,score,score_quintile,n14_flags,tape_state,crowding_pctl,pop_pct,alpha_1m,alpha_3m,alpha_1y,early_final_agree,grade_status,graded_at
INE05X901010|NEUTRAL|2020-01-17,INE05X901010,HindPrakash Industries Ltd.,SME,boom,2020-01-17,NEUTRAL,historical_sim,score_q=3;n14_flags=0,51.58469631847964,3.0,0.0,unknown,,1.75,0.0741,-0.0591,1.1372,,final,2026-06-07
INE05X901010|TRACK|2020-01-27,INE05X901010,HindPrakash Industries Ltd.,SME,boom,2020-01-27,TRACK,historical_sim,-,51.58469631847964,3.0,0.0,unknown,,1.75,0.0741,-0.0591,1.1372,,final,2026-06-07
INE0BIW01023|NEUTRAL|2020-01-29,INE0BIW01023,Tranway Technologies Ltd.,SME,boom,2020-01-29,NEUTRAL,historical_sim,score_q=3;n14_flags=1,49.26062580388639,3.0,1.0,unknown,,11.0,0.375,-0.6051,-0.479,,final,2026-06-07
INE04OV01018|NEUTRAL|2020-01-30,INE04OV01018,Janus Corp.Ltd.,SME,boom,2020-01-30,NEUTRAL,historical_sim,score_q=3;n14_flags=1,51.5684492474113,3.0,1.0,unknown,,1.4,0.4001,0.6901,-1.1812,,final,2026-06-07
INE0BIW01023|TRACK|2020-02-05,INE0BIW01023,Tranway Technologies Ltd.,SME,boom,2020-02-05,TRACK,historical_sim,-,49.26062580388639,3.0,1.0,unknown,,11.0,0.375,-0.6051,-0.479,,final,2026-06-07
INE04OV01018|TRACK|2020-02-06,INE04OV01018,Janus Corp.Ltd.,SME,boom,2020-02-06,TRACK,historical_sim,-,51.5684492474113,3.0,1.0,unknown,,1.4,0.4001,0.6901,-1.1812,,final,2026-06-07
INE07QQ01016|NEUTRAL|2020-02-06,INE07QQ01016,Chandra Bhagat Pharma Ltd.,SME,boom,2020-02-06,NEUTRAL,historical_sim,score_q=3;n14_flags=0,52.255280839271336,3.0,0.0,unknown,,1.37,0.0123,0.0999,0.1632,,final,2026-06-07
INE0AU701018|NEUTRAL|2020-02-07,INE0AU701018,ICL Organic Dairy Products Ltd.,SME,boom,2020-02-07,NEUTRAL,historical_sim,score_q=2;n14_flags=1,48.349262830125454,2.0,1.0,unknown,,4.0,0.1168,0.01,-0.3125,,final,2026-06-07
INE07QQ01016|TRACK|2020-02-14,INE07QQ01016,Chandra Bhagat Pharma Ltd.,SME,boom,2020-02-14,TRACK,historical_sim,-,52.255280839271336,3.0,0.0,unknown,,1.37,0.0123,0.0999,0.1632,,final,2026-06-07
INE0AU701018|TRACK|2020-02-17,INE0AU701018,ICL Organic Dairy Products Ltd.,SME,boom,2020-02-17,TRACK,historical_sim,-,48.349262830125454,2.0,1.0,unknown,,4.0,0.1168,0.01,-0.3125,,final,2026-06-07
INE05X901010|PERSIST_EXIT_LEAN|2020-02-26,INE05X901010,HindPrakash Industries Ltd.,SME,boom,2020-02-26,PERSIST_EXIT_LEAN,historical_sim,up_day_ratio=0.26,51.58469631847964,3.0,0.0,unknown,100.0,,0.1385,-0.0981,0.8678,,final,2026-06-07
INE018E01016|APPLY|2020-03-05,INE018E01016,SBI Cards & Payment Services Ltd.,MB,boom,2020-03-05,APPLY,historical_sim,score_q=5;n14_flags=0,68.14196322868997,5.0,0.0,unknown,100.0,-12.45,-0.2144,-0.2084,-0.1649,,final,2026-06-07
INE0C4I01011|NEUTRAL|2020-03-05,INE0C4I01011,SM Auto Stamping Ltd.,SME,boom,2020-03-05,NEUTRAL,historical_sim,score_q=4;n14_flags=0,59.101042843115195,4.0,0.0,unknown,100.0,0.0,-0.5,0.0855,0.217,,final,2026-06-07
INE0BIW01023|PERSIST_HOLD|2020-03-06,INE0BIW01023,Tranway Technologies Ltd.,SME,boom,2020-03-06,PERSIST_HOLD,historical_sim,up_day_ratio=0.69,49.26062580388639,3.0,1.0,unknown,100.0,,-0.2995,-0.8359,-0.6721,,final,2026-06-07
