isin,company_name,status,delist_date,reason,last_price,source_flags
INE01BK01022,Antony Waste Handling Cell Ltd.,active,,,485.35,bse_isin:active+bhavcopy
INE495P01020,Mrs.Bectors Food Specialities Ltd.,active,,,228.50,bse_isin:active+bhavcopy
INE07T201019,Restaurant Brands Asia Ltd.,active,,,64.50,bse_isin:active+bhavcopy
INE068V01023,Gland Pharma Ltd.,active,,,1666.00,bse_isin:active+bhavcopy
INE063P01018,Equitas Small Finance Bank Ltd.,active,,,60.80,bse_isin:active+bhavcopy
INE060901027,Likhitha Infrastructure Ltd.,active,,,186.30,bse_isin:active+bhavcopy
INE249Z01020,Mazagon Dock Shipbuilders Ltd.,active,,,2475.00,bse_isin:active+bhavcopy
INE094J01016,UTI Asset Management Co.Ltd.,active,,,1102.90,bse_isin:active+bhavcopy
INE732I01021,Angel Broking Ltd.,active,,,2374.80,bse_isin:active+bhavcopy
INE03YM01018,Chemcon Speciality Chemicals Ltd.,active,,,199.20,bse_isin:active+bhavcopy
INE596I01020,Computer Age Management Services Ltd.,active,,,737.20,bse_isin:active+bhavcopy
INE450U01017,Route Mobile Ltd.,active,,,704.20,bse_isin:active+bhavcopy
INE419U01012,Happiest Minds Technologies Ltd.,active,,,454.15,bse_isin:active+bhavcopy
INE0CCU25019,Mindspace Business Parks REIT,active,,,472.40,bhavcopy+status_from_bhavcopy_recent
INE528G01035,Yes Bank Ltd. FPO,active,,,21.40,bse_isin:active+bhavcopy
INE02A801020,Rossari Biotech Ltd.,active,,,571.00,bse_isin:active+bhavcopy
INE018E01016,SBI Cards & Payment Services Ltd.,active,,,843.40,bse_isin:active+bhavcopy
INE925R01014,CMS Info Systems Ltd.,active,,,339.00,bse_isin:active+bhavcopy
INE07RO01027,Supriya Lifescience Ltd.,active,,,730.00,bse_isin:active+bhavcopy
INE0GSL01024,HP Adhesives Ltd.,active,,,40.70,bse_isin:active+bhavcopy
INE0IX101010,Data Patterns (India) Ltd.,active,,,2577.20,bse_isin:active+bhavcopy
INE804L01022,Medplus Health Services Ltd.,active,,,806.05,bse_isin:active+bhavcopy
INE317I01021,Metro Brands Ltd.,active,,,1180.20,bse_isin:active+bhavcopy
INE0BV301023,C.E.Info systems Ltd.,active,,,1687.00,bse_isin:active+bhavcopy
INE217L01019,Shriram Properties Ltd.,active,,,85.05,bse_isin:active+bhavcopy
INE0CLI01024,Rategain Travel Technologies Ltd.,active,,,677.00,bse_isin:active+bhavcopy
INE463V01026,Anand Rathi Wealth Ltd.,active,,,3093.00,bse_isin:active+bhavcopy
INE011K01018,Tega Industries Ltd.,active,,,1950.00,bse_isin:active+bhavcopy
INE575P01011,Star Health & Allied Insurance Co.Ltd.,active,,,448.00,bse_isin:active+bhavcopy
INE0BJS01011,Go Fashion (India) Ltd.,active,,,454.30,bse_isin:active+bhavcopy
INE144Z01023,Tarsons Products Ltd.,active,,,233.88,bse_isin:active+bhavcopy
INE0I7C01011,Latent View Analytics Ltd.,active,,,460.70,bse_isin:active+bhavcopy
INE806T01020,Sapphire Foods India Ltd.,active,,,247.30,bse_isin:active+bhavcopy
INE982J01020,One 97 Communications Ltd.,active,,,1302.00,bse_isin:active+bhavcopy
INE284S01014,S.J.S.Enterprises Ltd.,active,,,1717.90,bse_isin:active+bhavcopy
INE417T01026,PB Fintech Ltd.,active,,,1868.00,bse_isin:active+bhavcopy
INE0D0K01022,Sigachi Industries Ltd.,active,,,32.25,bse_isin:active+bhavcopy
INE02NC01014,Fino Payments Bank Ltd.,active,,,257.25,bse_isin:active+bhavcopy
INE388Y01029,FSN E-Commerce Ventures Ltd.,active,,,264.30,bse_isin:active+bhavcopy
INE404A01024,Aditya Birla Sun Life AMC Ltd.,active,,,824.55,bse_isin:active+bhavcopy
INE045601023,Paras Defence & Space Technologies Ltd.,active,,,678.00,bse_isin:active+bhavcopy
INE953O01021,Sansera Engineering Ltd.,active,,,1659.00,bse_isin:active+bhavcopy
INE00FF01025,Acutaas Chemicals Ltd.,active,,,1652.20,bse_isin:active+bhavcopy
INE043W01024,Vijaya Diagnostic Centre Ltd.,active,,,1055.00,bse_isin:active+bhavcopy
INE852O01025,Aptus Value Housing Finance India Ltd.,active,,,286.85,bse_isin:active+bhavcopy
INE488A01050,Chemplast Sanmar Ltd.,active,,,250.00,bse_isin:active+bhavcopy
INE118D01016,Nuvoco Vistas Corp.Ltd.,active,,,356.10,bse_isin:active+bhavcopy
INE290S01011,CarTrade Tech Ltd.,active,,,2755.00,bse_isin:active+bhavcopy
INE0GFE01026,Exxaro Tiles Ltd.,active,,,7.99,bse_isin:active+bhavcopy
INE0H5O01029,Windlas Biotech Ltd.,active,,,768.40,bse_isin:active+bhavcopy
INE872J01023,Devyani International Ltd.,active,,,142.32,bse_isin:active+bhavcopy
INE08LI01020,Krsnaa Diagnostics Ltd.,active,,,703.00,bse_isin:active+bhavcopy
INE645S01024,Rolex Rings Ltd.,active,,,129.00,bse_isin:active+bhavcopy
INE03Q201024,Glenmark Life Sciences Ltd.,active,,,901.25,bse_isin:active+bhavcopy
INE0GK401011,Tatva Chintan Pharma Chem Ltd.,active,,,1307.80,bse_isin:active+bhavcopy
INE758T01015,Eternal Ltd.,active,,,276.00,bse_isin:active+bhavcopy
INE201P01022,G R Infraprojects Ltd.,active,,,994.70,bse_isin:active+bhavcopy
INE227W01023,Clean Science & Technology Ltd.,active,,,884.95,bse_isin:active+bhavcopy
INE0D6701023,India Pesticides Ltd.,active,,,174.08,bse_isin:active+bhavcopy
INE021O01019,Dodla Dairy Ltd.,active,,,1221.50,bse_isin:active+bhavcopy
INE967H01025,Krishna Institute of Medical Sciences Ltd.,active,,,600.00,bse_isin:active+bhavcopy
INE810G01011,Shyam Metalics & Energy Ltd.,active,,,840.00,bse_isin:active+bhavcopy
INE073K01018,Sona BLW Precision Forgings Ltd.,active,,,480.00,bse_isin:active+bhavcopy
INE0GGX23010,POWERGRID Infrastructure Investment Trust InvIT,active,,,89.24,bhavcopy+status_from_bhavcopy_recent
INE670K01029,Macrotech Developers Ltd.,active,,,1062.90,bse_isin:active+bhavcopy
INE382M01027,United Foodbrands Ltd.,active,,,205.42,bse_isin:active+bhavcopy
INE418L01047,Nazara Technologies Ltd.,active,,,265.80,bse_isin:active+bhavcopy
INE428Q01011,Suryoday Small Finance Bank Ltd.,active,,,139.15,bse_isin:active+bhavcopy
INE303R01014,Kalyan Jewellers India Ltd.,active,,,485.00,bse_isin:active+bhavcopy
INE00LO01017,Craftsman Automation Ltd.,active,,,7200.00,bse_isin:active+bhavcopy
INE576O01020,Laxmi Organic Industries Ltd.,active,,,167.04,bse_isin:active+bhavcopy
INE930P01018,Anupam Rasayan India Ltd.,active,,,1314.20,bse_isin:active+bhavcopy
INE07O001026,Easy Trip Planners Ltd.,active,,,7.32,bse_isin:active+bhavcopy
INE864I01014,MTAR Technologies Ltd.,active,,,2384.00,bse_isin:active+bhavcopy
INE694N01015,Heranba Industries Ltd.,active,,,242.90,bse_isin:active+bhavcopy
INE0DD101019,RailTel Corp.of India Ltd.,active,,,367.10,bse_isin:active+bhavcopy
INE0DSF01015,Nureca Ltd.,active,,,294.00,bse_isin:active+bhavcopy
INE0FDU25010,Brookfield India Real Estate Trust REIT,active,,,334.33,bhavcopy+status_from_bhavcopy_recent
INE00IN01015,Stove Kraft Ltd.,active,,,562.60,bse_isin:active+bhavcopy
INE481N01025,Home First Finance Co.India Ltd.,active,,,1114.90,bse_isin:active+bhavcopy
INE09VQ01012,Indigo Paints Ltd.,active,,,1122.50,bse_isin:active+bhavcopy
INE053F01010,Indian Railway Finance Corp.Ltd.,active,,,124.95,bse_isin:active+bhavcopy
INE035801013,Aeroflex Neu Ltd.,active,,,80.00,bse_isin:active+bhavcopy
INE855R01021,Radiant Cash Management Services Ltd.,active,,,51.94,bse_isin:active+bhavcopy
INE050401020,Elin Electronics Ltd.,active,,,164.00,bse_isin:active+bhavcopy
INE138Y01010,KFin Technologies Ltd.,active,,,1097.80,bse_isin:active+bhavcopy
INE559R01029,Landmark Cars Ltd.,active,,,482.95,bse_isin:active+bhavcopy
INE00ZE01026,Abans Holdings Ltd.,active,,,203.76,bse_isin:active+bhavcopy
INE142Q01026,Sula Vineyards Ltd.,active,,,218.96,bse_isin:active+bhavcopy
INE244O01017,Uniparts India Ltd.,active,,,481.95,bse_isin:active+bhavcopy
INE00OQ01016,Dharmaj Crop Guard Ltd.,active,,,236.50,bse_isin:active+bhavcopy
INE263M01029,Keystone Realtors Ltd.,active,,,525.00,bse_isin:active+bhavcopy
INE510W01014,Inox Green Energy Services Ltd.,active,,,206.00,bse_isin:active+bhavcopy
INE918Z01012,Kaynes Technology India Ltd.,active,,,3948.00,bse_isin:active+bhavcopy
INE128S01021,Five-Star Business Finance Ltd.,active,,,541.65,bse_isin:active+bhavcopy
INE128X01021,Archean Chemical Industries Ltd.,active,,,551.45,bse_isin:active+bhavcopy
INE474Q01031,Global Health Ltd.,active,,,1162.10,bse_isin:active+bhavcopy
INE00E101023,Bikaji Foods International Ltd.,active,,,758.45,bse_isin:active+bhavcopy
INE139R01012,Fusion Micro Finance Ltd.,active,,,154.30,bse_isin:active+bhavcopy
INE0KL801015,DCX Systems Ltd.,active,,,188.52,bse_isin:active+bhavcopy
INE0HMF01019,Tracxn Technologies Ltd.,active,,,39.49,bse_isin:active+bhavcopy
INE02YR01019,Electronics Mart India Ltd.,active,,,102.84,bse_isin:active+bhavcopy
INE0JUS01029,Harsha Engineers International Ltd.,active,,,374.00,bse_isin:active+bhavcopy
INE668A01016,Tamilnad Mercantile Bank Ltd.,active,,,512.00,bse_isin:active+bhavcopy
INE0JS101016,Dreamfolks Services Ltd.,active,,,108.98,bse_isin:active+bhavcopy
INE0DYJ01015,Syrma SGS Technology Ltd.,active,,,722.40,bse_isin:active+bhavcopy
INE0BWX01014,Aether Industries Ltd.,active,,,839.30,bse_isin:active+bhavcopy
INE01QM01018,eMudhra Ltd.,active,,,584.20,bse_isin:active+bhavcopy
