isin,company_name,type,cohort,instrument_type,nse_symbol,bse_script_code,ticker_ns,ticker_bo,open_date,close_date,listing_date,issue_price,issue_size_cr,issue_amount_cr,fresh_issue_cr,ofs_cr,ofs_pct,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,anchor_allocation_cr,lead_manager,market_maker,year,broad_sector,sector,industry,market_cap_cr,market_cap_class,pricing_method,listing_at,market_maker_src,fresh_issue_cr_src,ofs_cr_src,ofs_pct_src,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr_src,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src,confidence,confidence_reason,isin_xchg_check,ticker_needs_review,name_at_ipo,official_isin_name,name_isin_check,issue_price_adj,adj_listing_open,adj_listing_close,adj_listing_gain_open,adj_listing_gain_close,return_from_issue_1d,return_from_listing_1d,alpha_1d,alpha_sc_1d,return_from_issue_1w,return_from_listing_1w,alpha_1w,alpha_sc_1w,return_from_issue_1m,return_from_listing_1m,alpha_1m,alpha_sc_1m,return_from_issue_3m,return_from_listing_3m,alpha_3m,alpha_sc_3m,return_from_issue_6m,return_from_listing_6m,alpha_6m,alpha_sc_6m,return_from_issue_1y,return_from_listing_1y,alpha_1y,alpha_sc_1y,return_from_issue_2y,return_from_listing_2y,alpha_2y,alpha_sc_2y,return_from_issue_3y,return_from_listing_3y,alpha_3y,alpha_sc_3y,return_from_issue_5y,return_from_listing_5y,alpha_5y,alpha_sc_5y,return_from_issue_10y,return_from_listing_10y,alpha_10y,alpha_sc_10y,mfe_1y,mae_1y,mfe_3y,mae_3y,mfe_5y,mae_5y,mfe_lst_1y,mae_lst_1y,mfe_lst_3y,mae_lst_3y,mfe_lst_5y,mae_lst_5y,days_to_mfe_1y,days_to_mae_1y,days_to_breakeven_1y,days_to_mfe_3y,days_to_mae_3y,days_to_breakeven_3y,days_to_mfe_5y,days_to_mae_5y,days_to_breakeven_5y,max_gain_pct,max_drawdown_pct,max_drawdown_duration_days,all_time_high,all_time_low,current_price,current_return_from_issue,outcome_class,volatility_annual,median_daily_turnover_inr,circuit_lock_frac,liquidity_flag,delisted,delist_reason,n_days_history,listing_metrics_status,price_source,mfe_mae_clamped,has_price_history,data_quality_score,data_quality_tier,xcheck_flags
INE01BK01022,Antony Waste Handling Cell Ltd.,MB,boom,equity,AWHCL,543254,AWHCL.NS,543254.BO,2020-12-21,2020-12-23,2021-01-01,315.00,300,299.99,85,215,71.7,0.89,0.26,0.38,0.5,55.56,,,90.00,Equirus Capital,,2020,Utilities,Utilities,Waste Management,1328.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,430.00,chittorgarh,492.75,chittorgarh,394.60,chittorgarh,407.25,chittorgarh,"Part-financing for PCMC WTE Project through investment in our Subsidiaries, AG Enviro and/orALESPL | Reduction of the consolidated borrowings of our Company by infusing debt in our Subsidiary -AG Enviro for repayment / prepayment of portion of their outstanding indebtedness | General corporate purposes",chittorgarh,chittorgarh,,,,,,,,,,,,,276.0,284.0,451.0,70.0,76.0,126.0,40.0,35.0,47.0,224.92,19.17,10.69,,,,,,,,,,36.0,31.0,108.0,10.42,,,451.0,47.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Antony Waste Handling Cell Ltd.,Antony Waste Handling Cell Limited,match,315.0,436.1,407.35,0.384444,0.293175,0.293175,0.0,0.0,0.0,0.190159,-0.079661,-0.103112,-0.115114,-0.102698,-0.306125,-0.27874,-0.305067,-0.19746,-0.379403,-0.439956,-0.532841,0.021905,-0.20977,-0.331303,-0.605888,0.039841,-0.1959,-0.433839,-0.796903,-0.026984,-0.247576,-0.539105,-0.790208,0.577778,0.220081,-0.330862,-1.07887,0.540794,0.191482,-0.672455,-1.523185,,,,,0.555238,-0.234921,0.691746,-0.257143,1.863492,-0.257143,0.202651,-0.408371,0.308212,-0.425555,1.214312,-0.425555,0,89,0,1046,510,0,1302,510,0,1.863492,-0.573544,612,902.0,234.0,467.85,0.485238,winner,0.465187,43669065.0,0.0,ok,False,,1333,ok,bhavcopy_daily,0,1,1.0,high,
INE495P01020,Mrs.Bectors Food Specialities Ltd.,MB,boom,equity,BECTORFOOD,543253,BECTORFOOD.NS,543253.BO,2020-12-15,2020-12-17,2020-12-24,288.00,541,540.54,41,500,92.4,176.85,620.86,29.33,198.02,74.65,,,162.01,ICICI Securities,,2020,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Packaged Foods,5271.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,501.00,chittorgarh,601.20,chittorgarh,500.00,chittorgarh,595.55,chittorgarh,Financing the project cost towards Rajpura Expansion Project,chittorgarh,chittorgarh,,,,,,,,,,,,,691.0,784.0,762.0,86.0,97.0,93.0,36.0,33.0,30.0,1.25,1.16,1.06,266.0,294.0,319.0,139.0,165.0,134.0,511.0,577.0,566.0,,,109.0,3.94,9.4,0.42,762.0,30.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Mrs.Bectors Food Specialities Ltd.,Mrs. Bectors Food Specialities Limited,match,57.6,100.0,118.84,0.736111,1.063194,1.063194,0.0,0.0,0.0,0.785937,-0.134382,-0.151292,-0.159633,0.37691,-0.332632,-0.377918,-0.389351,0.17309,-0.43142,-0.473288,-0.570338,0.394444,-0.324133,-0.472592,-0.730171,0.314236,-0.363009,-0.599713,-0.960296,0.370139,-0.335914,-0.631024,-0.848176,2.985243,0.931589,0.37882,-0.395566,3.118056,0.995961,0.092064,-0.8109,,,,,1.166667,0.140278,3.77066,-0.149306,4.437326,-0.149306,0.050151,-0.447324,1.312269,-0.587681,1.635392,-0.587681,4,96,0,1054,543,0,1274,543,0,4.437326,-0.583221,543,313.19,49.0,171.71,1.981076,multibagger,0.389581,101924865.05,0.0,ok,False,,982,ok,bhavcopy_daily,0,1,1.0,high,
INE07T201019,Restaurant Brands Asia Ltd.,MB,boom,equity,RBA,543248,RBA.NS,543248.BO,2020-12-02,2020-12-04,2020-12-14,60.00,810,810.00,450,360,44.4,,,,,71.67,,,364.50,CLSA,,2020,Consumer Discretionary,Consumer Services,Restaurants,3962.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,115.35,chittorgarh,138.40,chittorgarh,108.40,chittorgarh,138.40,chittorgarh,Repayment or prepayment of outstanding borrowings of our Company obtained for setting up of new Company-owned Burger King Restaurants; and | Capital expenditure incurred for setting up of new Company-owned Burger King Restaurants | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,investorgain,,isin_authoritative,human-verified rename / confirmed ISIN↔symbol,renamed_confirmed,,Burger King India Ltd.,Restaurant Brands Asia Limited,renamed_confirmed,60.0,115.35,138.4,0.9225,1.306667,1.7675,0.199783,0.199068,0.197669,1.636667,0.143064,0.160009,0.184864,1.416667,0.047688,-0.026563,-0.028057,1.304167,-0.001084,-0.10223,-0.212006,1.6875,0.165101,-0.001124,-0.249302,1.601667,0.12789,-0.149932,-0.541037,0.9825,-0.140535,-0.516851,-0.806917,0.909167,-0.172327,-0.734686,-1.49326,0.131833,-0.509321,-1.430449,-2.282525,,,,,2.6525,0.806667,2.6525,0.408333,2.6525,-0.01,0.583454,-0.216763,0.583454,-0.389451,0.583454,-0.570809,3,0,0,3,834,0,3,1554,0,2.6525,-0.712622,1930,219.15,57.15,68.66,0.144333,flat,0.383608,91376309.875,0.001486,ok,False,,1346,ok,bhavcopy_daily,0,1,0.75,high,
INE068V01023,Gland Pharma Ltd.,MB,boom,equity,GLAND,543245,GLAND.NS,543245.BO,2020-11-09,2020-11-11,2020-11-20,1500.00,6480,6479.55,1250,5230,80.7,6.4,0.51,0.24,2.06,7.87,,,1943.86,Citigroup Global,,2020,Healthcare,Healthcare,Pharmaceuticals,37070.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,1701.00,chittorgarh,1850.00,chittorgarh,1701.00,chittorgarh,1820.45,chittorgarh,Funding incremental working capital requirements of our Company | Funding capital expenditure requirements of our Company | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,,,2633.0,,,955.0,,,773.0,,,49.88,,,3647.0,,,5.0,,,4086.0,,,701.0,29.36,21.2,0.0,2633.0,773.0,Mar 2020,1,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Gland Pharma Ltd.,Gland Pharma Limited,match,1500.0,1710.0,1819.55,0.14,0.213033,0.213033,0.0,0.0,0.0,0.408667,0.161276,0.15273,0.111457,0.484333,0.223654,0.153548,0.107607,0.6127,0.329477,0.164403,0.060237,1.1128,0.741749,0.561623,0.274236,1.278967,0.878734,0.497232,0.076576,0.154967,-0.047869,-0.471586,-0.800002,0.086133,-0.104614,-0.636142,-1.536358,0.179867,-0.027342,-1.053359,-2.20263,,,,,1.9,0.133333,1.9,-0.426,1.9,-0.426,1.390701,-0.065703,1.390701,-0.526806,1.390701,-0.526806,265,0,0,265,913,0,265,913,0,1.9,-0.79298,648,4350.0,861.0,2250.0,0.5,winner,0.384514,424480376.4,0.0,ok,False,,1361,ok,bhavcopy_daily,0,1,1.0,high,
INE063P01018,Equitas Small Finance Bank Ltd.,MB,boom,equity,EQUITASBNK,543243,EQUITASBNK.NS,543243.BO,2020-10-20,2020-10-22,2020-11-02,33.00,518,517.60,280,238,45.9,,,,,3.03,,,139.68,Edelweiss Financial,,2020,Financial Services,Financial Services,Other Bank,8015.0,mid,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,31.00,chittorgarh,33.05,chittorgarh,30.10,chittorgarh,32.75,chittorgarh,Towards augmenting our Bank’s Tier I capital base to meet our Bank’s future capital requirements,chittorgarh,chittorgarh,,,,,,,,,,,,,1543.0,2112.0,2645.0,,,,32.0,211.0,244.0,0.32,2.09,2.31,2044.0,2254.0,2744.0,,,,13310.0,15763.0,19296.0,213.0,1799.0,440.0,9.22,8.89,,2645.0,244.0,Mar 2020,3,,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Equitas Small Finance Bank Ltd.,Equitas Small Finance Bank Limited,match,33.0,31.1,32.8,-0.057576,-0.006061,-0.001515,0.004573,-0.007797,0.002059,-0.010606,-0.004573,-0.072436,-0.032969,0.042424,0.04878,-0.075016,-0.108677,0.239394,0.246951,0.023109,-0.027773,0.656061,0.666159,0.41207,0.167029,0.901515,0.91311,0.380097,-0.038608,0.501515,0.510671,-0.038958,-0.400051,1.963636,1.981707,1.342063,0.512561,0.72697,0.7375,-0.466782,-1.786779,,,,,1.327273,-0.089394,2.087879,-0.089394,2.530303,-0.089394,1.341463,-0.083841,2.106707,-0.083841,2.551829,-0.083841,252,0,0,1085,0,0,1166,0,0,2.530303,-0.561152,602,116.5,30.05,70.21,1.127576,multibagger,0.377802,165886250.5,0.0,ok,False,,1374,ok,bhavcopy_daily,0,1,0.88,high,
INE060901027,Likhitha Infrastructure Ltd.,MB,boom,equity,LIKHITHA,543240,LIKHITHA.NS,543240.BO,2020-09-29,2020-10-07,2020-10-15,120.00,61,61.20,61,0.00,0.0,21.99,1.54,23.71,9.51,5.0,,,,Unistone Capital,,2020,Industrials,Construction,Civil Construction,742.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,,130.10,chittorgarh,136.60,chittorgarh,125.00,chittorgarh,136.60,chittorgarh,Working Capital Requirements | General Corporate Purposes | Issue Expenses | Total,chittorgarh,chittorgarh,,,,,,,,,,,,,87.0,139.0,161.0,11.0,29.0,30.0,7.0,18.0,20.0,7.99,19.84,6.89,32.0,50.0,70.0,14.0,10.0,1.0,67.0,85.0,101.0,-1.0,3.0,18.0,12.42,28.57,0.01,161.0,20.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Likhitha Infrastructure Ltd.,Likhitha Infrastructure Limited,match,60.0,65.0,68.25,0.083333,0.1375,0.140833,0.00293,-0.004098,-0.010417,0.125417,-0.010623,-0.029124,-0.040274,0.317917,0.158608,0.069604,0.106599,0.611667,0.41685,0.167264,0.118975,2.085417,1.712454,1.46408,1.297365,2.155,1.773626,1.203592,0.756002,2.127917,1.749817,1.278483,0.877544,4.396667,3.744322,3.053358,2.22361,2.848333,2.38315,1.230347,-0.052996,,,,,3.0,0.041667,4.716667,0.041667,7.290833,0.041667,2.516484,-0.084249,4.025641,-0.084249,6.288645,-0.084249,239,0,0,1079,0,0,1348,0,0,7.290833,-0.722691,637,497.45,62.5,188.13,2.1355,multibagger,0.474915,27742015.65,0.0,ok,False,,1386,ok,bhavcopy_daily,0,1,1.0,high,
INE249Z01020,Mazagon Dock Shipbuilders Ltd.,MB,boom,equity,MAZDOCK,543237,MAZDOCK.NS,543237.BO,2020-09-29,2020-10-01,2020-10-12,145.00,444,443.69,,444,100.0,89.71,678.88,35.63,157.41,72.41,,,,Axis Capital,,2020,Industrials,Capital Goods,Ship Building & Allied Services,99090.0,large,Bookbuilding,"BSE, NSE",,,chittorgarh,chittorgarh,,216.25,chittorgarh,216.65,chittorgarh,173.00,chittorgarh,173.00,chittorgarh,"To  carry  out  the  disinvestment  of 30,599,017#Equity  Shares  by  the  Selling Shareholder constituting 15.17% of our Company’s pre-Offer paid up Equity Share capital ; | Achieve the benefits of listing the Equity Shares on the Stock Exchanges",chittorgarh,chittorgarh,,,,,,,,,,,,,4457.0,4614.0,4905.0,157.0,261.0,263.0,496.0,532.0,471.0,11.07,11.88,11.66,2834.0,3217.0,3060.0,0.0,0.0,0.0,19374.0,20850.0,20943.0,491.0,65.0,-96.0,9.6,15.39,0.0,4905.0,471.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Mazagon Dock Shipbuilders Ltd.,Mazagon Dock Shipbuilders Limited,match,72.5,107.45,85.975,0.482069,0.185862,0.251379,0.055249,0.054951,0.056558,0.16069,-0.021227,-0.016374,-0.023865,0.203103,0.014539,-0.054039,0.000988,0.508276,0.271881,0.057833,0.000852,0.388621,0.17098,-0.028489,-0.202605,0.858276,0.567025,0.059019,-0.402004,3.254138,2.58738,2.152155,1.736256,13.766207,11.451876,10.792829,9.9684,38.587586,32.38296,31.263653,29.962565,,,,,1.041379,0.131034,16.135862,0.131034,51.068966,0.131034,0.721431,-0.046234,13.450131,-0.046234,42.908113,-0.046234,241,1,0,1061,1,0,1690,1,0,51.068966,-0.449456,305,3775.0,82.0,2456.5,32.882759,multibagger,0.513906,1437469550.0,0.0,ok,False,,1271,ok,bhavcopy_daily,0,1,1.0,high,
INE094J01016,UTI Asset Management Co.Ltd.,MB,boom,equity,UTIAMC,543238,UTIAMC.NS,543238.BO,2020-09-29,2020-10-01,2020-10-12,554.00,2160,2159.88,,2160,100.0,3.34,0.93,2.32,2.31,2.53,,,644.64,Axis Capital,,2020,Financial Services,Financial Services,Asset Management Company,12090.0,mid,Bookbuilding,"BSE, NSE",,,chittorgarh,chittorgarh,chittorgarh,490.25,chittorgarh,530.00,chittorgarh,471.10,chittorgarh,476.60,chittorgarh,"To achieve the benefits of listing the Equity Shares on the Stock Exchanges and the sale of 38,987,081 Equity Shares by the Selling Shareholders in the Offer",chittorgarh,chittorgarh,,,,,,,,,,,,,1134.0,1051.0,854.0,558.0,498.0,349.0,402.0,348.0,275.0,31.68,27.83,21.41,2288.0,2605.0,2773.0,0.0,0.0,0.0,2550.0,3013.0,3165.0,316.0,123.0,181.0,32.2,9.92,0.0,854.0,275.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,UTI Asset Management Co.Ltd.,UTI Asset Management Company Limited,match,554.0,500.0,476.2,-0.097473,-0.140433,-0.0713,0.080428,0.080131,0.081738,-0.104422,0.041894,0.046747,0.039256,-0.106588,0.039374,-0.029204,0.025823,-0.010199,0.151512,-0.062536,-0.119517,-0.015523,0.145317,-0.054152,-0.228268,0.953881,1.2731,0.765093,0.30407,0.304874,0.51806,0.082834,-0.333064,0.440975,0.676396,0.01735,-0.807079,1.367329,1.754095,0.634788,-0.6663,,,,,1.195307,-0.149639,1.195307,-0.149639,1.698195,-0.149639,1.553969,-0.01071,1.553969,-0.01071,2.139017,-0.01071,331,0,44,331,0,44,1744,0,44,1.698195,-0.48948,293,1494.8,471.1,940.7,0.698014,winner,0.351886,139200990.1,0.0,ok,False,,1389,ok,bhavcopy_daily,0,1,1.0,high,
INE732I01021,Angel Broking Ltd.,MB,boom,equity,ANGELONE,543235,ANGELONE.NS,543235.BO,2020-09-22,2020-09-24,2020-10-05,306.00,600,600.00,300,300,50.0,,,,,1.63,,,180.00,Edelweiss Financial,,2020,Financial Services,Financial Services,Stockbroking & Allied,31008.0,large,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,275.00,chittorgarh,296.45,chittorgarh,256.60,chittorgarh,275.85,chittorgarh,To meet working capital requirements | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,770.0,778.0,748.0,254.0,203.0,178.0,108.0,80.0,82.0,1.5,1.11,1.14,475.0,531.0,591.0,1125.0,872.0,491.0,2367.0,2209.0,2190.0,-309.0,689.0,643.0,10.96,13.87,0.83,748.0,82.0,Mar 2020,3,,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Angel Broking Ltd.,Angel One Limited,match,30.6,27.47,27.47,-0.102288,-0.102288,,,,,-0.102288,0.0,-0.037172,,0.151961,0.283218,0.247998,,0.101634,0.227157,-0.001433,,-0.039216,0.070258,-0.202223,,3.717974,4.255552,3.706238,,3.469608,3.978886,3.47721,,5.04902,5.73826,5.039124,,6.194444,7.014197,5.85011,,,,,,3.717974,-0.215686,5.381373,-0.215686,11.405229,-0.215686,4.255552,-0.12632,6.108482,-0.12632,12.818711,-0.12632,361,18,25,571,18,25,1194,18,25,11.405229,-0.485537,426,379.6,24.0,337.25,10.021242,multibagger,0.61576,5888536003.35,,ok,False,,295,ok,screener_weekly,0,1,0.88,high,
INE03YM01018,Chemcon Speciality Chemicals Ltd.,MB,boom,equity,CHEMCON,543233,CHEMCON.NS,543233.BO,2020-09-21,2020-09-23,2020-10-01,340.00,318,318.00,165,153,48.1,113.54,449.14,41.21,149.33,91.18,,,95.40,Ambit,,2020,Commodities,Chemicals,Specialty Chemicals,683.0,small,Bookbuilding,"BSE, NSE",,chittorgarh,chittorgarh,chittorgarh,chittorgarh,730.95,chittorgarh,743.80,chittorgarh,584.80,chittorgarh,584.80,chittorgarh,Capital expenditure towards expansion of Manufacturing Facility | To meet working capital requirements | General corporate purposes,chittorgarh,chittorgarh,,,,,,,,,,,,,158.0,303.0,262.0,46.0,66.0,70.0,26.0,43.0,49.0,33.21,13.54,15.37,54.0,97.0,147.0,17.0,33.0,46.0,97.0,173.0,226.0,14.0,11.0,12.0,18.7,33.33,0.31,262.0,49.0,Mar 2020,3,nse,screener,investorgain,,isin_authoritative,ISIN→symbol from official NSE list,match,,Chemcon Speciality Chemicals Ltd.,Chemcon Speciality Chemicals Limited,match,340.0,731.0,584.8,1.15,0.72,0.72,0.0,0.0,0.0,0.491324,-0.132951,-0.169533,-0.1357,0.210588,-0.29617,-0.315917,-0.283698,0.468088,-0.14646,-0.371109,-0.352163,0.216471,-0.29275,-0.594967,-0.699463,0.276324,-0.257951,-0.793567,-1.121531,0.322059,-0.231361,-0.728639,-1.056673,-0.172059,-0.518639,-1.238739,-1.945522,-0.209235,-0.540253,-1.695916,-2.852602,,,,,1.150735,0.170588,1.150735,-0.35,1.150735,-0.529412,0.250427,-0.319425,0.250427,-0.622093,0.250427,-0.726402,0,28,0,0,908,0,0,1649,0,1.150735,-0.784679,2006,731.25,125.0,186.46,-0.451588,loser,0.400575,18977747.88,0.0,ok,False,,1395,ok,bhavcopy_daily,0,1,1.0,high,
