isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_total_x_src,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE627H01017,Cambridge Technology Enterprises Ltd.,MB,CTE,532801.0,2006-12-29,2007-01-09,2007-02-07,38.0,24.0,Fixed Price,"BSE, NSE",Centrum Capital,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,chittorgarh,9.0,chittorgarh,37.5,chittorgarh,,,48.9,chittorgarh,108.0,chittorgarh,48.0,chittorgarh,99.95,chittorgarh,"Expansion of Facilities | Enhance IT Infrastructure | Support infrastructure | Set Up Regional Offices In US (4) | Competency centers | IP Creation, Reusable components library | Acquisitions | Preliminary costs including IPO Expenses | Working Capital",chittorgarh,24.0,chittorgarh
INE872H01027,Lumax Auto Technologies Ltd.,MB,LUMAXTECH,532796.0,2006-12-14,2006-12-21,2007-01-16,75.0,22.59,Fixed Price,"BSE, NSE",Centrum Capital,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,75.5,chittorgarh,142.1,chittorgarh,75.5,chittorgarh,110.6,chittorgarh,"Investment in LDK, subsidiary-to set up automotive lighting unit at Pantnagar, Uttaranchal | Investment in LDK, subsidiary-to set up leveling motor unit at existing Manesar unit in Haryana | Investment in LDK, subsidiary-for enhancement of infrastructure at existing Manesar unit in Haryana | Set up cost of chassis assembly unit at Bhosari near Pune, Maharashtra | Expansion and modernization of existing manufacturing unit at Chakan,658.00near Pune & Waluj, near Aurangabad, Maharashtra | Modernization of development centre at Chinchwad near Pune, Maharashtra | To meet the expenses of the issue | Total",chittorgarh,23.0,chittorgarh
INE538H01016,Shree Ashtavinayak Cine Vision Ltd.,MB,SHREEASHTA,532793.0,2006-12-14,2006-12-20,2007-01-10,160.0,59.65,Bookbuilding,"BSE, NSE",Almondz Global,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,chittorgarh,7.0,chittorgarh,11.7,chittorgarh,,,189.9,chittorgarh,248.1,chittorgarh,185.1,chittorgarh,226.5,chittorgarh,Purchase of Equipment for Film Production | Estimated Expenditure for Film Production / Under production | General Corporate Purposes / Prepayment of loans* | Public Issue Expenses*,chittorgarh,60.0,chittorgarh
INE165H01018,Pyramid Saimira Theatre Ltd.,MB,PSTL,532791.0,2006-12-11,2006-12-18,2007-01-05,100.0,84.51,Bookbuilding,"BSE, NSE",Keynote Financial,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,chittorgarh,10.0,chittorgarh,11.8,chittorgarh,,,135.0,chittorgarh,163.85,chittorgarh,125.0,chittorgarh,158.2,chittorgarh,Cost of renovation & upgradation of Theatres & other Footfall rights | Plant & Machinery & Installation cost for digitalisation of Theatres | Plant & Machinery and other cost for Central Network Operating Center | Recoverable Security Deposit with Theatres & Multiplexes | Recoverable Security Deposit with VMPL | Preliminary expenses | Brand Building | Working Capital | Cost relating to Public Issue | Contingencies,chittorgarh,85.0,chittorgarh
INE910H01017,Cairn India Ltd.,MB,CAIRN,532792.0,2006-12-11,2006-12-15,2007-01-09,160.0,5788.79,Bookbuilding,"BSE, NSE",BOFA Securities,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5789.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,140.0,chittorgarh,155.0,chittorgarh,128.65,chittorgarh,137.5,chittorgarh,"Cash consideration to be paid to Cairn UK Holdings Ltd. as consideration for shares of Cairn India Holdings Ltd. | Development (Development in the Rajasthan Block and additional drilling activities in Ravva and Cambay Blocks) | Exploration and appraisal activities including funding minimum work program for capital commitments and any additional appraisal expenditure that may arise as a result of exploration success in existing blocks and blocks that may be awarded in NELP VI round | General corporate purposes | Contingencies, including the part payment of debt outstanding at the date of completion of the Issue | Issue expenses | Total",chittorgarh,5789.0,chittorgarh
INE483C01032,Tanla Solutions Ltd. FPO,MB,TANLA,532790.0,2006-12-11,2006-12-14,2007-01-05,265.0,420.95,Bookbuilding,"BSE, NSE",SBICAP,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,chittorgarh,42.0,chittorgarh,10.0,chittorgarh,,,379.8,chittorgarh,379.8,chittorgarh,365.0,chittorgarh,379.8,chittorgarh,Setting  up  Infrastructure  Facility  for  Development  Centre  at  Hyderabad | Setting  up  Infrastructure  Facilities  for  a  Backup  /  Disaster  Recovery  Centre  at  Bangalore | Establising  Overseas  Marketing  Offices | Expansion  &  Upgradation  of  Existing  Research  &  Product  Development  Facilities | Fund  regional/global  expansion  and  acquire  and  invest  in  strategic  business. | Meet  working  capital  requirements | Contingencies | To  meet  Issue  expenses,chittorgarh,421.0,chittorgarh
INE846H01021,Nissan Copper Ltd.,MB,NISSAN,532789.0,2006-12-04,2006-12-08,2006-12-29,39.0,25.0,Bookbuilding,"BSE, NSE",Keynote Financial,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,40.0,chittorgarh,135.7,chittorgarh,40.0,chittorgarh,128.8,chittorgarh,"Land Development, Boundary Wall, Workers Quarters/ Sheds | Plant & Machinery | Electrical  Installations | Equipments | Erection & Commissioning | Preliminary & Share Issue Expenses | Contingencies | Working Capital Margin",chittorgarh,25.0,chittorgarh
INE825H01017,Ess Dee Aluminium Ltd.,MB,ESSDEE,532787.0,2006-12-04,2006-12-08,2006-12-28,225.0,156.73,Bookbuilding,"BSE, NSE",Standard Chartered Securities,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,260.0,chittorgarh,261.9,chittorgarh,235.25,chittorgarh,238.45,chittorgarh,Setting-up of additional manufacturing facilities for aluminium foil based packaging products at Daman | General Corporate Purposes | Meeting the Public Issue Expenses | Total,chittorgarh,157.0,chittorgarh
INE183H01011,XL Telecom Ltd.,MB,XLENERGY,532788.0,2006-12-04,2006-12-07,2006-12-28,150.0,59.37,Bookbuilding,"BSE, NSE",Anand Rathi Advisors,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,177.1,chittorgarh,177.1,chittorgarh,134.1,chittorgarh,136.0,chittorgarh,Expansion of SPV Module Making Plant  (SPV Division) | Creation of SMT Line to produce PCB’s used for CDMA Mobile and FWP Phones | Repayment of IDBI Term Loan | Long Term Working Capital for FWP Business (deferred Payment Model of BSNL) | Issue Expenses,chittorgarh,59.0,chittorgarh
INE014E01015,Kovilpatti Lakshmi Roller Flour Mills Ltd. FPO,MB,KLRF,507598.0,2006-11-27,2006-12-01,2006-12-26,55.0,14.3,Fixed Price,BSE,Keynote Financial,2006,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,55.5,chittorgarh,55.5,chittorgarh,50.3,chittorgarh,52.8,chittorgarh,Investment in Eltex | Establishment of two wind mills of 1.25 MW each | Issue Expenses,chittorgarh,14.0,chittorgarh
