isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE178O01025,Eco Friendly Food Processing Park Ltd.,SME,,534839,2012-12-27,2012-12-31,2013-01-14,25.00,7.56,Fixed Price,BSE SME,Oneview Corporate,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,6,chittorgarh,2.00,chittorgarh,25.0,chittorgarh,,,24.50,chittorgarh,26.00,chittorgarh,24.15,chittorgarh,25.55,chittorgarh,Development of Farm land for transition to Organic Farming | Construction of storage sheds | Solar Fencing | Brand Building and General Corporate purposes | Total,chittorgarh,8,chittorgarh
INE918N01018,Veto Switchgears & Cables Ltd.,SME,VETO,539331,2012-12-03,2012-12-05,2012-02-13,50.00,25.01,Bookbuilding,NSE SME,Indian Overseas Bank,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keynote Capitals Ltd.,chittorgarh,21,chittorgarh,4.00,chittorgarh,16.0,chittorgarh,,,145.00,chittorgarh,148.10,chittorgarh,144.00,chittorgarh,145.45,chittorgarh,"Modernisation of existing facility at Hardwar, Uttarakhand | Incremental long-term working capital requirement | Enhancement  of  our  Company’s  brand  through  advertising  and  other  brand-building activities | General Corporate Purposes | Total",chittorgarh,25,chittorgarh
INE830N01015,Bronze infra-tech Ltd.,SME,,534731,2012-10-19,2012-10-23,2012-11-07,15.00,8.68,Fixed Price,BSE SME,Inventure Merchant Banker,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gretex Share Broking Pvt.Ltd.,chittorgarh,7,chittorgarh,2.00,chittorgarh,22.2,chittorgarh,,,16.70,chittorgarh,17.10,chittorgarh,16.00,chittorgarh,16.30,chittorgarh,To  meet  expenses  of  construction  and  development  of  certain  of  our  Ongoing  and  Forthcoming Projects | To Meet the Issue Expenses,chittorgarh,9,chittorgarh
INE892L01019,RCL Retail Ltd.,SME,,534708,2012-09-27,2012-10-01,2012-10-16,10.00,5.80,Fixed Price,BSE SME,Oneview Corporate,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,3,chittorgarh,3.00,chittorgarh,50.0,chittorgarh,,,10.10,chittorgarh,10.45,chittorgarh,10.10,chittorgarh,10.45,chittorgarh,Setting up of eight (8) new retail stores | Setting up a food grain processing unit | Strengthen supply chain management | General Corporate Purposes | Total,chittorgarh,6,chittorgarh
INE636N01016,Anshu's Clothing Ltd.,SME,,534707,2012-09-26,2012-09-28,2012-10-12,27.00,5.05,Fixed Price,BSE SME,First Call India,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oswal Shares & Securities Ltd.,chittorgarh,4,chittorgarh,1.00,chittorgarh,20.0,chittorgarh,,,26.85,chittorgarh,28.15,chittorgarh,26.85,chittorgarh,27.15,chittorgarh,To make advances of long term nature for long term supplies of inputs required in our business operations | To meet Issue Expenses,chittorgarh,5,chittorgarh
INE456N01019,Comfort Commotrade Ltd.,SME,,534691,2012-09-05,2012-09-10,2012-09-24,10.00,6.00,Fixed Price,BSE SME,VC Corporate,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Narayan Securities Ltd.,chittorgarh,5,chittorgarh,1.00,chittorgarh,16.7,chittorgarh,,,10.30,chittorgarh,10.80,chittorgarh,10.10,chittorgarh,10.80,chittorgarh,Expanding our business operations | Enhancement of margin money maintained with the exchanges | General corporate purpose | Total,chittorgarh,6,chittorgarh
INE121N01019,Thejo Engineering Ltd.,SME,THEJO,,2012-09-04,2012-09-06,2012-09-18,402.00,19.01,Bookbuilding,NSE SME,IDBI Capital,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDBI Capital Markets & Securities Ltd.,chittorgarh,19,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,403.00,chittorgarh,403.00,chittorgarh,403.00,chittorgarh,403.00,chittorgarh,"Setting  up  a  poly-urethane unit at Chennai | Expansion   of   existing   facility (Unit I) at Chenna | Setting up R&D Unit at Chennai | Setting   up   a   Lining   Plant at Chennai | Investment    in   our    Australian Subsidiary,  Thejo  Australia  Pty Limited. | General corporate purposes",chittorgarh,19,chittorgarh
INE559N01010,SRG Housing Finance Ltd.,SME,SRGHFL,534680,2012-08-22,2012-08-28,2012-09-11,20.00,7.01,Fixed Price,BSE SME,Aryaman Financial,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISJ Securities Pvt.Ltd.,chittorgarh,5,chittorgarh,2.00,chittorgarh,28.6,chittorgarh,,,20.30,chittorgarh,20.35,chittorgarh,20.30,chittorgarh,20.30,chittorgarh,To augment the capital base and provide for the fund requirements for increasing the operational scale with respect to the disbursement of housing and related loans activities. | Total,chittorgarh,7,chittorgarh
INE131N01018,Jointeca Education Solutions Ltd.,SME,,534659,2012-08-16,2012-08-21,2012-09-04,15.00,5.38,Fixed Price,BSE SME,Ajcon Global,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ajcon Global Services Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,15.20,chittorgarh,15.25,chittorgarh,15.00,chittorgarh,15.00,chittorgarh,"To expand our product Guruseva (Educational  ERP Solution) under BOOT Model  through  Cloud  Computing  solutions,  to  establish  and  expand  infrastructure  for  B2B  Educational  Portal  www.shiklo.in,  to  meet  the  promotion and branding expenses for setting up robust sales network for our products | Total",chittorgarh,5,chittorgarh
INE524N01014,Jupiter Infomedia Ltd.,SME,,534623,2012-07-30,2012-08-01,2012-08-16,20.00,4.08,Fixed Price,BSE SME,Aryaman Financial,2012,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCB Brokerage Pvt.Ltd.,chittorgarh,3,chittorgarh,1.00,chittorgarh,25.0,chittorgarh,,,22.00,chittorgarh,22.10,chittorgarh,21.10,chittorgarh,22.05,chittorgarh,"Purchase and set-up of additional office space in Mumbai and Kolkata | Renting offices in Ahmedabad, Chennai and Delhi | Initial Operating Expenses for theMarketing/Branch Office (first three months) | Total",chittorgarh,4,chittorgarh
