isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src,ticker_ns,ticker_bo,confidence,confidence_reason,isin_xchg_check,ticker_needs_review,name_at_ipo,official_isin_name,name_isin_check
INE01BK01022,Antony Waste Handling Cell Ltd.,MB,AWHCL,543254,2020-12-21,2020-12-23,2021-01-01,315.00,299.99,Bookbuilding,"BSE, NSE",Equirus Capital,2020,,,85,chittorgarh,215,chittorgarh,71.7,chittorgarh,90.00,chittorgarh,430.00,chittorgarh,492.75,chittorgarh,394.60,chittorgarh,407.25,chittorgarh,"Part-financing for PCMC WTE Project through investment in our Subsidiaries, AG Enviro and/orALESPL | Reduction of the consolidated borrowings of our Company by infusing debt in our Subsidiary -AG Enviro for repayment / prepayment of portion of their outstanding indebtedness | General corporate purposes",chittorgarh,300,chittorgarh,0.89,0.26,0.38,0.5,,,,,55.56,,,,,,,,,,,276.0,284.0,451.0,70.0,76.0,126.0,40.0,35.0,47.0,224.92,19.17,10.69,,,,,,,,,,36.0,31.0,108.0,10.42,,,451.0,47.0,Mar 2020,3,nse,screener,investorgain,,AWHCL.NS,543254.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Antony Waste Handling Cell Ltd.,Antony Waste Handling Cell Limited,match
INE495P01020,Mrs.Bectors Food Specialities Ltd.,MB,BECTORFOOD,543253,2020-12-15,2020-12-17,2020-12-24,288.00,540.54,Bookbuilding,"BSE, NSE",ICICI Securities,2020,,,41,chittorgarh,500,chittorgarh,92.4,chittorgarh,162.01,chittorgarh,501.00,chittorgarh,601.20,chittorgarh,500.00,chittorgarh,595.55,chittorgarh,Financing the project cost towards Rajpura Expansion Project,chittorgarh,541,chittorgarh,176.85,620.86,29.33,198.02,,,,,74.65,,,,,,,,,,,691.0,784.0,762.0,86.0,97.0,93.0,36.0,33.0,30.0,1.25,1.16,1.06,266.0,294.0,319.0,139.0,165.0,134.0,511.0,577.0,566.0,,,109.0,3.94,9.4,0.42,762.0,30.0,Mar 2020,3,nse,screener,investorgain,,BECTORFOOD.NS,543253.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Mrs.Bectors Food Specialities Ltd.,Mrs. Bectors Food Specialities Limited,match
INE07T201019,Restaurant Brands Asia Ltd.,MB,RBA,543248,2020-12-02,2020-12-04,2020-12-14,60.00,810.00,Bookbuilding,"BSE, NSE",CLSA,2020,,,450,chittorgarh,360,chittorgarh,44.4,chittorgarh,364.50,chittorgarh,115.35,chittorgarh,138.40,chittorgarh,108.40,chittorgarh,138.40,chittorgarh,Repayment or prepayment of outstanding borrowings of our Company obtained for setting up of new Company-owned Burger King Restaurants; and | Capital expenditure incurred for setting up of new Company-owned Burger King Restaurants | General corporate purposes,chittorgarh,810,chittorgarh,,,,,,,,,71.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,investorgain,,RBA.NS,543248.BO,isin_authoritative,human-verified rename / confirmed ISIN↔symbol,renamed_confirmed,,Burger King India Ltd.,Restaurant Brands Asia Limited,renamed_confirmed
INE068V01023,Gland Pharma Ltd.,MB,GLAND,543245,2020-11-09,2020-11-11,2020-11-20,1500.00,6479.55,Bookbuilding,"BSE, NSE",Citigroup Global,2020,,,1250,chittorgarh,5230,chittorgarh,80.7,chittorgarh,1943.86,chittorgarh,1701.00,chittorgarh,1850.00,chittorgarh,1701.00,chittorgarh,1820.45,chittorgarh,Funding incremental working capital requirements of our Company | Funding capital expenditure requirements of our Company | General corporate purposes,chittorgarh,6480,chittorgarh,6.4,0.51,0.24,2.06,,,,,7.87,,,,,,,,,,,,,2633.0,,,955.0,,,773.0,,,49.88,,,3647.0,,,5.0,,,4086.0,,,701.0,29.36,21.2,0.0,2633.0,773.0,Mar 2020,1,nse,screener,investorgain,,GLAND.NS,543245.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Gland Pharma Ltd.,Gland Pharma Limited,match
INE063P01018,Equitas Small Finance Bank Ltd.,MB,EQUITASBNK,543243,2020-10-20,2020-10-22,2020-11-02,33.00,517.60,Bookbuilding,"BSE, NSE",Edelweiss Financial,2020,,,280,chittorgarh,238,chittorgarh,45.9,chittorgarh,139.68,chittorgarh,31.00,chittorgarh,33.05,chittorgarh,30.10,chittorgarh,32.75,chittorgarh,Towards augmenting our Bank’s Tier I capital base to meet our Bank’s future capital requirements,chittorgarh,518,chittorgarh,,,,,,,,,3.03,,,,,,,,,,,1543.0,2112.0,2645.0,,,,32.0,211.0,244.0,0.32,2.09,2.31,2044.0,2254.0,2744.0,,,,13310.0,15763.0,19296.0,213.0,1799.0,440.0,9.22,8.89,,2645.0,244.0,Mar 2020,3,,screener,investorgain,,EQUITASBNK.NS,543243.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Equitas Small Finance Bank Ltd.,Equitas Small Finance Bank Limited,match
INE060901027,Likhitha Infrastructure Ltd.,MB,LIKHITHA,543240,2020-09-29,2020-10-07,2020-10-15,120.00,61.20,Bookbuilding,"BSE, NSE",Unistone Capital,2020,,,61,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,130.10,chittorgarh,136.60,chittorgarh,125.00,chittorgarh,136.60,chittorgarh,Working Capital Requirements | General Corporate Purposes | Issue Expenses | Total,chittorgarh,61,chittorgarh,21.99,1.54,23.71,9.51,,,,,5.0,,,,,,,,,,,87.0,139.0,161.0,11.0,29.0,30.0,7.0,18.0,20.0,7.99,19.84,6.89,32.0,50.0,70.0,14.0,10.0,1.0,67.0,85.0,101.0,-1.0,3.0,18.0,12.42,28.57,0.01,161.0,20.0,Mar 2020,3,nse,screener,investorgain,,LIKHITHA.NS,543240.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Likhitha Infrastructure Ltd.,Likhitha Infrastructure Limited,match
INE249Z01020,Mazagon Dock Shipbuilders Ltd.,MB,MAZDOCK,543237,2020-09-29,2020-10-01,2020-10-12,145.00,443.69,Bookbuilding,"BSE, NSE",Axis Capital,2020,,,,,444,chittorgarh,100.0,chittorgarh,,,216.25,chittorgarh,216.65,chittorgarh,173.00,chittorgarh,173.00,chittorgarh,"To  carry  out  the  disinvestment  of 30,599,017#Equity  Shares  by  the  Selling Shareholder constituting 15.17% of our Company’s pre-Offer paid up Equity Share capital ; | Achieve the benefits of listing the Equity Shares on the Stock Exchanges",chittorgarh,444,chittorgarh,89.71,678.88,35.63,157.41,,,,,72.41,,,,,,,,,,,4457.0,4614.0,4905.0,157.0,261.0,263.0,496.0,532.0,471.0,11.07,11.88,11.66,2834.0,3217.0,3060.0,0.0,0.0,0.0,19374.0,20850.0,20943.0,491.0,65.0,-96.0,9.6,15.39,0.0,4905.0,471.0,Mar 2020,3,nse,screener,investorgain,,MAZDOCK.NS,543237.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Mazagon Dock Shipbuilders Ltd.,Mazagon Dock Shipbuilders Limited,match
INE094J01016,UTI Asset Management Co.Ltd.,MB,UTIAMC,543238,2020-09-29,2020-10-01,2020-10-12,554.00,2159.88,Bookbuilding,"BSE, NSE",Axis Capital,2020,,,,,2160,chittorgarh,100.0,chittorgarh,644.64,chittorgarh,490.25,chittorgarh,530.00,chittorgarh,471.10,chittorgarh,476.60,chittorgarh,"To achieve the benefits of listing the Equity Shares on the Stock Exchanges and the sale of 38,987,081 Equity Shares by the Selling Shareholders in the Offer",chittorgarh,2160,chittorgarh,3.34,0.93,2.32,2.31,,,,,2.53,,,,,,,,,,,1134.0,1051.0,854.0,558.0,498.0,349.0,402.0,348.0,275.0,31.68,27.83,21.41,2288.0,2605.0,2773.0,0.0,0.0,0.0,2550.0,3013.0,3165.0,316.0,123.0,181.0,32.2,9.92,0.0,854.0,275.0,Mar 2020,3,nse,screener,investorgain,,UTIAMC.NS,543238.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,UTI Asset Management Co.Ltd.,UTI Asset Management Company Limited,match
INE732I01021,Angel Broking Ltd.,MB,ANGELONE,543235,2020-09-22,2020-09-24,2020-10-05,306.00,600.00,Bookbuilding,"BSE, NSE",Edelweiss Financial,2020,,,300,chittorgarh,300,chittorgarh,50.0,chittorgarh,180.00,chittorgarh,275.00,chittorgarh,296.45,chittorgarh,256.60,chittorgarh,275.85,chittorgarh,To meet working capital requirements | General corporate purposes,chittorgarh,600,chittorgarh,,,,,,,,,1.63,,,,,,,,,,,770.0,778.0,748.0,254.0,203.0,178.0,108.0,80.0,82.0,1.5,1.11,1.14,475.0,531.0,591.0,1125.0,872.0,491.0,2367.0,2209.0,2190.0,-309.0,689.0,643.0,10.96,13.87,0.83,748.0,82.0,Mar 2020,3,,screener,investorgain,,ANGELONE.NS,543235.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Angel Broking Ltd.,Angel One Limited,match
INE03YM01018,Chemcon Speciality Chemicals Ltd.,MB,CHEMCON,543233,2020-09-21,2020-09-23,2020-10-01,340.00,318.00,Bookbuilding,"BSE, NSE",Ambit,2020,,,165,chittorgarh,153,chittorgarh,48.1,chittorgarh,95.40,chittorgarh,730.95,chittorgarh,743.80,chittorgarh,584.80,chittorgarh,584.80,chittorgarh,Capital expenditure towards expansion of Manufacturing Facility | To meet working capital requirements | General corporate purposes,chittorgarh,318,chittorgarh,113.54,449.14,41.21,149.33,,,,,91.18,,,,,,,,,,,158.0,303.0,262.0,46.0,66.0,70.0,26.0,43.0,49.0,33.21,13.54,15.37,54.0,97.0,147.0,17.0,33.0,46.0,97.0,173.0,226.0,14.0,11.0,12.0,18.7,33.33,0.31,262.0,49.0,Mar 2020,3,nse,screener,investorgain,,CHEMCON.NS,543233.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Chemcon Speciality Chemicals Ltd.,Chemcon Speciality Chemicals Limited,match
INE596I01020,Computer Age Management Services Ltd.,MB,CAMS,543232,2020-09-21,2020-09-23,2020-10-01,1230.00,2243.12,Bookbuilding,BSE,HDFC Bank,2020,,,,,2243,chittorgarh,100.0,chittorgarh,666.57,chittorgarh,1518.00,chittorgarh,1550.00,chittorgarh,1306.20,chittorgarh,1401.60,chittorgarh,"To carry out the Offer for Sale of 18,246,600 Equity Shares by the Selling Shareholder | Achieve the benefits of listing the Equity Shares on the BSE",chittorgarh,2243,chittorgarh,73.18,111.85,5.55,46.99,,,,,26.67,,,,,,,,,,,659.0,711.0,700.0,276.0,261.0,287.0,146.0,131.0,172.0,5.99,5.35,7.05,444.0,442.0,549.0,112.0,109.0,0.0,698.0,736.0,801.0,162.0,187.0,199.0,24.57,31.33,0.0,700.0,172.0,Mar 2020,3,nse,screener,investorgain,,CAMS.NS,543232.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Computer Age Management Services Ltd.,Computer Age Management Services Limited,match
INE450U01017,Route Mobile Ltd.,MB,ROUTE,543228,2020-09-09,2020-09-11,2020-09-21,350.00,600.00,Bookbuilding,"BSE, NSE",Axis Capital,2020,,,240,chittorgarh,360,chittorgarh,60.0,chittorgarh,180.00,chittorgarh,708.00,chittorgarh,735.00,chittorgarh,625.00,chittorgarh,651.10,chittorgarh,"Repayment or pre-payment, in full or part, of certain borrowings of our Company | Acquisitions and other strategic initiatives | Purchase of office premises in Mumbai | General corporate purposes",chittorgarh,600,chittorgarh,89.76,192.81,12.67,73.3,,,,,88.57,,,,,,,,,,,505.0,845.0,956.0,72.0,87.0,101.0,48.0,56.0,58.0,9.74,11.38,11.65,171.0,223.0,269.0,84.0,79.0,53.0,423.0,487.0,625.0,28.0,23.0,98.0,6.07,21.56,0.2,956.0,58.0,Mar 2020,3,nse,screener,investorgain,,ROUTE.NS,543228.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Route Mobile Ltd.,ROUTE MOBILE LIMITED,match
