isin,company_name,type,issue_price,issue_price_adj,listing_date,listing_open,listing_close,listing_gain_open,listing_gain_close,return_from_issue_1d,return_from_listing_1d,alpha_1d,alpha_sc_1d,return_from_issue_1w,return_from_listing_1w,alpha_1w,alpha_sc_1w,return_from_issue_1m,return_from_listing_1m,alpha_1m,alpha_sc_1m,return_from_issue_3m,return_from_listing_3m,alpha_3m,alpha_sc_3m,return_from_issue_6m,return_from_listing_6m,alpha_6m,alpha_sc_6m,return_from_issue_1y,return_from_listing_1y,alpha_1y,alpha_sc_1y,return_from_issue_2y,return_from_listing_2y,alpha_2y,alpha_sc_2y,return_from_issue_3y,return_from_listing_3y,alpha_3y,alpha_sc_3y,return_from_issue_5y,return_from_listing_5y,alpha_5y,alpha_sc_5y,return_from_issue_10y,return_from_listing_10y,alpha_10y,alpha_sc_10y,mfe_1m,mae_1m,mfe_lst_1m,mae_lst_1m,mfe_3m,mae_3m,mfe_lst_3m,mae_lst_3m,mfe_6m,mae_6m,mfe_lst_6m,mae_lst_6m,mfe_1y,mae_1y,mfe_lst_1y,mae_lst_1y,mfe_3y,mae_3y,mfe_lst_3y,mae_lst_3y,mfe_5y,mae_5y,mfe_lst_5y,mae_lst_5y,days_to_mfe_1m,days_to_mae_1m,days_to_breakeven_1m,days_to_mfe_3m,days_to_mae_3m,days_to_breakeven_3m,days_to_mfe_6m,days_to_mae_6m,days_to_breakeven_6m,days_to_mfe_1y,days_to_mae_1y,days_to_breakeven_1y,days_to_mfe_3y,days_to_mae_3y,days_to_breakeven_3y,days_to_mfe_5y,days_to_mae_5y,days_to_breakeven_5y,max_gain_pct,max_drawdown_pct,max_drawdown_duration_days,all_time_high,all_time_low,current_price,current_return_from_issue,outcome_class,volatility_annual,median_daily_turnover_inr,circuit_lock_frac,liquidity_flag,delisted,delist_reason,n_days_history,listing_metrics_status,price_source
INE002L01015,SJVN Ltd.,MB,26.0,26.0,2010-05-20,27.1,25.1,0.042308,-0.034615,-0.05,-0.015936,-0.012611,,-0.075,-0.041833,-0.05305,,-0.073077,-0.039841,-0.103508,,-0.082692,-0.049801,-0.169576,,-0.086538,-0.053785,-0.266252,,-0.180769,-0.151394,-0.260286,,-0.284615,-0.258964,-0.247615,,-0.219231,-0.191235,-0.441801,,-0.065385,-0.031873,-0.722723,,-0.188462,-0.159363,-1.006086,,0.042308,-0.084615,0.079681,-0.051793,0.042308,-0.113462,0.079681,-0.081673,0.042308,-0.113462,0.079681,-0.081673,0.042308,-0.255769,0.079681,-0.229084,0.042308,-0.298077,0.079681,-0.272908,0.059615,-0.298077,0.09761,-0.272908,0,18,0,0,34,0,0,34,0,0,306,0,0,1019,0,1463,1019,0,5.557692,-0.588048,623,170.5,17.25,73.68,1.833846,multibagger,0.312321,24861792.4,0.0,ok,False,,3963,ok,bhavcopy_daily
INE002S01010,Mahanagar Gas Ltd.,MB,421.0,421.0,2016-07-01,540.0,520.3,0.28266,0.235867,0.235867,0.0,0.0,,0.193587,-0.034211,-0.033593,,0.208551,-0.022103,-0.059343,,0.568052,0.268787,0.234831,,0.871378,0.514223,0.531339,,1.348219,0.900058,0.756866,,0.970428,0.594369,0.307883,,0.959145,0.585239,0.160515,,1.699525,1.184317,0.296608,,,,,,0.303919,0.17019,0.055064,-0.053142,0.615083,0.17019,0.306842,-0.053142,0.966746,0.17019,0.59139,-0.053142,1.505819,0.17019,1.02758,-0.053142,2.271971,0.17019,1.647511,-0.053142,2.271971,0.17019,1.647511,-0.053142,0,12,0,90,12,0,151,12,0,301,12,0,490,12,0,490,12,0,3.72209,-0.537698,543,1988.0,492.65,1089.1,1.586936,multibagger,0.326242,376089558.3,0.0,ok,False,,2449,ok,bhavcopy_daily
INE004A01022,Protean eGov Technologies Ltd.,MB,792.0,792.0,2023-11-13,792.0,883.0,0.0,0.114899,0.114899,0.0,0.0,0.0,0.415088,0.269253,0.256372,0.250037,0.742551,0.562967,0.486705,0.49388,0.730177,0.551869,0.440135,0.406439,0.443687,0.294904,0.158072,0.113225,1.327652,1.087769,0.859421,0.737629,0.097096,-0.015968,-0.346785,-0.360122,,,,,,,,,,,,,0.742551,-0.021465,0.562967,-0.12231,1.161616,-0.021465,0.938845,-0.12231,1.161616,-0.021465,0.938845,-0.12231,1.809343,-0.021465,1.519819,-0.12231,,,,,,,,,30,0,0,85,0,0,85,0,0,291,0,0,,,,,,,1.809343,-0.796192,577,2225.0,444.0,616.6,-0.221465,loser,0.522094,332482054.5,0.0,ok,False,,629,ok,bhavcopy_daily
INE004I01017,Abhishek Mills Ltd.,MB,100.0,160000.0,2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.504,-0.898,0.584665,-0.674121,-0.504,-0.9335,0.584665,-0.78754,,,,,,,,,,,,,543,724,,543,1738,,,-0.989297,3930,79360.0,784.0,912.0,,,0.621286,33811.5,0.146091,low,True,,1458,unreliable_coverage,bhavcopy_daily
INE004Z01011,Mac Hotels Ltd.,SME,24.0,24.0,2018-10-04,24.6,25.8,0.025,0.075,0.075,0.0,0.026681,0.021183,0.241667,0.155039,0.189437,0.181371,1.354167,1.189922,1.194286,1.164893,2.166667,1.945736,1.938849,1.907005,3.083333,2.79845,2.704221,2.727399,2.166667,1.945736,1.89144,2.047421,1.70625,1.517442,1.440295,1.519381,0.19375,0.110465,-0.543619,-0.749501,0.558333,0.449612,-0.392853,-0.987924,,,,,1.354167,0.025,1.189922,-0.046512,2.166667,0.025,1.945736,-0.046512,3.25,0.025,2.953488,-0.046512,3.989583,0.025,3.641473,-0.046512,4.0,0.025,3.651163,-0.046512,4.0,-0.191667,3.651163,-0.248062,28,0,0,71,0,0,181,0,0,302,0,0,396,0,0,396,1217,0,4.0,-0.837996,915,120.0,19.4,86.0,2.583333,multibagger,1.128727,240960.0,0.551102,low,False,,499,ok,bhavcopy_daily
INE005I01014,AMD Metplast Ltd.,MB,75.0,45.967742,2007-03-19,39.9,38.5,-0.132,-0.162456,,,,,,,,,,,,,,,,,,,,,-0.424596,-0.312987,-0.545149,,-0.600807,-0.523377,-0.283033,,-0.471368,-0.368831,-0.794774,,-0.668246,-0.603896,-1.04941,,-0.393053,-0.275325,-1.763487,,,,,,,,,,,,,,-0.468,-0.693333,0.036364,-0.402597,-0.415333,-0.888,0.138961,-0.781818,-0.415333,-0.888,0.138961,-0.781818,,,,,,,,,,343,364,,1031,588,,1031,588,,1.304877,-0.843083,859,105.95,8.1,47.01,0.022674,flat,0.57778,296861.455,0.020656,low,False,,4454,inferred_split,bhavcopy_daily
INE006I01046,Astral Poly Technik Ltd.,MB,115.0,5.175003,2007-03-20,5.175003,4.704752,0.0,-0.09087,-0.14,-0.061224,-0.079331,,-0.244348,-0.175131,-0.20822,,-0.205217,-0.132416,-0.213563,,-0.088696,-0.005221,-0.14496,,0.004348,0.096346,-0.133155,,0.286957,0.404841,0.167836,,-0.677826,-0.648315,-0.407497,,0.606522,0.753678,0.330377,,2.272174,2.571903,2.1337,,46.756522,51.130992,49.653696,,-0.011739,-0.338696,0.078785,-0.278121,0.026957,-0.338696,0.121025,-0.278121,0.207826,-0.338696,0.318462,-0.278121,1.086957,-0.338696,1.278121,-0.278121,1.086957,-0.738696,1.278121,-0.71476,2.972174,-0.738696,3.336023,-0.71476,0,10,,64,10,56,114,10,56,304,10,56,304,724,56,1648,724,56,473.202661,-0.861746,435,2454.0,1.352251,1518.8,292.487776,multibagger,0.404703,20304041.4,0.002322,ok,False,,4738,recovered_bhavcopy,bhavcopy_daily
INE006Z01016,Arvee Laboratories (India) Ltd.,SME,61.0,30.5,2018-02-22,30.475,31.25,-0.00082,0.02459,-0.001639,-0.0256,-0.036036,-0.042093,-0.081967,-0.104,-0.111286,-0.12102,-0.017213,-0.0408,-0.003753,0.02116,-0.081967,-0.104,-0.116632,-0.036917,-0.2,-0.2192,-0.334782,-0.129405,-0.098361,-0.12,-0.159388,0.149098,-0.122951,-0.144,-0.307556,0.071342,0.360656,0.328,-0.114953,0.3063,2.47541,2.392,1.675038,2.019623,,,,,0.090164,-0.195082,0.064,-0.2144,0.090164,-0.195082,0.064,-0.2144,0.090164,-0.203279,0.064,-0.2224,0.090164,-0.213115,0.064,-0.232,0.360656,-0.383607,0.328,-0.3984,6.080328,-0.383607,5.9104,-0.3984,0,14,0,0,14,0,0,180,0,0,186,0,973,837,0,1177,837,0,9.327869,-0.68668,408,315.0,18.8,164.49,4.393115,multibagger,0.659186,122185.2,0.084507,low,False,,1349,ok,bhavcopy_daily
INE007N01010,Fedbank Financial Services Ltd.,MB,140.0,140.0,2023-11-30,138.0,140.25,-0.014286,0.001786,0.018214,0.016399,0.009706,0.01077,-0.006786,-0.008556,-0.046702,-0.033775,-0.0275,-0.029234,-0.108618,-0.088794,-0.145714,-0.147237,-0.239108,-0.276504,-0.137857,-0.139394,-0.25639,-0.312949,-0.180143,-0.181604,-0.38018,-0.518493,0.048286,0.046417,-0.255066,-0.21623,,,,,,,,,,,,,0.097143,-0.05,0.095187,-0.051693,0.097143,-0.159643,0.095187,-0.161141,0.097143,-0.223214,0.095187,-0.224599,0.097143,-0.335714,0.095187,-0.336898,,,,,,,,,15,0,0,15,91,0,15,104,0,15,358,0,,,,,,,0.274857,-0.441368,469,178.48,80.0,160.58,0.147,flat,0.345918,65785490.46,0.001618,ok,False,,618,ok,bhavcopy_daily
INE008I01026,Cox & Kings (India) Ltd.,MB,330.0,165.0,2009-12-11,171.6,212.7,0.04,0.289091,0.289091,0.0,0.0,,0.274091,-0.011636,0.01369,,0.287273,-0.00141,-0.026316,,0.427273,0.107193,0.103344,,0.336061,0.036436,0.036036,,0.637727,0.270451,0.125834,,0.103636,-0.143865,-0.094893,,-0.113333,-0.312177,-0.466868,,0.67,0.295487,-0.337337,,-0.988485,-0.991067,-2.32384,,0.423333,0.04,0.104137,-0.19323,0.478788,0.04,0.147156,-0.19323,0.716364,0.04,0.331453,-0.19323,0.99697,0.04,0.54913,-0.19323,0.99697,-0.278485,0.54913,-0.440291,1.23,-0.48697,0.729901,-0.602022,20,0,0,89,0,0,126,0,0,243,0,0,243,916,0,1740,1418,0,1.23,-0.998516,1851,367.95,0.48,1.63,-0.990121,wipeout,0.448125,27237449.0,0.06354,ok,True,,3006,ok,bhavcopy_daily
