D,isin,name,cohort,type,dd_from_issue,strength_pctile,fwd_alpha_term,outcome_class
90,INE011K01018,Tega Industries Ltd.,boom,MB,-0.007,0.402,2.718,multibagger
90,INE982J01020,One 97 Communications Ltd.,boom,MB,-0.748,0.252,0.622,loser
90,INE284S01014,S.J.S.Enterprises Ltd.,boom,MB,-0.341,0.396,4.234,multibagger
90,INE404A01024,Aditya Birla Sun Life AMC Ltd.,boom,MB,-0.283,0.433,0.693,winner
90,INE043W01024,Vijaya Diagnostic Centre Ltd.,boom,MB,-0.014,0.461,1.285,multibagger
90,INE290S01011,CarTrade Tech Ltd.,boom,MB,-0.475,0.33,0.938,winner
90,INE0H5O01029,Windlas Biotech Ltd.,boom,MB,-0.429,0.143,1.723,winner
90,INE03Q201024,Glenmark Life Sciences Ltd.,boom,MB,-0.159,0.31,0.318,winner
90,INE510W01014,Inox Green Energy Services Ltd.,boom,MB,-0.395,0.455,3.056,multibagger
90,INE497S01012,Godavari Biorefineries Ltd.,boom,MB,-0.528,0.297,0.619,loser
90,INE850M01015,Northern Arc Capital Ltd.,boom,MB,-0.25,0.172,0.496,flat
90,INE01FR01028,Baazar Style Retail Ltd.,boom,MB,-0.253,0.478,0.153,flat
90,INE916Y01027,Akme Fintrade (India) Ltd.,boom,MB,-0.417,0.188,0.556,flat
90,INE0LP301011,PhysicsWallah Ltd.,boom,MB,-0.183,0.406,0.116,flat
90,INE085001019,WeWork India Management Ltd.,boom,MB,-0.179,0.435,0.284,flat
90,INE0TQE01026,Glottis Ltd.,boom,MB,-0.617,0.277,0.406,loser
90,INE1FF001016,Jinkushal Industries Ltd.,boom,MB,-0.433,0.458,0.522,flat
90,INE04VU01023,Seshaasai Technologies Ltd.,boom,MB,-0.356,0.498,0.071,loser
90,INE652V01016,Ganesh Consumer Products Ltd.,boom,MB,-0.387,0.368,0.15,loser
90,INE1AG301022,GK Energy Ltd.,boom,MB,-0.263,0.493,0.343,flat
90,INE0SJA01013,VMS TMT Ltd.,boom,MB,-0.507,0.266,0.024,loser
90,INE084K01015,Amanta Healthcare Ltd.,boom,MB,-0.201,0.328,0.393,flat
90,INE0MHO01029,Regaal Resources Ltd.,boom,MB,-0.311,0.071,0.301,flat
90,INE304W01038,BlueStone Jewellery & Lifestyle Ltd.,boom,MB,-0.081,0.471,0.26,flat
90,INE0CRS01012,Billwin Industries Ltd.,boom,SME,-0.541,0.292,0.003,loser
90,INE0DZ701010,Dynamic Services & Security Ltd.,boom,SME,-0.652,0.237,7.368,multibagger
90,INE0CWK01019,Adishakti Loha & Ispat Ltd.,boom,SME,-0.509,0.312,0.604,flat
90,INE0H1201020,Getalong Enterprise Ltd.,boom,SME,-0.406,0.033,0.027,loser
90,INE06ZX01015,Party Cruisers Ltd.,boom,SME,-0.324,0.204,4.381,multibagger
90,INE0MFT01014,Rex Sealing & Packing Industries Ltd.,boom,SME,-0.247,0.299,0.171,flat
90,INE0G1D01014,Mega Flex Plastics Ltd.,boom,SME,-0.012,0.339,1.888,multibagger
90,INE0IZQ01016,B-Right Realestate Ltd.,boom,SME,-0.118,0.426,5.923,multibagger
90,INE0NVI01020,Transteel Seating Technologies Ltd.,boom,SME,-0.086,0.467,0.785,winner
90,INE0OVI01010,Sangani Hospitals Ltd.,boom,SME,-0.022,0.32,0.075,flat
