isin,name,cohort,type,max90_vs_issue,fwd_alpha_term,outcome_class
INE149O01018,Kavita Fabrics Ltd.,longterm,SME,0.806,244.94174099046734,multibagger
INE382Z01011,Garden Reach Shipbuilders & Engineers Ltd.,longterm,MB,0.873,30.501886962933572,multibagger
INE209L01016,Commercial Engineers & Body Builders Co.Ltd.,longterm,MB,0.124,18.340960990278354,multibagger
INE945H01021,Vishal Retail Ltd.,longterm,MB,0.617,15.339955882362839,multibagger
INE0OJ401014,Bizotic Commercial Ltd.,boom,SME,0.928,13.613120903353858,multibagger
INE940H01022,House of Pearl Fashions Ltd.,longterm,MB,0.426,10.86237357754679,multibagger
INE702H01018,Jagjanani Textiles Ltd.,longterm,MB,0.034,10.715629682259141,loser
INE030P01017,Alacrity Securities Ltd.,longterm,SME,0.673,9.246886707738918,multibagger
INE0IGO01011,Destiny Logistics & Infra Ltd.,boom,SME,0.938,8.900642866592348,multibagger
INE0SGC01015,M.V.K.Agro Food Product Ltd.,boom,SME,0.657,7.059434539782757,multibagger
INE0O6A01019,ITCONS E-Solutions Ltd.,boom,SME,0.995,6.380220963982699,multibagger
INE061F01013,Fortis Healthcare Ltd.,longterm,MB,0.941,6.291126119866503,multibagger
INE0MOT01016,Kandarp Digi Smart BPO Ltd.,boom,SME,0.903,6.145478701630866,multibagger
INE191O01010,Lakhotia Polyesters (India) Ltd.,longterm,SME,0.749,5.634318720055225,multibagger
INE704H01022,Cinemax India Ltd.,longterm,MB,0.144,4.94366893145631,flat
INE333Y01017,MRC Exim Ltd.,longterm,SME,0.729,4.3346870938501505,multibagger
INE284S01014,S.J.S.Enterprises Ltd.,boom,MB,0.95,4.233796739512595,multibagger
INE0NA501011,Divine Hira Jewellers Ltd.,boom,SME,0.903,4.178206013816079,multibagger
INE303R01014,Kalyan Jewellers India Ltd.,boom,MB,0.992,4.114096265562019,multibagger
INE821Y01011,Ratnabhumi Developers Ltd.,longterm,SME,0.975,3.7523158001540233,multibagger
INE255X01014,MSTC Ltd.,longterm,MB,0.948,3.742551922179597,multibagger
INE517M01028,Polysil Irrigation Systems Ltd.,boom,SME,0.955,3.482969410691674,multibagger
INE510W01014,Inox Green Energy Services Ltd.,boom,MB,0.958,3.0556780182469945,multibagger
INE548Z01017,Lagnam Spintex Ltd.,longterm,SME,0.904,2.906756065821897,winner
INE0Y4801011,Excellent Wires & Packaging Ltd.,boom,SME,0.866,2.6409948593290555,winner
INE053F01010,Indian Railway Finance Corp.Ltd.,boom,MB,0.996,2.416421027385306,multibagger
