isin,symbol,ex_date,observed_gap,gap_dir,yahoo_count,yahoo_ratio,nse_count,nse_ratio,cumulative_applied_factor,bucket,current_return_from_issue,outcome_class,note
INE00FF01025,ACUTAAS,2025-04-25,,edge,1,2.0,1,2.0,2.0,phantom,,,source(s) claim event but raw price shows no ~ratio gap
INE645S01024,ROLEXRINGS,2025-09-19,19.96,down,1,10.0,0,,1000.0,count-conflict,152.72,multibagger,"3 merged entries (ratio 10.0) on ['2025-09-19', '2025-10-03', '2025-10-17'] span 28d collapse to ONE real event (>10d apart -> slipped dedup window)"
INE645S01024,ROLEXRINGS,,,,3,,1,,1000.0,STOCK-FLAG,152.72,multibagger,cumulative factor >100x
INE07O001026,EASEMYTRIP,2022-11-21,7.2066,down,1,4.0,2,3.0,32.0,ratio-conflict,0.15,flat,
INE07O001026,EASEMYTRIP,2022-11-21,7.2066,down,1,4.0,2,3.0,32.0,ratio-conflict,0.15,flat,
INE619A01035,PATANJALI,2007-10-29,,edge,1,5.0,0,,0.15,phantom,0.94,winner,source(s) claim event but raw price shows no ~ratio gap
INE619A01035,PATANJALI,2019-11-14,,edge,1,0.01,0,,0.15,reverse-split,0.94,winner,
INE619A01035,PATANJALI,2025-09-11,3.0088,down,1,3.0,1,3.0,0.15,agree-all,0.94,winner,
INE0PPK01015,ORIENTTECH,2026-01-05,0.9647,up,1,1.1,1,1.1,1.1,phantom,0.4,winner,source(s) claim event but raw price shows no ~ratio gap
INE0Y8W01025,AHCL,2026-04-24,9.0605,down,1,2.0,2,3.5,10.0,ratio-conflict,,,
INE0Y8W01025,AHCL,2026-04-24,9.0605,down,1,2.0,2,3.5,10.0,ratio-conflict,,,
INE0E4I01027,,2025-02-14,,edge,0,,0,,10.0,single-source,,,
INE0I7D01019,FOCE,2026-03-02,2.5262,down,0,,1,2.4,2.4,single-source,5.29,multibagger,single-source but PRICE-CONFIRMED (STRICT mode would flag)
INE0JM501013,NRL,2022-02-22,1.0912,down,1,1.1,1,1.1,3.3,phantom,2.88,multibagger,source(s) claim event but raw price shows no ~ratio gap
INE0FFK01017,NPST,2024-01-22,0.9689,up,2,3.0,1,3.0,9.0,count-conflict,161.27,multibagger,"2 merged entries (ratio 3.0) on ['2024-01-22', '2024-02-02'] span 11d collapse to ONE real event (>10d apart -> slipped dedup window)"
INE0CJD01029,KMEW,2025-12-22,,edge,1,2.0,1,2.0,2.0,phantom,,,source(s) claim event but raw price shows no ~ratio gap
INE07S101038,PAVNAIND,2022-08-17,1.0,up,1,2.0,0,,40.0,count-conflict,2.97,multibagger,"2 merged entries (ratio 2.0) on ['2022-08-17', '2022-09-05'] span 19d collapse to ONE real event (>10d apart -> slipped dedup window)"
INE07S101038,PAVNAIND,2025-09-01,12.863,down,1,10.0,1,10.0,40.0,agree-all,2.97,multibagger,
INE0L2Y01011,ARHAM,2024-05-03,1.9047,down,0,,1,2.0,2.0,single-source,5.76,multibagger,single-source but PRICE-CONFIRMED (STRICT mode would flag)
INE0MJQ01020,PRITIKA,2025-02-14,0.6207,up,1,2.0,1,2.0,2.0,reverse-split,3.45,multibagger,
INE0KY201021,,2024-02-05,,edge,0,,0,,12.5,single-source,,,
INE0KY201021,,2024-02-05,,edge,0,,0,,12.5,single-source,,,
INE0LGX01024,INA,2025-01-24,,edge,0,,1,10.0,10.0,phantom,,,source(s) claim event but raw price shows no ~ratio gap
INE0LCW01025,ISHAN,2024-01-25,28.5619,down,1,10.0,2,6.5,30.0,ratio-conflict,-0.78,loser,
INE0LCW01025,ISHAN,2024-01-25,28.5619,down,1,10.0,2,6.5,30.0,ratio-conflict,-0.78,loser,
INE0CBM01019,USASEEDS,2025-09-26,0.9597,up,1,1.4286,0,,2.0408,count-conflict,0.63,winner,"2 merged entries (ratio 1.4285714285714286) on ['2025-09-26', '2025-10-10'] span 14d collapse to ONE real event (>10d apart -> slipped dedup window)"
INE0G1L01017,LEMERITE,2026-05-29,,edge,1,5.0,1,5.0,5.0,phantom,1.67,multibagger,source(s) claim event but raw price shows no ~ratio gap
INE0J5801029,JSLL,2025-06-12,2.585,down,1,5.0,0,,9.0,single-source,36.79,multibagger,single-source but PRICE-CONFIRMED (STRICT mode would flag)
INE0HS001028,COOLCAPS,2025-07-04,3.8673,down,1,5.0,2,3.5,10.0,ratio-conflict,5.04,multibagger,
INE0HS001028,COOLCAPS,2025-07-04,3.8673,down,1,5.0,2,3.5,10.0,ratio-conflict,5.04,multibagger,
INE0QJ901011,DIGIKORE,2025-10-10,0.9766,up,1,2.0,0,,4.0,count-conflict,0.33,winner,"2 merged entries (ratio 2.0) on ['2025-10-10', '2025-10-24'] span 14d collapse to ONE real event (>10d apart -> slipped dedup window)"
INE0N7S01028,MOS,2025-08-08,3.1293,down,1,5.0,1,5.0,20.0,agree-all,3.37,multibagger,
