isin,symbol,company_name,bucket,pipeline_events_summary,price_gap_summary,web_action_summary,web_source_urls,web_status,agrees_with_price,confidence,recommended_verdict,notes
INE645S01024,ROLEXRINGS,Rolex Rings Ltd.,count-conflict,"merged 3 entries ratio 10.0 on 2025-09-19/2025-10-03/2025-10-17 -> applied factor 1000.0 (10^3)","gap 2025-10-17 implied ~19.96x","ONE 1:10 stock split (FV 10->1) ex 2025-10-17",https://www.moneycontrol.com/company-facts/rolexrings/splits/RR06,ok,Y,high,resolve-apply-once,"ONE real 10:1 split on 2025-10-17; pipeline triple-counted (1000x). Price gap ~20x (extra vs 10x likely stale prev print / same-period drift) but single real split confirmed by web. Apply factor 10.0 once."
INE0FFK01017,NPST,Network People Services Technologies Ltd.,count-conflict,"merged 2 entries ratio 3.0 on 2024-01-22/2024-02-02 -> applied factor 9.0","gap 2024-02-02 implied ~2.857x (also 2021-08-10 ~33x = IPO listing, ignore)","ONE 2:1 bonus (=price/3) ex 2024-02-02",https://trendlyne.com/equity/bonus/NETWORK_PEOPLE_SERVICES_TECHNOLOGIES_LTD/152912/network-people-services-technologies-ltd-bonus-history/;https://www.nseindia.com/companies-listing/corporate-filings-corporate-actions?symbol=NPST,ok,Y,high,resolve-apply-once,"ONE 2:1 bonus (factor 3.0); pipeline double-counted (9.0). Price gap 2.86x ~= 3x. Apply 3.0 once."
INE07S101038,PAVNAIND,Pavna Industries Ltd.,count-conflict,"count-conflict on 2022 bonus: merged 2 entries ratio 2.0 (2022-08-17/2022-09-05); separate agree-all 10x split 2025-09-01 -> cumulative 40.0","gap 2022-09-05 ~1.97x (bonus); gap 2025-09-01 ~12.86x (split)","1:1 bonus ex 2022-09-05 (factor 2.0); 1:10 split ex 2025-09-01 (factor 10.0)",https://www.moneycontrol.com/company-facts/pavnaindustries/splits/PI15;https://www.moneycontrol.com/company-facts/pavnaindustries/bonus/PI15,ok,Y,high,resolve-apply-once,"Two real events (bonus 2.0 + split 10.0 = true 20.0). Pipeline double-counted the bonus -> 40.0. Apply bonus 2.0 once; true cumulative 20.0."
INE0CBM01019,USASEEDS,Upsurge Seeds of Agriculture Ltd.,count-conflict,"merged 2 entries ratio 1.4286 on 2025-09-26/2025-10-10 -> applied 2.0408","gap 2025-10-16 ~1.425x (also 2022-08-11 ~1.585 near listing)","ONE 3:7 bonus (=10/7=1.4286) ex 2025-10-10",https://trendlyne.com/equity/137682/USASEEDS/upsurge-seeds-of-agriculture-ltd/corporate-actions/,ok,Y,high,resolve-apply-once,"ONE 3:7 bonus (factor 1.4286); pipeline double-counted (2.04). Price gap 1.425x ~= 1.4286. Apply 1.4286 once."
INE0QJ901011,DIGIKORE,Digikore Studios Ltd.,count-conflict,"merged 2 entries ratio 2.0 on 2025-10-10/2025-10-24 -> applied 4.0","gap 2025-10-24 ~1.876x","ONE 1:1 bonus ex 2025-10-24 (factor 2.0)",https://trendlyne.com/stock/corporate-actions/bonus/348559/digikore/,ok,Y,high,resolve-apply-once,"ONE 1:1 bonus (factor 2.0); pipeline double-counted (4.0). Price gap 1.88x ~= 2x. Apply 2.0 once."
INE0N7S01028,MOS,MOS Utility Ltd.,count-conflict,"count-conflict on 2025-09/10 bonus (merged 2 entries ratio 2.0); separate agree-all 5x split 2025-08-08 -> cumulative 20.0","gap 2025-08-08 ~3.13x (split, soft); gap 2025-10-14 ~1.77x (bonus)","1:5 split ex 2025-08-08 (factor 5.0); 1:1 bonus ex 2025-10-14 (factor 2.0)",https://trendlyne.com/equity/corporate-actions/MOS/mos-utility-ltd/;https://www.nseindia.com/companies-listing/corporate-filings-announcements?symbol=MOS,ok,Y,high,resolve-apply-once,"Two real events (split 5.0 + bonus 2.0 = true 10.0). Pipeline double-counted the bonus -> 20.0. Apply bonus 2.0 once; true cumulative 10.0. Split price gap 3.1x softer than 5x (illiquid SME)."
INE934S01014,GNA,GNA Axles Ltd.,count-conflict,"merged 2 entries ratio 2.0 on 2023-08-11/2023-09-01 -> applied 4.0","gap 2023-09-01 ~1.879x (also 2016-09-26 ~1.65 near listing)","ONE 1:1 bonus ex 2023-09-01 (factor 2.0)",https://www.moneycontrol.com/company-facts/gnaaxles/bonus/A03,ok,Y,high,resolve-apply-once,"ONE 1:1 bonus (factor 2.0); pipeline double-counted (4.0). Price gap 1.88x ~= 2x. Apply 2.0 once."
INE430N01022,VISHWARAJ,Vishwaraj Sugar Industries Ltd.,count-conflict,"merged 2 entries ratio 5.0 on 2021-09-08/2021-10-21 (span 43d) -> applied 25.0","gap 2021-10-21 ~4.17x (also 2019-10-15 near listing)","ONE 5:1 split (FV 10->2) ex 2021-10-21 (factor 5.0)",https://trendlyne.com/equity/15454/VISHWARAJ/vishwaraj-sugar-industries-ltd/corporate-actions/,ok,Y,high,resolve-apply-once,"ONE 5:1 split (factor 5.0); pipeline double-counted (25.0). Price gap 4.17x ~= 5x. Apply 5.0 once."
INE912T01018,RPEL,Raghav Productivity Enhancers Ltd (fmr Raghav Ramming Mass),count-conflict,"merged 2 entries ratio 2.0 on 2024-11-14/2024-11-29 -> applied factor incl in cumulative 4.0","gap 2024-11-29 ~2.11x (bonus); gap 2023-08-08 ~1.97x (earlier 1:1 bonus); 2017-01-03 ~8x near listing","1:1 bonus ex 2024-11-29 (factor 2.0); earlier 1:1 bonus 2023-08-08; 2:5 bonus 2018-05-08",https://www.goodreturns.in/company/raghav-productivity-enhancers/bonus.html,ok,Y,high,resolve-apply-once,"The 2024 count-conflict event = ONE 1:1 bonus (factor 2.0), true ex 2024-11-29 (pipeline date 2024-11-14 is ~2wk early). Price gap 2.11x ~= 2x confirms true ex 2024-11-29. Apply 2.0 once."
INE068L01024,CANTABIL,Cantabil Retail India Ltd.,count-conflict,"merged 2 entries ratio 5.0 on 2023-10-20/2023-11-02 -> applied 25.0","gap 2023-11-02 ~5.20x","ONE 5:1 split (FV 10->2) ex 2023-11-02 (factor 5.0)",https://trendlyne.com/equity/corporate-actions/533267/CANTABIL/cantabil-retail-india-ltd/,ok,Y,high,resolve-apply-once,"ONE 5:1 split (factor 5.0); pipeline double-counted (25.0). Price gap 5.20x = clean 5x. Apply 5.0 once."
