cell,tertile,N,N_1y,med_alpha_1y,N_3y,med_alpha_3y,bad_k,bad_n,bad_rate,bad_ci_lo,bad_ci_hi
MB-boom,Q1_low_accrual,121,90,-0.1026,41,0.0215,0,121,0.0,0.0,0.0308
MB-boom,Q2_mid,120,93,-0.0595,40,-0.0962,0,120,0.0,0.0,0.031
MB-boom,Q3_high_accrual,121,79,-0.1119,28,-0.5574,0,121,0.0,0.0,0.0308
SME-boom,Q1_low_accrual,284,226,-0.1474,93,0.2155,33,284,0.1162,0.0839,0.1587
SME-boom,Q2_mid,283,182,-0.1399,46,0.3418,32,283,0.1131,0.0812,0.1553
SME-boom,Q3_high_accrual,283,199,-0.0634,42,0.0973,27,283,0.0954,0.0664,0.1353
MB-longterm,Q1_low_accrual,47,47,-0.051,47,-0.2292,6,47,0.1277,0.0598,0.2517
MB-longterm,Q2_mid,47,47,-0.187,47,-0.5115,9,47,0.1915,0.1042,0.3254
MB-longterm,Q3_high_accrual,47,47,-0.181,46,-0.4881,14,47,0.2979,0.1865,0.4398
SME-longterm,Q1_low_accrual,106,104,-0.0887,104,-0.3487,15,106,0.1415,0.0877,0.2204
SME-longterm,Q2_mid,106,106,-0.0668,105,-0.3761,21,106,0.1981,0.1334,0.284
SME-longterm,Q3_high_accrual,106,106,-0.0958,104,-0.3932,28,106,0.2642,0.1895,0.3553
