isin,company_name,type,year,missing
INE01BK01022,Antony Waste Handling Cell Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE495P01020,Mrs.Bectors Food Specialities Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE07T201019,Burger King India Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE068V01023,Gland Pharma Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE063P01018,Equitas Small Finance Bank Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE060901027,Likhitha Infrastructure Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE249Z01020,Mazagon Dock Shipbuilders Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE094J01016,UTI Asset Management Co.Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE732I01021,Angel Broking Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE03YM01018,Chemcon Speciality Chemicals Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE596I01020,Computer Age Management Services Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE450U01017,Route Mobile Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE419U01012,Happiest Minds Technologies Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CCU25019,Mindspace Business Parks REIT,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE528G01035,Yes Bank Ltd. FPO,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE02A801020,Rossari Biotech Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE018E01016,SBI Cards & Payment Services Ltd.,MB,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE925R01014,CMS Info Systems Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE07RO01027,Supriya Lifescience Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GSL01024,HP Adhesives Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IX101010,Data Patterns (India) Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE804L01022,Medplus Health Services Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE317I01021,Metro Brands Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0BV301023,C.E.Info systems Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE217L01019,Shriram Properties Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CLI01024,Rategain Travel Technologies Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE011K01018,Tega Industries Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE575P01011,Star Health & Allied Insurance Co.Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0BJS01011,Go Fashion (India) Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE144Z01023,Tarsons Products Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0I7C01011,Latent View Analytics Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE806T01020,Sapphire Foods India Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE982J01020,One 97 Communications Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE284S01014,S.J.S.Enterprises Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE417T01026,PB Fintech Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D0K01022,Sigachi Industries Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE02NC01014,Fino Payments Bank Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE388Y01029,FSN E-Commerce Ventures Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE404A01024,Aditya Birla Sun Life AMC Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE045601023,Paras Defence & Space Technologies Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE953O01021,Sansera Engineering Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00FF01025,Ami Organics Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE043W01024,Vijaya Diagnostic Centre Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE852O01025,Aptus Value Housing Finance India Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE488A01050,Chemplast Sanmar Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE118D01016,Nuvoco Vistas Corp.Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE290S01011,CarTrade Tech Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GFE01026,Exxaro Tiles Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0H5O01029,Windlas Biotech Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE872J01023,Devyani International Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE08LI01020,Krsnaa Diagnostics Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE645S01024,Rolex Rings Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE03Q201024,Glenmark Life Sciences Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GK401011,Tatva Chintan Pharma Chem Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE758T01015,Zomato Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE201P01022,G R Infraprojects Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE227W01023,Clean Science & Technology Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D6701023,India Pesticides Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE021O01019,Dodla Dairy Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE967H01025,Krishna Institute of Medical Sciences Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE810G01011,Shyam Metalics & Energy Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE073K01018,Sona BLW Precision Forgings Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GGX23010,POWERGRID Infrastructure Investment Trust InvIT,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE670K01029,Macrotech Developers Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE382M01027,Barbeque-Nation Hospitality Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE418L01047,Nazara Technologies Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE428Q01011,Suryoday Small Finance Bank Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE303R01014,Kalyan Jewellers India Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00LO01017,Craftsman Automation Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE576O01020,Laxmi Organic Industries Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE930P01018,Anupam Rasayan India Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE07O001026,Easy Trip Planners Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE864I01014,MTAR Technologies Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE694N01015,Heranba Industries Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DD101019,RailTel Corp.of India Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DSF01015,Nureca Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0FDU25010,Brookfield India Real Estate Trust REIT,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00IN01015,Stove Kraft Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE481N01025,Home First Finance Co.India Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE09VQ01012,Indigo Paints Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE053F01010,Indian Railway Finance Corp.Ltd.,MB,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE855R01021,Radiant Cash Management Services Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE050401020,Elin Electronics Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE138Y01010,KFin Technologies Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE559R01029,Landmark Cars Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00ZE01026,Abans Holdings Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE142Q01026,Sula Vineyards Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE244O01017,Uniparts India Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00OQ01016,Dharmaj Crop Guard Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE263M01029,Keystone Realtors Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE510W01014,Inox Green Energy Services Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE918Z01012,Kaynes Technology India Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE128S01021,Five-Star Business Finance Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE128X01021,Archean Chemical Industries Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE474Q01031,Global Health Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00E101023,Bikaji Foods International Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE139R01012,Fusion Micro Finance Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0KL801015,DCX Systems Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0HMF01019,Tracxn Technologies Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE02YR01019,Electronics Mart India Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JUS01029,Harsha Engineers International Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE668A01016,Tamilnad Mercantile Bank Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JS101016,Dreamfolks Services Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DYJ01015,Syrma SGS Technology Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0BWX01014,Aether Industries Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE01QM01018,eMudhra Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE04TZ01018,Ethos Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE088F01024,Paradeep Phosphates Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE148O01028,Delhivery Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JA001018,Venus Pipes & Tubes Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00F201020,Prudent Corporate Advisory Services Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J1Y01017,Life Insurance Corp.of India,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE961O01016,Rainbow Children's Medicare Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE278Y01022,Campus Activewear Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00EV01017,Hariom Pipe Industries Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IQ001011,Veranda Learning Solutions Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GIU01018,Uma Exports Ltd.,MB,2022,"subscription,financials,gmp (no Sharescart 2020-22)"
