isin,kind,type,cohort,days,tdx,runup,fwd_1m,fwd_3m,fwd_6m,fwd_1y
INE0JM501013,bonus,SME,boom,61,42,1.1519071266358232,-0.452461026541345,-0.03267441548052685,0.24110315897161905,-0.3622565240236063
INE614G01033,bonus,MB,longterm,109,75,4.98725881524822,-0.5444557816816202,-0.6079032773497134,-0.5589177799083069,-0.4747284519959185
INE0MRE01011,bonus,SME,boom,149,102,0.977916700033922,-0.5532801676195331,-0.6639326750349812,-0.7475636137074259,-0.6848786263921856
INE0ECP01024,split,MB,boom,178,122,14.052203650974416,-1.0479145976719453,-1.3436481187773888,-1.350288463938452,-1.6143239941251895
INE544K01018,split,MB,longterm,220,151,4.0677847908904115,-0.9126795520328654,-1.2133261374765913,-1.9554968803240864,-2.035996262534579
INE213M01024,split,MB,longterm,224,154,0.35671931781284905,-0.18203225521957844,-1.6664443409601042,-0.9932605145945299,-3.0712795803915482
INE470Y01017,bonus,MB,longterm,226,155,2.920579867668672,-0.6355721390833512,-0.7685145044526379,-0.9901322615248498,-1.2923847506561614
INE0JOO01021,split,SME,boom,227,156,9.751269106229424,-1.0416060080109117,-1.0756529049276664,-1.1555451742584997,-2.6193758619945333
INE199G01027,bonus,MB,longterm,253,174,2.9181411248317732,-0.10400203315882783,-0.023386220705149063,0.15948057204383204,0.25036451432048534
INE0P4701011,bonus,SME,boom,257,177,-0.4309982791715765,-0.09242839754302545,0.019340521899636975,-0.10793037463241817,-0.40325509037897833
INE933K01021,split,MB,longterm,260,179,1.389583378078683,0.03558197068007507,0.12825597711267822,0.1449209323205215,-0.03004046126242521
INE481Y01014,bonus,MB,longterm,260,179,1.2218431982860496,-0.5527016761018553,-0.5872120700712514,-0.8147234950366782,-1.0101171811196927
INE0APB01032,bonus,SME,longterm,278,191,-0.1274123083162404,-0.04755738258976672,-0.17547954332327576,-0.09634472322472043,-0.15585807796970075
INE0R9I01021,bonus,SME,boom,287,198,-0.271159309772644,-0.015881773492499085,-0.18666315413388457,-0.5424907166283733,-0.19131397984635146
INE0LS001014,bonus,SME,boom,292,201,-0.796782584959393,0.08813671153244373,-0.10391172043354857,0.08468426189195044,-0.018372910724367864
INE916Y01027,split,MB,boom,295,203,-1.7757173639220463,0.4159268455661207,0.7115057501469402,0.9060929294248112,
INE837H01020,split,MB,longterm,297,204,3.452655741098115,-0.9977840058316388,-1.169447405319016,-1.2915370903902614,-1.477446548019858
INE956G01038,split,MB,longterm,307,211,-0.24650521617990595,-0.06504136682600548,-0.02295123693313461,0.12946712427073193,0.19359007645063342
INE748Z01013,bonus,SME,longterm,309,213,-0.43952687769581045,-0.12772988048782152,-0.20608532802657187,-0.42539461113251587,-1.0188449200613752
INE0OMO01025,split,SME,boom,316,218,1.3766616554441717,0.299202860312912,0.23890610473479745,0.16054561186571026,-0.3661824655309269
INE338I01027,split,MB,longterm,318,219,3.9468805050980578,-0.9093609375716125,-0.8675522856568307,-0.8867374883079424,-0.4316264662114696
INE0FRK01020,split,MB,boom,318,219,2.036612124618795,-0.09773351085678073,0.012601561225059399,-0.04418665170036418,-0.32446183635026593
INE0D6I01023,bonus,SME,boom,333,229,1.8368714894793645,-0.17300663418507978,-0.03679623077347327,-0.1115081301537203,0.10592267577487247
INE455J01019,split,MB,longterm,337,232,40.71509681953769,-0.32396768462266,-1.656804313680429,-1.9440899286021263,-2.056473216591859
INE07O001026,bonus,MB,boom,346,238,13.51066326573192,-0.27064921285575594,-0.13912713380427866,-0.15544781461869672,-1.120742274581748
INE632X01030,split,SME,longterm,356,245,65.70170399111643,-0.9009334607438219,-1.5128261071990123,-1.4398211278614987,-1.7217169944395376
INE121N01019,bonus,SME,longterm,358,247,-0.603340756678145,-0.1552669182569444,-0.2218855972468452,0.1342612693953822,1.1502166112810817
INE668F01031,split,MB,longterm,359,247,2.07438026458144,-0.7128431722178542,-0.800932639154492,-0.5952008952680431,-0.29181957929631686
INE721Z01010,bonus,SME,longterm,360,248,0.0586796082761214,-0.03970617265162868,-0.01778198689980315,-0.028105339007660768,0.0860438238271759
INE022Q01020,split,MB,longterm,361,249,8.547328802622404,-0.9225840410956901,-0.9081476690747797,-1.0348980403503876,-1.1204372274225434
INE388Y01029,bonus,MB,boom,365,251,12.118715227851226,-0.9704904613873628,-1.123619927591592,-1.2331135670141231,-1.1299313613275803
