config,isin,type,cohort,listing_date,bucket,issue_size_cr,pe,n_peers,pe_pctl,pe_relsec,alpha_1y,alpha_3y
A_fine_ind_band3,INE0M4D01010,MB,boom,2025-01-13,Industrial Products,410.0,40.0,6,0.833,1.478,-0.2671,
A_fine_ind_band3,INE08N601015,MB,boom,2025-08-06,Civil Construction,650.0,25.0,5,1.0,1.579,,
A_fine_ind_band3,INE01R501028,MB,boom,2025-09-03,Civil Construction,772.0,12.76,6,0.0,0.692,,
A_fine_ind_band3,INE1B3L01017,MB,boom,2025-09-17,"Gems, Jewellery And Watches",401.0,19.19,5,0.2,0.684,,
A_fine_ind_band3,INE056801025,MB,boom,2025-09-25,IT Enabled Services,560.0,18.69,5,0.2,0.798,,
A_fine_ind_band3,INE1AG301022,MB,boom,2025-09-26,Civil Construction,464.0,19.37,7,0.571,1.223,,
A_fine_ind_band3,INE0TY101024,MB,boom,2025-09-30,Civil Construction,490.0,32.8,8,1.0,1.864,,
A_fine_ind_band3,INE0MLS01022,MB,boom,2025-10-01,Industrial Products,504.0,26.49,8,0.5,0.979,,
A_fine_ind_band3,INE506V01022,MB,boom,2025-10-16,Pharmaceuticals,1378.0,55.11,7,0.857,2.269,,
A_fine_ind_band3,INE12UR01024,MB,boom,2025-11-20,Other Electrical Equipment,828.0,40.71,5,0.4,0.896,,
A_fine_ind_band3,INE606N01019,MB,boom,2025-11-26,IT Enabled Services,500.0,34.29,6,0.833,1.468,,
A_fine_ind_band3,INE0QPI01025,MB,boom,2025-11-28,Pharmaceuticals,895.0,46.33,7,0.857,1.908,,
A_fine_ind_band3,INE02ZQ01018,MB,boom,2025-12-15,Pharmaceuticals,655.0,43.52,8,0.75,1.675,,
B_broad_band3,INE0JR601024,MB,boom,2023-09-28,Consumer Discretionary,775.0,61.74,6,0.667,1.346,-0.3572,
B_broad_band3,INE0KNT01012,MB,boom,2023-10-03,Consumer Discretionary,270.0,10.44,5,0.0,0.169,-0.0648,
B_broad_band3,INE491J01022,MB,boom,2023-11-15,Consumer Discretionary,834.0,22.38,8,0.0,0.47,0.1442,
B_broad_band3,INE922K01024,MB,boom,2023-12-20,Financial Services,1200.0,14.01,5,0.2,0.61,0.1602,
B_broad_band3,INE843S01025,MB,boom,2023-12-26,Consumer Discretionary,400.0,16.51,7,0.143,0.309,0.6816,
B_broad_band3,INE220Q01020,MB,boom,2023-12-27,Consumer Discretionary,550.0,26.67,10,0.3,0.756,-0.5372,
B_broad_band3,INE330T01021,MB,boom,2023-12-27,Industrials,1009.0,29.93,6,0.333,0.876,-0.1317,
B_broad_band3,INE02IJ01035,MB,boom,2023-12-28,Industrials,740.0,35.65,8,0.625,1.174,1.3876,
B_broad_band3,INE980O01024,MB,boom,2024-01-16,Industrials,1000.0,23.81,8,0.0,0.717,1.6973,
B_broad_band3,INE456Z01021,MB,boom,2024-01-23,Financial Services,1172.0,32.4,6,0.833,1.59,0.1536,
B_broad_band3,INE0G5901015,MB,boom,2024-01-30,Consumer Discretionary,640.0,39.66,12,0.583,1.124,1.1475,
B_broad_band3,INE988S01028,MB,boom,2024-02-12,Consumer Discretionary,920.0,39.74,12,0.583,1.02,-0.2504,
B_broad_band3,INE953L01027,MB,boom,2024-02-14,Financial Services,570.0,8.64,6,0.0,0.372,0.0385,
B_broad_band3,INE646H01017,MB,boom,2024-02-14,Financial Services,523.0,15.0,6,0.167,0.646,-0.3572,
B_broad_band3,INE696F01016,MB,boom,2024-02-28,Consumer Discretionary,1800.0,112.5,9,1.0,2.831,-0.4186,
B_broad_band3,INE486R01017,MB,boom,2024-02-29,Healthcare,525.0,30.49,5,1.0,1.494,-0.354,
B_broad_band3,INE0NQ801033,MB,boom,2024-03-12,Consumer Discretionary,424.0,77.84,13,0.923,1.963,-0.2365,
B_broad_band3,INE0L9R01028,MB,boom,2024-03-14,Fast Moving Consumer Goods,650.0,267.33,5,0.8,10.025,-0.2902,
B_broad_band3,INE0R6Z01013,MB,boom,2024-04-03,Industrials,130.0,8.75,7,0.0,0.359,0.4356,
B_broad_band3,INE0OAF01028,MB,boom,2024-04-30,Industrials,649.0,75.45,9,1.0,2.521,-0.569,
B_broad_band3,INE065X01017,MB,boom,2024-05-13,Healthcare,1842.0,26.28,5,1.0,1.259,-0.1105,
B_broad_band3,INE883F01010,MB,boom,2024-05-15,Financial Services,3000.0,14.72,5,0.4,0.826,0.2281,
B_broad_band3,INE673O01025,MB,boom,2024-05-15,Consumer Discretionary,1551.0,42.4,11,0.636,1.067,-0.2706,
B_broad_band3,INE03JT01014,MB,boom,2024-05-23,Financial Services,2615.0,57.87,6,1.0,3.558,-0.0243,
B_broad_band3,INE0HV901016,MB,boom,2024-06-18,Consumer Discretionary,740.0,58.12,17,0.706,1.462,0.0353,
B_broad_band3,INE841L01016,MB,boom,2024-06-26,Industrials,418.0,30.3,11,0.545,1.012,-0.1365,
B_broad_band3,INE01A001028,MB,boom,2024-06-28,Consumer Discretionary,537.0,70.96,16,0.875,1.787,-0.331,
B_broad_band3,INE168P01015,MB,boom,2024-07-10,Healthcare,1952.0,27.69,6,1.0,1.295,-0.0984,
B_broad_band3,INE0B9K01025,MB,boom,2024-07-10,Industrials,745.0,26.39,12,0.25,0.864,0.0759,
B_broad_band3,INE08NE01025,MB,boom,2024-07-26,Fast Moving Consumer Goods,510.0,36.54,6,0.5,1.112,-0.2139,
B_broad_band3,INE09XN01023,MB,boom,2024-08-06,Healthcare,1857.0,30.04,7,1.0,1.371,-0.4126,
B_broad_band3,INE0AG901020,MB,boom,2024-08-08,Industrials,1253.0,23.59,11,0.0,0.766,-0.3436,
B_broad_band3,INE00U401027,MB,boom,2024-08-13,Information Technology,277.0,67.5,5,1.0,2.881,-0.4028,
B_broad_band3,INE0PQ101010,MB,boom,2024-08-20,Consumer Discretionary,160.0,20.78,7,0.429,0.662,-0.5507,
B_broad_band3,INE00M901018,MB,boom,2024-08-26,Industrials,600.0,13.14,13,0.0,0.439,0.76,
B_broad_band3,INE0PPK01015,MB,boom,2024-08-28,Information Technology,215.0,15.97,6,0.167,0.665,0.0242,
B_broad_band3,INE0BS701011,MB,boom,2024-09-03,Industrials,2830.0,21.03,5,0.0,0.793,0.2428,
B_broad_band3,INE01FR01028,MB,boom,2024-09-06,Consumer Discretionary,835.0,194.5,18,1.0,4.62,-0.1293,
B_broad_band3,INE0RE001014,MB,boom,2024-09-09,Industrials,168.0,22.8,10,0.4,0.9,0.0954,
