isin,name,type,sector,listing_date,lead_manager,gmp_pct,sub_total_x,issue_size_cr,call,score,quintile,n_flags,flags,allottee_ret,secondary_ret,alpha,max_dd,outcome_class,error_class,regret_or_loss_rs
INE0H9P01028,Arisinfra Solutions Ltd.,MB,Commodities,2025-06-25,JM Financial,13.5,2.6,500.0,APPLY,45.0,5,0,-,-0.487,-0.1005,-0.093,-0.5248,loser,FALSE_POS,-48698.0
INE0BYP01024,Oswal Pumps Ltd.,MB,Industrials,2025-06-20,IIFL Capital,5.4,34.4,1387.0,APPLY,63.8,5,0,-,-0.3278,0.2663,0.2577,-0.6683,loser,FALSE_POS,-32785.0
INE1GYP01013,Aakaar Medical Technologies Ltd.,SME,,2025-06-27,Indorient Financial,,0.0,27.0,NEUTRAL,54.2,4,1,obscure lead manager,-0.0167,0.193,0.2313,-0.5264,flat,TRUE_NEG,
INE17D601016,Safe Enterprises Retail Fixtures Ltd.,SME,Consumer Discretionary,2025-06-27,Hem Securities,17.4,14.7,170.0,APPLY,77.6,5,0,-,0.9391,0.222,0.2604,-0.3542,winner,TRUE_POS,
INE0ZTO01018,Mayasheel Ventures Ltd.,SME,,2025-06-27,Narnolia Financial,10.6,0.0,27.0,NEUTRAL,53.3,4,0,-,0.1053,-0.046,-0.0076,-0.4684,flat,TRUE_NEG,
INE0MYZ01012,Influx Healthtech Ltd.,SME,,2025-06-25,Rarever Financial,16.7,0.0,59.0,NEUTRAL,66.7,5,1,obscure lead manager,1.4896,0.4667,0.4742,-0.2165,multibagger,FALSE_NEG,148958.0
INE11HF01010,Eppeltone Engineers Ltd.,SME,,2025-06-24,Expert Global,23.4,0.0,44.0,APPLY,56.8,5,0,-,-0.2195,-0.2054,-0.2104,-0.6256,loser,FALSE_POS,-21953.0
INE17GV01016,Patil Automation Ltd.,SME,,2025-06-23,Seren Capital,19.2,0.0,70.0,NEUTRAL,48.0,3,1,obscure lead manager,0.5833,0.2771,0.2679,-0.5156,winner,FALSE_NEG,58333.0
INE124101010,Samay Project Services Ltd.,SME,,2025-06-23,Smart Horizon Capital,,0.0,15.0,NEUTRAL,62.6,5,1,obscure lead manager,0.2426,-0.0597,-0.069,-0.4351,winner,FALSE_NEG,24265.0
INE0XCV01014,Aten Papers & Foam Ltd.,SME,,2025-06-20,Swastika Investmart,4.2,0.0,32.0,NEUTRAL,49.5,4,0,-,-0.7458,-0.6223,-0.6309,-0.8312,loser,TRUE_NEG,
INE1DV401010,Monolithisch India Ltd.,SME,,2025-06-19,Hem Securities,11.9,0.0,82.0,APPLY,65.8,5,0,-,3.4836,0.9142,0.8888,-0.3546,multibagger,TRUE_POS,
INE0XIL01012,Jainik Power Cables Ltd.,SME,,2025-06-17,Novus Capital,6.4,1.5,51.0,NEUTRAL,49.8,4,0,-,0.2109,0.7604,0.7449,-0.3077,winner,FALSE_NEG,21091.0
INE1ARD01016,Sacheerome Ltd.,SME,,2025-06-16,GYR Capital,21.6,312.9,62.0,APPLY,59.3,5,0,-,2.1667,0.4865,0.4815,-0.3875,multibagger,TRUE_POS,
