isin,score,n14_flags
INE061F01013,32.76224919976402,0
INE797H01018,34.312249199764025,0
INE788H01017,34.312249199764025,0
INE042H01019,35.495582533097355,0
INE287C01037,35.495582533097355,0
INE070I01018,27.162249199764023,1
INE228I01012,26.67891586643069,1
INE489H01020,34.312249199764025,0
INE508G01029,29.27891586643069,1
INE408H01012,31.962249199764027,1
INE172I01012,43.79621359979774,0
INE189I01024,39.84372454378087,0
INE974H01013,39.21039121044753,0
INE945H01021,38.6770578771142,0
INE271C01023,38.2270578771142,0
INE924H01018,37.64372454378087,0
INE106I01010,37.09372454378087,0
INE221I01017,38.2270578771142,0
INE684H01018,38.2270578771142,0
INE274I01016,37.64372454378087,0
INE191I01012,37.09372454378087,0
INE102I01027,36.5270578771142,0
INE678H01010,36.1770578771142,0
INE898F01018,27.19372454378087,1
INE385I01010,35.04372454378087,0
INE800H01010,35.04372454378087,0
INE810H01019,33.807478180383605,1
INE414I01018,34.34372454378087,0
INE225I01026,39.96694246609788,0
INE056I01025,33.4270578771142,0
INE483A01010,33.21039121044753,0
INE105I01020,24.8770578771142,1
INE022I01019,32.94372454378087,0
INE142I01023,32.94372454378087,0
INE930H01031,32.79372454378087,0
INE323I01011,32.94372454378087,0
INE338I01027,33.21039121044753,0
INE227G01018,24.8770578771142,1
INE387I01016,25.705304755319585,1
INE455I01029,37.484119877496646,0
INE752E01010,36.78411987749665,0
INE406I01014,34.35869980117031,1
INE429I01024,37.39056643469869,0
INE406H01016,29.221679566521335,1
INE550H01011,38.31901254998691,0
INE320H01019,24.21017402243776,3
INE369I01014,38.3014079323823,0
INE720H01010,38.92850577622219,0
INE621H01010,42.703739928962584,0
INE032G01012,43.20606279625365,0
INE575I01016,42.17040659562925,0
INE335I01056,33.83707326229592,1
INE180G01019,41.72040659562925,0
INE742F01042,42.6189001985632,0
INE532F01054,42.68200185697659,0
INE722H01024,42.36700249972968,0
INE094I01018,41.64866852364326,0
INE234I01028,33.00033583306301,1
INE668F01031,41.374359902753035,0
INE763I01026,41.062182795409186,0
INE738I01010,40.14894694417412,0
INE791I01019,40.2802841965589,0
INE661I01014,39.41399499775006,0
INE817H01014,31.174706756614352,1
INE298I01015,31.787533009445962,1
INE688I01017,46.59761240171521,0
INE614G01033,46.2906212972467,0
INE576I01022,45.58537696542995,0
INE792I01017,27.97221806824633,0
INE634I01029,44.77467456631109,0
INE809I01019,30.78859592021981,1
INE863I01016,39.974741496657956,0
INE964H01014,40.78062433261333,0
INE474I01012,40.69729099927999,0
INE871H01011,27.939092253743695,1
INE020B01018,40.29151914549252,0
INE951I01027,46.52085599284447,0
INE181G01025,35.1491724447748,1
INE686I01011,41.17777035777506,0
INE615H01020,43.42381181888373,0
INE415I01015,39.83136777688363,0
INE778I01024,31.68170791293805,1
INE450H01014,45.48136777688362,0
INE020J01029,47.283327606455906,0
INE368I01016,36.140367366436486,1
INE878I01022,45.76547009211601,0
INE955I01044,37.41632080373481,1
INE207I01016,42.47441811365737,0
INE877I01016,42.3574058484276,0
INE315J01015,45.55153475474008,0
INE947I01017,41.88213675878268,0
INE143H01015,52.31969509476712,0
INE323J01019,33.67649582918247,1
INE655I01024,33.00982916251581,1
INE108J01014,40.10778571490442,0
INE318J01027,38.69096115790463,1
INE774I01031,47.630593782023695,0
INE455J01019,35.40631094389499,1
INE144J01027,41.26059472591598,0
INE213J01012,34.7169995214495,1
INE773I01017,35.7954244348163,1
INE889J01019,44.697082398915065,1
INE998I01010,43.230013430289404,1
INE688J01023,44.54062410445044,0
INE294G01026,44.90502686022452,0
INE814H01029,64.21606015346134,0
INE848E01016,63.74939348679467,0
INE904J01016,38.70897248823761,1
INE615I01010,46.25423600049484,1
INE274J01014,61.982726820128,0
INE542F01020,49.75459368413042,0
INE063J01011,49.999300250815686,0
INE201K01015,41.93973117836779,0
INE399K01017,40.421242803215925,1
INE947J01015,36.94230582157095,1
INE563J01010,47.21513495633093,0
INE008I01026,44.59230582157095,0
INE121E01018,61.982726820128,0
INE484J01027,47.38818336492992,0
INE950I01011,46.756005771444585,0
INE912H01013,45.38515625693461,0
INE486J01014,48.8614192702784,0
INE797F01020,47.38818336492992,0
INE602K01014,38.64443719375915,0
INE893I01013,44.59230582157095,0
INE085J01014,45.22267243811124,0
INE544K01018,46.729728189328405,0
INE879I01012,48.10457613654926,0
INE753K01015,38.40823868036816,0
INE982F01036,41.92563915490428,0
INE267I01010,46.132633584149026,0
INE141K01013,45.649300250815685,0
INE949H01023,45.20682713253612,0
INE695A01019,45.2872705560958,0
INE656K01010,44.32240676075698,0
INE975G01012,41.38250127843519,0
INE495J01015,39.30897248823762,0
INE262H01021,55.482726820128,0
INE553K01019,54.01127018827821,0
INE566K01011,39.30897248823762,0
INE516K01024,38.725639154904286,0
INE502K01016,41.23769070420367,0
INE639K01016,42.75459368413042,0
INE747K01017,35.69930025081569,1
INE087J01028,39.51848959026794,0
INE002L01015,54.34939348679467,0
INE099J01015,42.899300250815685,0
INE028L21018,45.3157889238957,0
INE618H01016,43.13344184678251,0
INE509K01011,39.99916030097883,0
INE871K01015,44.97377686022452,0
INE900K01012,34.2668087373353,1
INE091K01010,43.167637542173814,1
INE180K01011,50.28826715351818,0
INE933K01021,47.002337077089045,0
INE696K01024,49.999300250815686,0
INE517F01014,54.66191463746495,0
INE866K01023,49.31596691748236,0
INE019J01013,46.045307887549804,0
INE521J01018,45.33825682558082,0
INE416L01017,43.327970248334964,0
INE874I01013,38.97349379920279,1
INE999K01014,44.75332428865193,0
INE481K01013,43.9816708352015,0
INE528K01029,36.16368592927059,1
INE068L01024,31.577970248334964,1
INE904H01010,47.52225735784202,0
INE956G01038,52.252128520988435,0
INE351L01016,38.34463691500164,0
INE844K01012,35.11596691748235,1
INE442H01029,43.64016046586946,0
INE209L01016,38.69475260361174,0
INE093I01010,39.31972940004815,0
INE482J01021,35.36039012512907,0
INE043K01029,37.97951746542625,0
INE811K01011,39.31972940004815,0
INE522F01014,51.92057821336766,0
INE024L01027,45.42126035079709,0
INE324L01013,32.69919890572955,1
INE490G01020,50.30212852098844,0
INE562G01018,47.71386920111777,0
INE619I01012,40.066141110504994,0
INE722J01012,21.648784953833452,1
INE608A01012,46.53053586778443,0
INE268L01046,33.37543777740211,0
INE378J01013,40.00467281757153,0
INE422B01016,43.61781299455955,0
INE474L01016,38.265451620500116,0
INE055L01013,43.026633339927415,1
INE384L01017,34.98865339373974,1
INE045J01034,44.85416258755394,1
INE597L01014,46.3442867190387,0
INE560K01014,47.89760157755429,0
INE510K01019,33.10335036222689,1
INE414G01012,53.48216751571022,1
INE702L01010,34.10192179079832,1
INE220J01025,48.753895864440416,0
INE431L01016,30.87079967019355,1
INE549I01011,41.8995572427351,1
INE263L01013,28.609530562081563,1
INE928K01013,44.3297622788317,0
INE932K01015,28.118406454638773,1
INE346L01016,40.233832206054565,0
INE573K01025,45.36376594782024,0
INE341L01017,35.038653393739736,1
INE524L01026,28.992444580123202,1
INE224M01013,36.30173978797211,0
INE878H01024,27.515575422598037,1
INE498L01015,59.62057821336765,0
INE040M01013,42.41723981659526,0
INE650L01011,30.515575422598037,1
INE419M01027,36.521178111712324,1
INE219H01039,43.13049127136737,0
INE590L01019,28.635073121305442,1
INE457L01029,46.9702229909047,0
INE023M01027,32.25815899927048,1
INE123M01017,43.77529584188945,0
INE440L01017,40.589378160676866,0
INE912L01015,26.80173978797211,1
INE889I01011,41.55393722856713,1
INE060J01017,26.775382479820138,0
INE899L01030,32.18988735873642,1
INE337M01021,50.40416258755394,0
INE745G01043,62.443783651335515,0
INE550L01013,37.26079853116324,1
INE095N01031,51.79875293602362,0
INE472M01018,45.24413186449658,0
INE760L01018,39.94960679578734,1
INE247M01014,47.74960679578734,0
INE213M01024,45.113634103976096,0
INE799L01016,48.67503265905236,0
INE752H01013,55.09682785770493,0
INE785M01021,60.07393631305229,0
INE121J01017,44.03494080519284,1
INE665J01013,59.25726964638563,0
INE612J01015,57.4435643070804,0
INE599M01018,60.5160361051521,0
INE594O01015,55.929500000000004,1
INE926O01019,55.428250000000006,1
INE279P01036,55.73733333333333,1
INE596O01010,53.51441666666667,1
INE427O01018,38.95666666666666,2
INE962O01014,63.958333333333336,0
INE326P01019,63.583333333333336,0
INE218P01018,63.208333333333336,0
INE325P01011,62.833333333333336,0
INE828O01033,62.833333333333336,0
INE536P01021,62.2423076923077,0
INE486P01011,63.2173076923077,0
INE140B01048,57.81562918574635,0
INE442P01014,57.81562918574635,0
INE212P01011,58.33229585241302,0
INE567P01018,54.00274355441645,1
INE826P01018,62.18607688774978,0
INE210P01015,61.91941022108312,0
INE920P01019,61.55274355441645,0
INE782L01012,67.00234824167269,0
INE905P01028,66.75234824167269,0
INE576P01019,66.4523482416727,0
INE084Q01012,66.4523482416727,0
INE009Q01019,51.08493836101785,3
INE732P01018,51.3460704518422,2
INE012Q01039,68.367732262284,0
INE066O01014,63.031444665730454,0
INE191P01017,68.867732262284,0
INE502O01018,62.17615146291009,1
INE296Q01012,66.52131499804871,0
INE849M01017,64.21171411963792,0
INE189Q01019,64.47838078630458,0
INE319Q01012,64.47838078630458,0
INE336Q01016,59.58146924540392,1
INE641Q01019,62.68915943738406,0
INE755Q01025,60.72777814789532,0
INE734N01019,44.0516297604183,1
INE221J01015,61.33493331396443,0
INE785O01019,53.88750291270522,1
INE898Q01015,62.67388898976105,0
INE552Q01018,60.92470510541026,0
INE363M01019,46.00473154620304,0
INE010R01023,60.5580384387436,0
INE011R01013,61.95445527032732,0
INE133R01015,60.13399737456628,0
INE260R01016,59.86098385213043,0
INE229R01011,51.2276505187971,1
INE761Q01015,59.210983852130425,0
INE982Q01017,59.210983852130425,0
INE909P01012,47.04085211958279,1
INE016Q01014,58.839327472846584,0
INE401Q01018,56.94968741999329,1
INE155R01018,56.050723352396254,0
INE322R01022,60.35796865665884,0
INE513R01026,61.40023422828485,0
INE891N01017,57.210661476533524,0
INE950M01013,51.95937644079873,0
INE812P01018,46.93502219567272,2
INE865P01016,56.40260757844442,1
INE554R01020,64.21791099596162,0
INE820R01017,56.833973134279006,1
INE849L01019,34.129769896745465,1
INE526R01028,44.327814980780495,2
INE976R01033,58.333006627115054,0
INE369Q01017,62.425630576041556,0
INE971P01012,58.19631811367274,0
INE172N01012,39.01804669825743,1
INE066P01011,53.8423433291731,0
INE541R01019,61.16186570600535,0
INE904R01027,56.88843603156415,0
INE291R01011,53.039544277433926,1
INE118Q01018,61.33788547194134,0
INE366I01010,44.807093646536224,1
INE776I01010,40.61685420105738,1
INE527H01019,54.562153165622995,0
INE195J01029,48.84940465025511,0
INE105R01013,53.81123493819435,1
INE122R01018,48.64570665983613,0
INE653S01028,36.18517813032744,2
INE540S01019,54.16705602904204,1
INE451S01027,41.73850348782239,2
INE563S01011,62.64691569333153,0
INE876S01017,58.11155855047439,1
INE196R01012,58.91459426476011,1
INE027T01023,57.772889908007606,0
INE480S01026,50.70526748315115,1
INE023S01016,64.1615585504744,0
INE990S01016,46.07798712190296,2
INE398R01022,63.675478554826654,0
INE484S01010,55.33127508218802,1
INE829S01016,54.69841793933087,1
INE211R01019,52.894132860534945,0
INE332S01011,64.52484651075945,0
INE365S01045,50.638624655302884,1
INE203T01012,61.56573936790231,0
INE278M01019,55.51881981483772,0
INE455O01019,53.56732421124154,0
INE712K01011,51.468811472829415,0
INE725P01012,41.40162876586145,2
INE764L01010,37.92452433506097,1
INE302M01033,49.16898862077526,0
INE212Q01019,54.158453554633034,1
INE094T01015,59.49356301163191,0
INE262S01010,37.934648358107516,2
INE344T01014,59.11792216763133,0
INE136T01014,50.79556079647374,1
INE060T01024,60.78750550096466,0
INE473T01011,61.60984651075944,0
INE256S01012,51.05266005962968,1
INE030T01027,57.986315024774186,1
INE335K01011,40.20046296090843,1
INE646L01027,54.95327799252457,1
INE500L01026,52.17604650732425,0
INE925S01012,61.70017371082424,0
INE364T01012,54.925243596202755,1
INE600L01024,58.14948475970747,0
INE540L01014,55.400135945641395,0
INE452S01025,53.178695977155144,1
INE410P01011,46.937946232694166,1
INE742R01013,51.17585266289475,1
INE382T01014,63.28967294013154,0
INE562S01013,42.134983650611765,2
INE484I01029,44.017585541192226,1
INE985S01024,44.83233962721225,1
INE564S01019,54.249445773915404,1
INE306L01010,54.4484589761848,0
INE615T01017,51.553086444469336,1
INE622Q01019,55.86194941823027,1
INE127T01021,65.95843140898124,0
INE106T01025,59.83738645334562,0
INE773T01014,50.74469358732648,1
INE658T01017,64.65704843025784,0
INE075I01017,52.96791868271166,0
INE558R01013,58.220294899279835,0
INE030U01025,70.72636641250317,0
INE316L01019,39.698959710709815,1
INE173U01015,42.683152042136975,2
INE043U01010,57.01600918499412,0
INE483S01020,46.27650836150199,1
INE912T01018,63.11211437230408,0
INE410U01011,56.0042234707084,0
