isin,name,type,year,nse,bse
INE700H01012,KEW Industries Ltd.,MB,2006,,532758
INE224B01024,Birla Power Solutions Ltd. FPO,MB,2006,,517001
INE979C01013,Powersoft Global Solutions Ltd. FPO,MB,2006,,532736
INE720H01010,Circuit Systems (India) Ltd.,MB,2007,,532913
INE989B01014,Dagger-Forst Tools Ltd. FPO,MB,2007,,505426
INE213J01012,Chemcel Bio-tech Ltd.,MB,2008,,533026
INE207I01016,Avon Weighing Systems Ltd.,MB,2008,,532995
INE450H01014,Anu's Laboratories Ltd.,MB,2008,,532981
INE435H01015,Manjushree Extrusions Ltd. FPO,MB,2008,,532950
INE091K01010,Midfield Industries Ltd.,MB,2010,,533220
INE341L01017,Birla Pacific Medspa Ltd.,MB,2011,,533469
INE926O01019,Ace Tours Worldwide Ltd.,SME,2013,,536492
