isin,company,type,ticker
INE0DG401010,Trekkingtoes.com Ltd.,sme,543222.BO
INE0AU701018,ICL Organic Dairy Products Ltd.,sme,542935.BO
INE0HPK01012,DU Digital Technologies Ltd.,sme,DUDIGITAL.NS
INE0YRN01025,Dhariwalcorp Ltd.,sme,DHARIWAL.NS
INE1HK501016,Modern Diagnostic & Research Centre Ltd.,sme,544673.BO
INE1CEJ01017,E to E Transportation Infrastructure Ltd.,sme,E2ERAIL.NS
INE1IJQ01026,Bai Kakaji Polymers Ltd.,sme,544670.BO
INE0XLO01010,Admach Systems Ltd.,sme,544669.BO
INE0YJA01011,Nanta Tech Ltd.,sme,544668.BO
INE1F9M01018,Dachepalli Publishers Ltd.,sme,544667.BO
INE1ITY01011,Global Ocean Logistics India Ltd.,sme,544665.BO
INE1NQ501012,Neptune Logitek Ltd.,sme,544663.BO
INE16QA01011,Stanbik Agro Ltd.,sme,544659.BO
INE1E1V01017,HRS Aluglaze Ltd.,sme,544656.BO
INE14LM01012,Pajson Agro India Ltd.,sme,544657.BO
INE0O9L01010,Shipwaves Online Ltd.,sme,544646.BO
INE1FHV01026,Unisem Agritech Ltd.,sme,544648.BO
INE1DKT01011,Riddhi Display Equipments Ltd.,sme,544640.BO
INE10XK01019,Prodocs Solutions Ltd.,sme,544643.BO
INE1IE301018,K.V.Toys India Ltd.,sme,544641.BO
INE0QZR01017,Methodhub Software Ltd.,sme,544637.BO
INE1MF401019,Western Overseas Study Abroad Ltd.,sme,544636.BO
INE1CJB01013,Luxury Time Ltd.,sme,544635.BO
INE1FJE01010,Helloji Holidays Ltd.,sme,544630.BO
INE0W4D01018,Ravelcare Ltd.,sme,544629.BO
INE0RUY01012,Astron Multigrain Ltd.,sme,544628.BO
INE0VDK01019,Purple Wave Infocom Ltd.,sme,544627.BO
INE1BA901016,Logiciel Solutions Ltd.,sme,544625.BO
INE1E4401010,Exato Technologies Ltd.,sme,544626.BO
INE0EOJ01014,K K Silk Mills Ltd.,sme,544624.BO
INE0UH001016,Mother Nutri Foods Ltd.,sme,544623.BO
INE1U2R01013,SSMD Agrotech India Ltd.,sme,544621.BO
INE0BUQ01012,Gallard Steel Ltd.,sme,544616.BO
INE0U9D01019,Mahamaya Lifesciences Ltd.,sme,544611.BO
INE1I1301016,Workmates Core2Cloud Solution Ltd.,sme,544610.BO
INE0D8001018,Shining Tools Ltd.,sme,544607.BO
INE0SVZ01015,Safecure Services Ltd.,sme,544596.BO
INE1GUJ01014,Game Changers Texfab Ltd.,sme,544594.BO
INE0NQ401024,Avax Apparels & Ornaments Ltd.,sme,544337.BO
