isin,company,field,old,new,severity
INE0POP01017,AccelerateBS India Ltd.,ticker_bo,ACCELERATE,543938,BSE_FMT
INE0POP01017,AccelerateBS India Ltd.,listing_open,68.44,109.50,SOFT
INE0XBS01012,Airfloa Rail Technology Ltd.,ticker_bo,AIRFLOA,544516,BSE_FMT
INE0S9501014,Khyati Global Ventures Ltd.,ticker_bo,KGVL,544270,BSE_FMT
INE0UJF01018,Sharvaya Metals Ltd.,ticker_bo,SHARVAYA,544506,BSE_FMT
INE0ZDY01011,Abram Food Ltd.,ticker_bo,ABRFL,544422,BSE_FMT
INE0PA401012,Identixweb Ltd.,ticker_bo,IDENTIXWEB,544388,BSE_FMT
INE0OLZ01015,Harshdeep Hortico Ltd.,ticker_bo,HARSHDEEP,544105,BSE_FMT
INE0QI101019,Mish Designs Ltd.,ticker_bo,MISHDESIGN,544015,BSE_FMT
INE13VU01016,Beezaasan Explotech Ltd.,ticker_bo,BEEZAASAN,544369,BSE_FMT
INE0PA601017,Vivaa Tradecom Ltd.,ticker_bo,VIVAA,544002,BSE_FMT
INE0HSD01011,Fabtech Technologies Cleanrooms Ltd.,ticker_bo,FABCLEAN,544332,BSE_FMT
INE14LM01012,Pajson Agro India Ltd.,ticker_bo,PAJSON,544657,BSE_FMT
INE0QMV01017,BharatRohan Airborne Innovations Ltd.,ticker_bo,BHARATROHAN,544535,BSE_FMT
INE0N6U01018,Kalyani Cast Tech Ltd.,ticker_bo,KALYANI,544023,BSE_FMT
INE0NEV01011,Ahasolar Technologies Ltd.,ticker_bo,AHASOLAR,543941,BSE_FMT
INE1DKT01011,Riddhi Display Equipments Ltd.,ticker_bo,RDEL,544640,BSE_FMT
INE0S9X01011,Ace Alpha Tech Ltd.,ticker_bo,ACEALPHA,544431,BSE_FMT
INE0S0701019,Greenhitech Ventures Ltd.,ticker_bo,GVL,544163,BSE_FMT
INE0R4701017,Alpex Solar Ltd.,listing_open,399.7,329.00,SOFT
INE0Q3401017,Sodhani Academy of Fintech Enablers Ltd.,ticker_bo,SAFE,544257,BSE_FMT
INE0OXY01013,Afcom Holdings Ltd.,ticker_bo,AFCOM,544224,BSE_FMT
INE0MIO01019,Organic Recycling Systems Ltd.,ticker_bo,ORGANICREC,543997,BSE_FMT
INE0SK201011,Resourceful Automobile Ltd.,ticker_bo,RAL,544236,BSE_FMT
INE0O9L01010,Shipwaves Online Ltd.,ticker_bo,SHIPWAVES,544646,BSE_FMT
INE0SC101013,Supertech EV Ltd.,ticker_bo,SEVL,544428,BSE_FMT
INE0Q2L01013,Davin Sons Retail Ltd.,ticker_bo,DAVIN,544331,BSE_FMT
INE1U2R01013,SSMD Agrotech India Ltd.,ticker_bo,SSMD,544621,BSE_FMT
INE0Y8W01025,Anlon Healthcare Ltd.,listing_open,9.1,91.00,SOFT
INE16IQ01014,Super Iron Foundry Ltd.,ticker_bo,SUPERIRON,544381,BSE_FMT
INE16QA01011,Stanbik Agro Ltd.,ticker_bo,STANBIK,544659,BSE_FMT
INE10XK01019,Prodocs Solutions Ltd.,ticker_bo,PRODOCS,544643,BSE_FMT
INE0RUJ01013,GEM Enviro Management Ltd.,ticker_bo,GEMENVIRO,544199,BSE_FMT
INE0FRK01020,Motisons Jewellers Ltd.,listing_open,10.39,103.90,SOFT
INE162901016,Meta Infotech Ltd.,ticker_bo,METAINFO,544441,BSE_FMT
INE0SUM01015,DSM Fresh Foods Ltd.,ticker_bo,ZAPPFRESH,544568,BSE_FMT
INE0N4701016,Naturewings Holidays Ltd.,ticker_bo,NHL,544245,BSE_FMT
INE0OWC01011,Khazanchi Jewellers Ltd.,ticker_bo,KHAZANCHI,543953,BSE_FMT
INE12P101018,Chiraharit Ltd.,ticker_bo,CHIRAHARIT,544561,BSE_FMT
INE0XLO01010,Admach Systems Ltd.,ticker_bo,ADMACH,544669,BSE_FMT
INE0PSJ01011,Sahara Maritime Ltd.,ticker_bo,SMARITIME,544056,BSE_FMT
INE1CJB01013,Luxury Time Ltd.,ticker_bo,LUXURY,544635,BSE_FMT
INE0UH001016,Mother Nutri Foods Ltd.,ticker_bo,MNFL,544623,BSE_FMT
INE0TI501017,Praruh Technologies Ltd.,ticker_bo,PRARUH,544538,BSE_FMT
INE0PPK01015,Orient Technologies Ltd.,listing_open,263.64,290.00,SOFT
