isin,company,field,sharescart,screener,fy
INE463V01026,Anand Rathi Wealth Ltd.,pre_ipo_net_sales,846.0,273.0,Mar 2021
INE463V01026,Anand Rathi Wealth Ltd.,pre_ipo_pat,104.0,45.0,Mar 2021
INE07U701015,IRM Energy Ltd.,pre_ipo_pat,56.0,63.0,Mar 2023
INE395N01027,TVS Supply Chain Solutions Ltd.,pre_ipo_pat,48.0,42.0,Mar 2023
INE0JO301016,Yatharth Hospital & Trauma Care Services Ltd.,pre_ipo_net_sales,520.0,478.0,Mar 2023
INE037Z01029,Concord Enviro Systems Ltd.,pre_ipo_pat,96.0,41.0,Mar 2024
INE0UIZ01018,Zinka Logistics Solutions Ltd.,pre_ipo_pat,-167.0,-194.0,Mar 2024
INE995S01015,Niva Bupa Health Insurance Co.Ltd.,pre_ipo_net_sales,3811.0,4115.0,Mar 2024
INE03JT01014,Go Digit General Insurance Ltd.,pre_ipo_net_sales,7096.0,8147.0,Mar 2024
INE0QN801017,Krystal Integrated Services Ltd.,pre_ipo_pat,34.0,38.0,Mar 2023
INE777F01014,Exicom Tele-Systems Ltd.,pre_ipo_pat,33.0,8.0,Mar 2023
INE696F01016,Juniper Hotels Ltd.,pre_ipo_pat,-1.0,-2.0,Mar 2023
INE0V0W01025,Gujarat Kidney & Super Speciality Ltd.,pre_ipo_pat,9.0,10.0,Mar 2025
INE0ILV01024,Capillary Technologies India Ltd.,pre_ipo_pat,14.0,13.0,Mar 2025
INE01TY01017,Canara HSBC Life Insurance Co.Ltd.,pre_ipo_net_sales,7850.0,10710.0,Mar 2025
INE084K01015,Amanta Healthcare Ltd.,pre_ipo_pat,11.0,10.0,Mar 2025
INE01R501028,Vikran Engineering Ltd.,pre_ipo_net_sales,94.0,916.0,Mar 2025
INE01R501028,Vikran Engineering Ltd.,pre_ipo_pat,9.0,78.0,Mar 2025
INE0WO601020,Laxmi Dental Ltd.,pre_ipo_pat,18.0,25.0,Mar 2024
INE0LGX01024,Insolation Energy Ltd.,pre_ipo_net_sales,126.0,215.0,Mar 2022
INE0LGX01024,Insolation Energy Ltd.,pre_ipo_pat,11.0,7.0,Mar 2022
