isin,name,type,listing_date,year,sub_total_x,issue_size_cr,score,quintile,n_flags,allottee_ret,alpha_1y,ret_1y,outcome_class,is_bad,is_winner
INE068V01023,Gland Pharma Ltd.,MB,2020-11-20,2020,2.06,6480.0,44.3,5,0,0.5153,0.4972,1.279,winner,False,True
INE063P01018,Equitas Small Finance Bank Ltd.,MB,2020-11-02,2020,,518.0,46.0,5,0,1.2409,0.3801,0.9015,multibagger,False,True
INE495P01020,Mrs.Bectors Food Specialities Ltd.,MB,2020-12-24,2020,198.02,541.0,39.2,5,0,1.9896,-0.5997,0.3142,multibagger,False,True
INE07T201019,Restaurant Brands Asia Ltd.,MB,2020-12-14,2020,,810.0,36.1,5,0,0.1452,-0.1499,1.6017,flat,False,False
INE01BK01022,Antony Waste Handling Cell Ltd.,MB,2021-01-01,2021,0.5,300.0,32.3,5,0,0.4319,-0.4338,0.0398,winner,False,True
INE053F01010,Indian Railway Finance Corp.Ltd.,MB,2021-01-29,2021,3.49,4633.0,41.3,5,0,2.7104,-0.3249,-0.1135,multibagger,False,True
INE0DD101019,RailTel Corp.of India Ltd.,MB,2021-02-26,2021,42.39,819.0,54.9,5,0,2.3324,-0.3625,0.0122,multibagger,False,True
INE00IN01015,Stove Kraft Ltd.,MB,2021-02-05,2021,18.03,413.0,35.3,5,0,0.6864,0.7754,1.2577,winner,False,True
INE481N01025,Home First Finance Co.India Ltd.,MB,2021-02-03,2021,26.66,1154.0,47.8,5,0,1.0828,0.2723,0.4865,multibagger,False,True
INE09VQ01012,Indigo Paints Ltd.,MB,2021-02-02,2021,117.02,1169.0,38.2,5,0,-0.3596,-0.5741,0.3383,loser,True,False
INE428Q01011,Suryoday Small Finance Bank Ltd.,MB,2021-03-26,2021,2.37,582.0,43.4,5,0,-0.4366,-0.8165,-0.6667,loser,True,False
INE303R01014,Kalyan Jewellers India Ltd.,MB,2021-03-26,2021,,1175.0,27.7,5,0,3.2741,-0.3898,-0.3149,multibagger,False,True
INE00LO01017,Craftsman Automation Ltd.,MB,2021-03-25,2021,3.81,824.0,27.7,5,0,5.0839,0.2658,0.4098,multibagger,False,True
INE07O001026,Easy Trip Planners Ltd.,MB,2021-03-19,2021,159.33,510.0,24.2,5,0,0.1534,1.8513,2.3706,flat,False,False
INE670K01029,Macrotech Developers Ltd.,MB,2021-04-19,2021,1.36,2500.0,44.6,5,0,2.6809,1.059,1.1443,multibagger,False,True
INE021O01019,Dodla Dairy Ltd.,MB,2021-06-28,2021,45.61,520.0,70.9,5,0,1.5636,-0.2115,0.1269,multibagger,False,True
INE967H01025,Krishna Institute of Medical Sciences Ltd.,MB,2021-06-28,2021,3.86,2144.0,60.7,5,0,3.7815,0.1565,0.4003,multibagger,False,True
INE810G01011,Shyam Metalics & Energy Ltd.,MB,2021-06-24,2021,,909.0,49.0,5,0,2.2722,-0.2327,-0.0639,multibagger,False,True
