isin,company,chittorgarh_open,bhavcopy_open,rel_diff_pct
INE442V01012,Prime Customer Services Ltd.,169.0,60.1,64.4
INE491H01018,Plethico Pharmaceuticals Ltd.,245.0,366.0,49.4
INE792H01019,Global Vectra Helicorp Ltd.,175.0,250.0,42.9
INE312H01016,Inox Leisure Ltd.,285.5,172.0,39.8
INE055L01013,Acropetal Technologies Ltd.,130.0,92.0,29.2
INE146Y01013,Sagar Diamonds Ltd.,35.55,45.0,26.6
INE344X01016,Ashok Masala Mart Ltd.,9.5,12.0,26.3
INE973X01012,Poojawestern Metaliks Ltd.,53.4,39.5,26.0
INE172I01012,Decolight Ceramics Ltd.,57.0,70.0,22.8
INE323I01011,Puravankara Projects Ltd.,399.0,310.0,22.3
INE165H01018,Pyramid Saimira Theatre Ltd.,135.0,106.0,21.5
INE728Z01015,SoftTech Engineers Ltd.,72.5,88.0,21.4
INE863I01016,Bang Overseas Ltd.,207.0,250.0,20.8
INE0IQ001011,Veranda Learning Solutions Ltd.,157.0,125.0,20.4
