isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src,sub_qib_x,sub_nii_x,sub_retail_x,sub_total_x,sub_qib_cr,sub_nii_cr,sub_retail_cr,sub_total_cr,gmp_pct,promoter_pre_issue_pct,promoter_post_issue_pct,price_band_low,book_built,lot_size_shares,min_investment_rs,pe_ratio,pat_ttm_cr,sales_ttm_cr,eps_ttm,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_fin_year,pre_ipo_years_available,sub_total_x_src,pat_yr3_src,gmp_pct_src,promoter_post_issue_pct_src,ticker_ns,ticker_bo,confidence,confidence_reason,isin_xchg_check,ticker_needs_review,name_at_ipo,official_isin_name,name_isin_check
INE0D5F01013,Net Pix Shorts Digital Media Ltd.,SME,,543247.0,2020-11-18,2020-11-23,2020-12-02,30.0,2.7,Fixed Price,BSE SME,Aryaman Financial,2020,Aryaman Capital Markets Ltd.,chittorgarh,3.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,30.15,chittorgarh,30.15,chittorgarh,30.0,chittorgarh,30.05,chittorgarh,Acquisition of workshop & Godown and Writer’s Lounge on a long term lease basi | Further Augment our Digital Media Content Library | General Corporate Purpose,chittorgarh,3.0,chittorgarh,,,,,,,,,,,,,,,,,,,,,,0.18,,,0.07,,,0.02,,,0.12,,,,,,,,,,,,-3.0,11.11,,,0.18,0.02,Mar 2020,1.0,,screener,,,,543247.BO,isin_authoritative,ISIN→symbol from official BSE list,match,,Net Pix Shorts Digital Media Ltd.,Net Pix Shorts Digital Media Ltd,match
INE0BLY01023,Shine Fashions (India) Ltd.,SME,,543244.0,2020-10-22,2020-10-26,2020-11-02,40.0,1.6,Fixed Price,BSE SME,Shreni Shares,2020,Shreni Shares Ltd.,chittorgarh,2.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,40.5,chittorgarh,40.5,chittorgarh,38.5,chittorgarh,39.55,chittorgarh,To meet Working Capital requirements | General Corporate Purpose | To meet the Issue Expenses,chittorgarh,2.0,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543244.BO,isin_authoritative,ISIN→symbol from official BSE list,match,,Shine Fashions (India) Ltd.,Shine Fashions (India) Ltd,match
INE0EEJ01023,Bodhi Tree Multimedia Ltd.,SME,BTML,543767.0,2020-10-09,2020-10-13,2020-10-21,95.0,3.71,Fixed Price,NSE SME,Shreni Shares,2020,Shreni Shares Ltd.,chittorgarh,4.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,95.0,chittorgarh,97.5,chittorgarh,94.0,chittorgarh,95.8,chittorgarh,To meet working capital requirement | General Corporate Expenses,chittorgarh,4.0,chittorgarh,,,,,,,,,,,,,,,,,,,,,,27.0,,,3.0,,,4.0,,,0.9,,,,,,,,,,,,-4.0,14.81,,,27.0,4.0,Mar 2020,1.0,,screener,,,BTML.NS,543767.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Bodhi Tree Multimedia Ltd.,Bodhi Tree Multimedia Limited,match
INE244W01010,Veer Global Infraconstruction Ltd.,SME,,543241.0,2020-09-30,2020-10-09,2020-10-19,28.0,4.92,Fixed Price,BSE SME,Capital Square,2020,,,5.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,31.0,chittorgarh,31.0,chittorgarh,29.45,chittorgarh,29.5,chittorgarh,To Meet the Short term Working Capital Expenses. | General corporate purpose.,chittorgarh,5.0,chittorgarh,,,,,,,,,,,,,,,,,,,,,10.08,8.51,,0.21,0.28,,0.12,0.19,,0.25,0.21,,5.81,10.24,,1.27,0.17,,29.33,32.63,,-0.99,-3.98,2.23,1.86,0.02,8.51,0.19,Mar 2020,2.0,,screener,,,,543241.BO,isin_authoritative,ISIN→symbol from official BSE list,match,,Veer Global Infraconstruction Ltd.,Veer Global Infraconstruction Ltd,match
INE0ALR01029,Atal Realtech Ltd.,SME,ATALREAL,543911.0,2020-09-30,2020-10-07,2020-10-15,72.0,10.83,Fixed Price,NSE SME,Aryaman Financial,2020,Aryaman Capital Markets Ltd.,chittorgarh,2.0,chittorgarh,9.0,chittorgarh,81.8,chittorgarh,,,70.2,chittorgarh,70.2,chittorgarh,66.7,chittorgarh,66.7,chittorgarh,Funding Working Capital Requirement | General Corporate Purpose,chittorgarh,11.0,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATALREAL.NS,543911.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Atal Realtech Ltd.,Atal Realtech Limited,match
INE0E2801015,GM Polyplast Ltd.,SME,,543239.0,2020-09-30,2020-10-06,2020-10-14,159.0,8.09,Fixed Price,BSE SME,Gretex Corporate,2020,Gretex Share Broking Pvt.Ltd.,chittorgarh,5.0,chittorgarh,3.0,chittorgarh,37.5,chittorgarh,,,160.0,chittorgarh,168.0,chittorgarh,153.2,chittorgarh,167.5,chittorgarh,To Meet working capital requirement | General Corporate Purposes,chittorgarh,8.0,chittorgarh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543239.BO,isin_authoritative,ISIN→symbol from official BSE list,match,,GM Polyplast Ltd.,G M Polyplast Ltd,match
INE0D0U01013,AAA Technologies Ltd.,SME,AAATECH,543671.0,2020-09-30,2020-10-05,2020-10-13,42.0,10.23,Fixed Price,NSE SME,Chartered Finance,2020,NNM Securities Pvt.Ltd.,chittorgarh,10.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,44.5,chittorgarh,44.6,chittorgarh,42.3,chittorgarh,43.6,chittorgarh,Expansion and development of business operations across various cities in India | Working Capital Requirements (includingBank Guarantee) | General Corporate purposes,chittorgarh,10.0,chittorgarh,,,,,,,,,,,,,,,,,,,,10.23,10.34,14.16,1.29,2.94,5.05,1.0,2.06,3.69,12.5,25.75,46.12,,,,,,,,,,0.95,0.94,1.17,26.06,,,14.16,3.69,Mar 2020,3.0,,screener,,,AAATECH.NS,543671.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,AAA Technologies Ltd.,AAA Technologies Limited,match
INE0A0S01028,Sigma Solve Ltd.,SME,SIGMA,543917.0,2020-09-29,2020-10-09,2020-10-19,45.0,4.95,Fixed Price,NSE SME,Beeline Broking,2020,Nikunj Stock Brokers Ltd.,chittorgarh,5.0,chittorgarh,0.0,chittorgarh,0.0,chittorgarh,,,46.0,chittorgarh,46.0,chittorgarh,45.1,chittorgarh,45.1,chittorgarh,Acquisitions And Other Strategic Initiatives | Investment in Subsidiary | General Corporate Purpose | Public Issue Expenses,chittorgarh,5.0,chittorgarh,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,2.0,,,0.2,,,6.0,,,3.0,,,14.0,,,-0.0,20.0,33.33,0.5,10.0,2.0,Mar 2020,1.0,,screener,,,SIGMA.NS,543917.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Sigma Solve Ltd.,Sigma Solve Limited,match
INE09KD01013,Atam Valves Ltd.,SME,ATAM,543236.0,2020-09-18,2020-09-25,2020-10-06,40.0,4.5,Fixed Price,BSE SME,Fedex Securities,2020,Rikhav Securities Ltd.,chittorgarh,4.0,chittorgarh,1.0,chittorgarh,20.0,chittorgarh,,,40.0,chittorgarh,40.0,chittorgarh,38.0,chittorgarh,39.05,chittorgarh,Repayment/ Prepayment of certain secured borrowings availed by our Company | General corporate purposes,chittorgarh,5.0,chittorgarh,,,,,,,,,,,,,,,,,,,,17.3,18.34,16.29,2.48,2.52,1.86,0.51,0.65,0.04,0.85,1.08,0.07,3.71,4.36,4.86,12.75,10.72,8.5,18.56,17.26,16.02,0.96,3.63,3.74,0.25,0.82,1.75,16.29,0.04,Mar 2020,3.0,,screener,,,ATAM.NS,543236.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,Atam Valves Ltd.,Atam Valves Limited,match
INE0BTM01013,SecMark Consultancy Ltd.,SME,SECMARK,543234.0,2020-09-18,2020-09-23,2020-10-01,135.0,15.04,Fixed Price,BSE SME,Indorient Financial,2020,Vijeta Broking India Pvt.Ltd.,chittorgarh,14.0,chittorgarh,1.0,chittorgarh,6.7,chittorgarh,,,134.0,chittorgarh,134.0,chittorgarh,127.3,chittorgarh,127.3,chittorgarh,"To finance development and/or procurement of technology, applications, software, infrastructure etc. including strategic acquisitions of Firms/Companies in the technology space to complement and enhance our Company’s value proposition | To expand and retain our Leadership team that will lead the Company into the next phase of growth | To acquire / rent assets | Repayment of bank facilities | General corporate purposes",chittorgarh,15.0,chittorgarh,,,,,,,,,,,,,,,,,,,,3.24,3.83,5.63,1.23,1.39,1.61,0.87,0.97,1.06,,,1.41,2.08,3.05,4.21,0.35,0.42,1.12,2.93,4.92,6.11,0.56,2.2,-0.26,18.83,25.18,0.27,5.63,1.06,Mar 2020,3.0,,screener,,,SECMARK.NS,543234.BO,isin_authoritative,ISIN→symbol from official NSE list,match,,SecMark Consultancy Ltd.,SecMark Consultancy Limited,match
