scrip_id,Scrip_Name,ISIN_NUMBER,GROUP
ABB,ABB India Ltd,INE117A01022,A
AEGISLOG,Aegis Logistics Ltd,INE208C01025,A
ARE&M,Amara Raja Energy & Mobility Ltd,INE885A01032,A
AMBALALSA,Ambalal Sarabhai Enterprises Ltd,INE432A01017,B
ANDHRAPET,Andhra Petrochemicals Ltd,INE714B01016,X
ANSALAPI,Ansal Properties & Infrastructure Ltd,INE436A01026,Z
UTIQUE,Utique Enterprises Ltd,INE096A01010,X
ARUNAHTEL,Aruna Hotels Ltd,INE957C01019,X
BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,INE032A01023,A
ASIANHOTNR,Asian Hotels (North) Ltd,INE363A01022,B
ATUL,Atul Ltd,INE100A01010,A
ATVPR,ATV Projects India Ltd,INE447A01015,X
BAJAJELEC,Bajaj Electricals Ltd-$,INE193E01025,A
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,INE306A01021,A
FORCEMOT,Force Motors Ltd-$,INE451A01017,A
BAJFINANCE,Bajaj Finance Ltd,INE296A01032,A
BALRAMCHIN,Balrampur Chini Mills Ltd,INE119A01028,A
BANCOINDIA,Banco Products (India) Ltd-$,INE213C01025,A
ABREL,Aditya Birla Real Estate Ltd,INE055A01016,A
BANARISUG,Bannari Amman Sugars Ltd,INE459A01010,B
BASF,BASF India Ltd,INE373A01013,A
BATAINDIA,Bata India Ltd,INE176A01028,A
BEML,BEML Ltd,INE258A01024,A
BEL,Bharat Electronics Ltd,INE263A01024,A
BHAGGAS,Bhagawati Gas Ltd,INE099C01010,XT
BEPL,Bhansali Engineering Polymers Ltd-$,INE922A01025,B
BIHSPONG,Bihar Sponge Iron Ltd,INE819C01011,X
BIRLACABLE,Birla Cable Ltd,INE800A01015,T
BLUESTARCO,Blue Star Ltd,INE472A01039,A
DISAQ,Disa India Ltd,INE131C01011,B
QUESTCAP,Quest Capital Markets Ltd,INE418C01012,X
BPL,BPL Ltd,INE110A01019,B
OAL,Oriental Aromatics Ltd-$,INE959C01023,B
CENTEXT,Century Extrusions Ltd,INE281A01026,B
CESC,CESC Ltd,INE486A01021,A
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,INE085A01013,A
EXIDEIND,Exide Industries Ltd,INE302A01020,A
CIPLA,Cipla Ltd,INE059A01026,A
DICIND,DIC India Ltd,INE303A01010,B
CRISIL,CRISIL Ltd,INE007A01025,A
CGPOWER,CG Power and Industrial Solutions Ltd,INE067A01029,A
DABUR,Dabur India Ltd,INE016A01026,A
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,INE495A01022,B
ARVIND,Arvind Ltd,INE034A01011,A
BHEL,Bharat Heavy Electricals Ltd,INE257A01026,A
HINDPETRO,Hindustan Petroleum Corporation Ltd,INE094A01015,A
IFCI,IFCI Ltd,INE039A01010,A
MTNL,Mahanagar Telephone Nigam Ltd,INE153A01019,B
MRPL,Mangalore Refinery and Petrochemicals Ltd,INE103A01014,A
CHENNPETRO,Chennai Petroleum Corporation Ltd,INE178A01016,A
SBIN,State Bank of India,INE062A01020,A
SAIL,Steel Authority of India Ltd,INE114A01011,A
TITAN,Titan Company Ltd,INE280A01028,A
IDBI,IDBI Bank Ltd,INE008A01015,A
DCW,DCW Ltd,INE500A01029,B
DHAMPURSUG,Dhampur Sugar Mills Ltd,INE041A01016,B
DIAMINESQ,Diamines & Chemicals Ltd-$,INE591D01014,B
ELANTAS,Elantas Beck India Ltd-$,INE280B01018,B
DRREDDY,Dr Reddys Laboratories Ltd,INE089A01031,A
EIDPARRY,EID Parry India Ltd,INE126A01031,A
PGHL,Procter & Gamble Health Ltd,INE199A01012,A
ELECTCAST,Electrosteel Castings Ltd,INE086A01029,A
ESABINDIA,Esab India Ltd,INE284A01012,A
EPL,EPL Ltd,INE255A01020,A
ESTER,Ester Industries Ltd,INE778B01029,B
FGP,FGP Ltd,INE512A01016,X
PHCAP,PH Capital Ltd,INE160F01013,XT
FINCABLES,Finolex Cables Ltd,INE235A01022,A
COCKERILL,John Cockerill India Ltd-$,INE515A01019,B
UFLEX,Uflex Ltd,INE516A01017,B
FOSECOIND,Foseco India Ltd,INE519A01011,B
GOLDENTOBC,Golden Tobacco Ltd,INE973A01010,Z
GANESHBE,Ganesh Benzoplast Ltd,INE388A01029,B
METROGLOBL,Metroglobal Ltd,INE085D01033,B
GTL,GTL Ltd,INE043A01012,B
GODFRYPHLP,Godfrey Phillips India Ltd,INE260B01028,A
GODREJIND,Godrej Industries Ltd,INE233A01035,A
KANSAINER,Kansai Nerolac Paints Ltd,INE531A01024,A
GOODRICKE,Goodricke Group Ltd,INE300A01016,X
GOODYEAR,Goodyear India Ltd,INE533A01012,B
GTNINDS,GTN Industries Ltd,INE537A01013,X
GHCL,GHCL Ltd,INE539A01019,A
GFLLIMITED,GFL Ltd,INE538A01037,B
GLFL,Gujarat Lease Financing Ltd,INE540A01017,T
HCL-INSYS,HCL Infosystems Ltd,INE236A01020,B
HDFCBANK,HDFC Bank Ltd,INE040A01034,A
