symbol,yahoo_date,nse_date,yahoo_ratio,nse_ratio,nse_action_type,date_diff_days,status
20MICRONS,2013-01-28,2013-01-28,2.0,2.0,split,0,MATCH
AAATECH,2022-09-13,2022-09-14,1.5,1.5,bonus,1,MATCH
AAKASH,2020-03-26,2020-03-26,1.5,1.5,bonus,0,MATCH
AAKASH,2022-02-03,2022-02-03,10.0,10.0,split,0,MATCH
AARON,2019-08-29,2019-08-29,1.1,1.1,bonus,0,MATCH
AARON,2020-09-03,2020-09-03,1.9090909090909092,1.909091,bonus,0,MATCH
AARON,2025-08-25,2025-08-25,2.0,2.0,bonus,0,MATCH
AARTECH,2024-08-09,2024-08-09,1.5,1.5,bonus,0,MATCH
ABINFRA,2025-10-17,2025-10-17,10.0,10.0,split,0,MATCH
ACCURACY,2023-02-15,2023-02-15,10.0,10.0,split,0,MATCH
ACE,2008-03-13,2008-03-13,5.0,5.0,split,0,MATCH
ACEINTEG,2021-10-07,2021-10-07,1.5,1.5,bonus,0,MATCH
ACUTAAS,2025-04-25,2025-04-25,2.0,2.0,split,0,MATCH
ADANIPORTS,2010-09-23,2010-09-23,5.0,5.0,split,0,MATCH
ADANIPOWER,2025-09-22,2025-09-22,5.0,5.0,split,0,MATCH
ADSL,2009-11-11,2009-11-11,2.0,2.0,split,0,MATCH
ADVENZYMES,2017-05-25,2017-05-25,5.0,5.0,split,0,MATCH
AFFLE,2021-10-07,2021-10-07,5.0,5.0,split,0,MATCH
AFIL,2025-04-17,2025-04-17,10.0,10.0,split,0,MATCH
AGIIL,2025-02-07,2025-02-07,2.0,2.0,split,0,MATCH
AGIIL,2025-10-10,2025-10-10,5.0,5.0,split,0,MATCH
AHCL,2026-04-24,2026-04-24,2.0,2.0,bonus,0,MATCH
AILIMITED,2023-07-19,2023-07-19,2.0,2.0,bonus,0,MATCH
AIRAN,2018-08-14,2018-08-14,5.0,5.0,split,0,MATCH
AIRAN,2019-04-22,2019-04-22,2.0,2.0,bonus,0,MATCH
AJOONI,2021-03-10,2021-03-10,1.1111111111111112,1.111111,bonus,0,MATCH
AJOONI,2022-10-07,2022-10-07,5.0,5.0,split,0,MATCH
AJRINFRA,2009-10-26,2009-10-26,5.0,5.0,split,0,MATCH
AJRINFRA,2013-01-23,2013-01-23,1.0294117647058822,1.029412,bonus,0,MATCH
AKASH,2019-03-07,2019-03-07,2.0,2.0,bonus,0,MATCH
AKG,2020-12-07,2020-12-07,1.6,1.6,bonus,0,MATCH
AKI,2023-06-22,2023-06-22,5.0,5.0,split,0,MATCH
AKSHAR,2023-07-31,2023-07-31,10.0,10.0,split,0,MATCH
AKSHAR,2024-02-05,2024-02-15,1.2,1.2,bonus,10,MATCH
AKSHAR,2024-02-15,2024-02-15,1.2,1.2,bonus,0,MATCH
ALLCARGO,2015-12-30,2015-12-30,2.0,2.0,bonus,0,MATCH
ALLCARGO,2024-01-02,2024-01-02,4.0,4.0,bonus,0,MATCH
ANANDRATHI,2025-03-05,2025-03-05,2.0,2.0,bonus,0,MATCH
ANANDRATHI,2026-06-03,2026-06-03,2.0,2.0,bonus,0,MATCH
ANGELONE,2026-02-26,2026-02-26,10.0,10.0,split,0,MATCH
ANMOL,2023-07-18,2023-07-18,5.0,5.0,bonus,0,MATCH
APOLLO,2023-05-04,2023-05-04,10.0,10.0,split,0,MATCH
ARVEE,2020-10-08,2020-10-13,2.0,2.0,bonus,5,MATCH
ASCOM,2023-03-06,2023-03-06,1.5,1.5,bonus,0,MATCH
ASHOKA,2018-07-12,2018-07-12,1.5,1.5,bonus,0,MATCH
ASTRAL,2010-09-15,2010-09-15,2.0,2.0,split,0,MATCH
ASTRAL,2013-09-05,2013-09-05,2.5,2.5,split,0,MATCH
ASTRAL,2014-09-25,2014-09-25,2.0,2.0,split,0,MATCH
ASTRAL,2019-09-16,2019-09-16,1.25,1.25,bonus,0,MATCH
ASTRAL,2021-03-18,2021-03-18,1.3333333333333333,1.333333,bonus,0,MATCH
ASTRAL,2023-03-14,2023-03-14,1.3333333333333333,1.333333,bonus,0,MATCH
ATALREAL,2022-09-01,2022-09-01,3.0,3.0,bonus,0,MATCH
ATALREAL,2023-11-16,2023-11-16,5.0,5.0,split,0,MATCH
ATLANTAA,2010-11-08,2010-11-08,5.0,5.0,split,0,MATCH
AUBANK,2022-06-09,2022-06-09,2.0,2.0,bonus,0,MATCH
AUSTRAL,2009-08-07,2009-08-07,10.0,10.0,split,0,MATCH
AVROIND,2022-01-27,2022-01-27,3.1,3.1,bonus,0,MATCH
AVROIND,2026-05-05,2026-05-05,10.0,10.0,split,0,MATCH
AXITA,2022-10-21,2022-10-21,10.0,10.0,split,0,MATCH
AXITA,2023-12-22,2023-12-22,1.3333333333333333,1.333333,bonus,0,MATCH
AXITA,2024-09-13,2024-09-20,1.3333333333333333,1.333333,bonus,7,MATCH
AXITA,2026-02-13,2026-02-13,1.1,1.1,bonus,0,MATCH
BAJAJCON,2011-05-05,2011-05-05,5.0,5.0,split,0,MATCH
BANKA,2020-09-03,2020-09-08,2.5,2.5,bonus,5,MATCH
BANKBARODA,2015-01-22,2015-01-22,5.0,5.0,split,0,MATCH
BDL,2024-05-24,2024-05-24,2.0,2.0,split,0,MATCH
BECTORFOOD,2025-12-12,2025-12-12,5.0,5.0,split,0,MATCH
BEML,2025-11-03,2025-11-03,2.0,2.0,split,0,MATCH
BEWLTD,2024-10-25,2024-10-25,4.0,4.0,bonus,0,MATCH
BLKASHYAP,2007-10-22,2007-10-22,2.0,2.0,split,0,MATCH
BMETRICS,2023-01-09,2023-01-09,4.0,4.0,bonus,0,MATCH
BMETRICS,2024-10-04,2024-10-04,2.0,2.0,bonus,0,MATCH
BRIGADE,2019-08-28,2019-08-28,1.5,1.5,bonus,0,MATCH
BSE,2022-03-21,2022-03-21,3.0,3.0,bonus,0,MATCH
BSE,2025-05-23,2025-05-23,3.0,3.0,bonus,0,MATCH
BSHSL,2019-10-22,2019-10-22,1.2,1.2,bonus,0,MATCH
BSHSL,2020-08-27,2020-08-27,1.3333333333333333,1.333333,bonus,0,MATCH
BSHSL,2022-09-23,2022-09-23,10.0,10.0,split,0,MATCH
BTML,2022-09-23,2022-09-23,5.0,5.0,bonus,0,MATCH
BTML,2024-04-02,2024-04-05,10.0,10.0,split,3,MATCH
CAMS,2025-12-05,2025-12-05,5.0,5.0,split,0,MATCH
CANTABIL,2023-11-02,2023-11-02,5.0,5.0,split,0,MATCH
CCCL,2010-02-10,2010-02-10,5.0,5.0,split,0,MATCH
CDSL,2024-08-23,2024-08-23,2.0,2.0,bonus,0,MATCH
CELLECOR,2024-08-09,2024-08-09,10.0,10.0,split,0,MATCH
CLEDUCATE,2021-09-30,2021-09-30,2.0,2.0,split,0,MATCH
CLEDUCATE,2022-12-16,2022-12-16,2.0,2.0,bonus,0,MATCH
CLOUD,2023-05-09,2023-05-12,2.0,2.0,bonus,3,MATCH
COCHINSHIP,2024-01-10,2024-01-10,2.0,2.0,split,0,MATCH
CROWN,2021-10-18,2021-10-18,5.0,5.0,bonus,0,MATCH
DANGEE,2022-09-06,2022-09-06,1.5,1.5,bonus,0,MATCH
DCI,2022-01-10,2022-01-10,2.0,2.0,bonus,0,MATCH
DEVIT,2021-10-21,2021-10-21,2.0,2.0,bonus,0,MATCH
DEVIT,2022-11-25,2022-11-25,2.0,2.0,split,0,MATCH
DEVIT,2025-08-21,2025-08-21,2.5,2.5,split,0,MATCH
DHARAN,2020-07-02,2020-07-02,5.0,5.0,split,0,MATCH
DHARAN,2025-03-28,2025-04-04,2.0,2.0,bonus,7,MATCH
DIGIKORE,2025-10-24,2025-10-24,2.0,2.0,bonus,0,MATCH
DIL,2022-10-27,2022-10-27,2.0,2.0,bonus,0,MATCH
