isin,symbol,action_type,raw_subject,ratio_factor,ex_date,source
INE144J01019,20MICRONS,split,Face Value Split Rs 10 To Rs 5,2.0,2013-01-28,nse_corp_actions:equities
INE466L01020,360ONE,bonus,Bonus 1:1,2.0,2023-03-02,nse_corp_actions:equities
INE466L01020,360ONE,split,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,2.0,2023-03-02,nse_corp_actions:equities
INE748C01020,3IINFOTECH,bonus,Bonus 1:1,2.0,2007-08-27,nse_corp_actions:equities
INE105C01023,3PLAND,split,Fv Split Rs.10/- To Rs.2/,5.0,2008-03-11,nse_corp_actions:equities
,534422,split,Yahoo Finance (Ratio: 1.75),1.75,2015-10-29,yfinance
,534563,split,Yahoo Finance (Ratio: 0.1),0.1,2024-04-08,yfinance
,534563,split,Yahoo Finance (Ratio: 0.1),0.1,2024-03-21,yfinance
,534623,split,Yahoo Finance (Ratio: 2.0),2.0,2014-09-29,yfinance
,534707,split,Yahoo Finance (Ratio: 2.0),2.0,2013-11-28,yfinance
,534839,split,Yahoo Finance (Ratio: 10.0),10.0,2015-01-08,yfinance
,534927,split,Yahoo Finance (Ratio: 10.0),10.0,2015-02-11,yfinance
,535141,split,Yahoo Finance (Ratio: 10.0),10.0,2015-06-04,yfinance
,535142,split,Yahoo Finance (Ratio: 10.0),10.0,2015-03-02,yfinance
,535217,split,Yahoo Finance (Ratio: 10.0),10.0,2015-02-20,yfinance
,535387,split,Yahoo Finance (Ratio: 2.8),2.8,2014-07-25,yfinance
,535431,split,Yahoo Finance (Ratio: 10.0),10.0,2014-10-28,yfinance
,535466,split,Yahoo Finance (Ratio: 1.2),1.2,2014-09-18,yfinance
,535466,split,Yahoo Finance (Ratio: 1.2),1.2,2013-09-11,yfinance
,535910,split,Yahoo Finance (Ratio: 10.0),10.0,2024-08-22,yfinance
,535910,split,Yahoo Finance (Ratio: 1.25),1.25,2017-11-13,yfinance
,536073,split,Yahoo Finance (Ratio: 2.0),2.0,2025-10-06,yfinance
,536073,split,Yahoo Finance (Ratio: 2.0),2.0,2025-01-06,yfinance
,536128,split,Yahoo Finance (Ratio: 1.3333333333333333),1.3333333333333333,2018-01-11,yfinance
,536128,split,Yahoo Finance (Ratio: 10.0),10.0,2016-10-25,yfinance
,536170,split,Yahoo Finance (Ratio: 2.0),2.0,2017-03-16,yfinance
,536170,split,Yahoo Finance (Ratio: 5.0),5.0,2015-09-03,yfinance
,536592,split,Yahoo Finance (Ratio: 10.0),10.0,2016-12-08,yfinance
,536974,split,Yahoo Finance (Ratio: 5.0),5.0,2018-09-19,yfinance
,536974,split,Yahoo Finance (Ratio: 1.125),1.125,2015-10-08,yfinance
,536974,split,Yahoo Finance (Ratio: 1.2),1.2,2014-07-24,yfinance
,537254,split,Yahoo Finance (Ratio: 0.1058),0.1058,2025-11-28,yfinance
,537954,split,Yahoo Finance (Ratio: 0.01),0.01,2025-06-17,yfinance
,538019,split,Yahoo Finance (Ratio: 1.7),1.7,2016-07-28,yfinance
,538402,split,Yahoo Finance (Ratio: 2.25),2.25,2021-07-23,yfinance
,538546,split,Yahoo Finance (Ratio: 4.0),4.0,2021-07-06,yfinance
,538547,split,Yahoo Finance (Ratio: 1.3333333333333333),1.3333333333333333,2016-08-30,yfinance
,538668,split,Yahoo Finance (Ratio: 2.0),2.0,2025-07-08,yfinance
,538668,split,Yahoo Finance (Ratio: 2.5),2.5,2022-12-30,yfinance
,538706,split,Yahoo Finance (Ratio: 5.0),5.0,2022-03-11,yfinance
,538706,split,Yahoo Finance (Ratio: 1.5),1.5,2022-03-10,yfinance
,538706,split,Yahoo Finance (Ratio: 1.5),1.5,2016-09-08,yfinance
,538713,split,Yahoo Finance (Ratio: 1.25),1.25,2016-09-14,yfinance
,538715,split,Yahoo Finance (Ratio: 1.25),1.25,2015-10-21,yfinance
,538731,split,Yahoo Finance (Ratio: 1.05),1.05,2018-04-10,yfinance
,538733,split,Yahoo Finance (Ratio: 1.25),1.25,2016-10-06,yfinance
,538812,split,Yahoo Finance (Ratio: 0.01),0.01,2025-04-30,yfinance
,538817,split,Yahoo Finance (Ratio: 3.0),3.0,2023-03-02,yfinance
,538921,split,Yahoo Finance (Ratio: 10.0),10.0,2022-07-29,yfinance
,538928,split,Yahoo Finance (Ratio: 10.0),10.0,2023-02-24,yfinance
,539026,split,Yahoo Finance (Ratio: 2.0),2.0,2020-01-16,yfinance
,539097,split,Yahoo Finance (Ratio: 1.5),1.5,2022-02-24,yfinance
,539097,split,Yahoo Finance (Ratio: 5.0),5.0,2020-09-03,yfinance
,539098,split,Yahoo Finance (Ratio: 1.3333333333333333),1.3333333333333333,2024-07-12,yfinance
,539098,split,Yahoo Finance (Ratio: 1.2),1.2,2018-10-04,yfinance
,539098,split,Yahoo Finance (Ratio: 2.5),2.5,2016-04-06,yfinance
,539216,split,Yahoo Finance (Ratio: 2.0),2.0,2024-09-03,yfinance
,539216,split,Yahoo Finance (Ratio: 2.0),2.0,2024-08-23,yfinance
,539216,split,Yahoo Finance (Ratio: 10.0),10.0,2022-05-18,yfinance
,539216,split,Yahoo Finance (Ratio: 1.5),1.5,2020-03-30,yfinance
,539222,split,Yahoo Finance (Ratio: 10.0),10.0,2024-01-31,yfinance
,539222,split,Yahoo Finance (Ratio: 1.24),1.24,2023-03-24,yfinance
,539223,split,Yahoo Finance (Ratio: 1.5),1.5,2017-02-03,yfinance
,539223,split,Yahoo Finance (Ratio: 2.0),2.0,2016-05-11,yfinance
,539227,split,Yahoo Finance (Ratio: 1.5),1.5,2017-09-27,yfinance
,539228,split,Yahoo Finance (Ratio: 2.0),2.0,2018-05-10,yfinance
,539228,split,Yahoo Finance (Ratio: 1.05),1.05,2017-11-10,yfinance
,539228,split,Yahoo Finance (Ratio: 1.05),1.05,2017-08-10,yfinance
,539229,split,Yahoo Finance (Ratio: 2.0),2.0,2017-10-10,yfinance
,539275,split,Yahoo Finance (Ratio: 2.0),2.0,2017-08-30,yfinance
,539310,split,Yahoo Finance (Ratio: 3.0),3.0,2025-02-05,yfinance
,539310,split,Yahoo Finance (Ratio: 5.0),5.0,2024-08-05,yfinance
,539310,split,Yahoo Finance (Ratio: 0.2),0.2,2020-02-06,yfinance
,539310,split,Yahoo Finance (Ratio: 10.0),10.0,2018-04-12,yfinance
,539314,split,Yahoo Finance (Ratio: 1.25),1.25,2021-11-09,yfinance
,539337,split,Yahoo Finance (Ratio: 1.4),1.4,2020-11-03,yfinance
,539363,split,Yahoo Finance (Ratio: 1.1),1.1,2017-12-06,yfinance
,539398,split,Yahoo Finance (Ratio: 1.8),1.8,2019-02-28,yfinance
,539398,split,Yahoo Finance (Ratio: 1.25),1.25,2016-12-15,yfinance
,539402,split,Yahoo Finance (Ratio: 1.6),1.6,2020-10-08,yfinance
,539428,split,Yahoo Finance (Ratio: 2.0),2.0,2023-07-19,yfinance
,539428,split,Yahoo Finance (Ratio: 4.6),4.6,2018-04-26,yfinance
,539428,split,Yahoo Finance (Ratio: 2.0),2.0,2017-03-08,yfinance
,539526,split,Yahoo Finance (Ratio: 3.0),3.0,2020-03-06,yfinance
,539526,split,Yahoo Finance (Ratio: 2.0),2.0,2018-10-11,yfinance
,539570,split,Yahoo Finance (Ratio: 1.6),1.6,2018-11-29,yfinance
