symbol,original_symbol,yahoo_date,yahoo_ratio,is_bse_code,status
534422,534422.BO,2015-10-29,1.75,True,YAHOO_ONLY
534563,534563.BO,2024-03-21,0.1,True,YAHOO_ONLY
534563,534563.BO,2024-04-08,0.1,True,YAHOO_ONLY
534623,534623.BO,2014-09-29,2.0,True,YAHOO_ONLY
534707,534707.BO,2013-11-28,2.0,True,YAHOO_ONLY
534839,534839.BO,2015-01-08,10.0,True,YAHOO_ONLY
534927,534927.BO,2015-02-11,10.0,True,YAHOO_ONLY
535141,535141.BO,2015-06-04,10.0,True,YAHOO_ONLY
535142,535142.BO,2015-03-02,10.0,True,YAHOO_ONLY
535217,535217.BO,2015-02-20,10.0,True,YAHOO_ONLY
535387,535387.BO,2014-07-25,2.8,True,YAHOO_ONLY
535431,535431.BO,2014-10-28,10.0,True,YAHOO_ONLY
535466,535466.BO,2013-09-11,1.2,True,YAHOO_ONLY
535466,535466.BO,2014-09-18,1.2,True,YAHOO_ONLY
535910,535910.BO,2017-11-13,1.25,True,YAHOO_ONLY
535910,535910.BO,2024-08-22,10.0,True,YAHOO_ONLY
536073,536073.BO,2025-01-06,2.0,True,YAHOO_ONLY
536073,536073.BO,2025-10-06,2.0,True,YAHOO_ONLY
536128,536128.BO,2016-10-25,10.0,True,YAHOO_ONLY
536128,536128.BO,2018-01-11,1.3333333333333333,True,YAHOO_ONLY
536170,536170.BO,2015-09-03,5.0,True,YAHOO_ONLY
536170,536170.BO,2017-03-16,2.0,True,YAHOO_ONLY
536592,536592.BO,2016-12-08,10.0,True,YAHOO_ONLY
536974,536974.BO,2014-07-24,1.2,True,YAHOO_ONLY
536974,536974.BO,2015-10-08,1.125,True,YAHOO_ONLY
536974,536974.BO,2018-09-19,5.0,True,YAHOO_ONLY
537254,537254.BO,2025-11-28,0.1058,True,YAHOO_ONLY
537954,537954.BO,2025-06-17,0.01,True,YAHOO_ONLY
538019,538019.BO,2016-07-28,1.7,True,YAHOO_ONLY
538402,538402.BO,2021-07-23,2.25,True,YAHOO_ONLY
538546,538546.BO,2021-07-06,4.0,True,YAHOO_ONLY
538547,538547.BO,2016-08-30,1.3333333333333333,True,YAHOO_ONLY
538668,538668.BO,2022-12-30,2.5,True,YAHOO_ONLY
538668,538668.BO,2025-07-08,2.0,True,YAHOO_ONLY
538706,538706.BO,2016-09-08,1.5,True,YAHOO_ONLY
538706,538706.BO,2022-03-10,1.5,True,YAHOO_ONLY
538706,538706.BO,2022-03-11,5.0,True,YAHOO_ONLY
538713,538713.BO,2016-09-14,1.25,True,YAHOO_ONLY
538715,538715.BO,2015-10-21,1.25,True,YAHOO_ONLY
538731,538731.BO,2018-04-10,1.05,True,YAHOO_ONLY
538733,538733.BO,2016-10-06,1.25,True,YAHOO_ONLY
538812,538812.BO,2025-04-30,0.01,True,YAHOO_ONLY
538817,538817.BO,2023-03-02,3.0,True,YAHOO_ONLY
538921,538921.BO,2022-07-29,10.0,True,YAHOO_ONLY
538928,538928.BO,2023-02-24,10.0,True,YAHOO_ONLY
539026,539026.BO,2020-01-16,2.0,True,YAHOO_ONLY
539097,539097.BO,2020-09-03,5.0,True,YAHOO_ONLY
539097,539097.BO,2022-02-24,1.5,True,YAHOO_ONLY
539098,539098.BO,2016-04-06,2.5,True,YAHOO_ONLY
539098,539098.BO,2018-10-04,1.2,True,YAHOO_ONLY
539098,539098.BO,2024-07-12,1.3333333333333333,True,YAHOO_ONLY
539216,539216.BO,2020-03-30,1.5,True,YAHOO_ONLY
539216,539216.BO,2022-05-18,10.0,True,YAHOO_ONLY
539216,539216.BO,2024-08-23,2.0,True,YAHOO_ONLY
539216,539216.BO,2024-09-03,2.0,True,YAHOO_ONLY
539222,539222.BO,2023-03-24,1.24,True,YAHOO_ONLY
539222,539222.BO,2024-01-31,10.0,True,YAHOO_ONLY
539223,539223.BO,2016-05-11,2.0,True,YAHOO_ONLY
539223,539223.BO,2017-02-03,1.5,True,YAHOO_ONLY
539227,539227.BO,2017-09-27,1.5,True,YAHOO_ONLY
539228,539228.BO,2017-08-10,1.05,True,YAHOO_ONLY
539228,539228.BO,2017-11-10,1.05,True,YAHOO_ONLY
539228,539228.BO,2018-05-10,2.0,True,YAHOO_ONLY
539229,539229.BO,2017-10-10,2.0,True,YAHOO_ONLY
539275,539275.BO,2017-08-30,2.0,True,YAHOO_ONLY
539310,539310.BO,2018-04-12,10.0,True,YAHOO_ONLY
539310,539310.BO,2020-02-06,0.2,True,YAHOO_ONLY
539310,539310.BO,2024-08-05,5.0,True,YAHOO_ONLY
539310,539310.BO,2025-02-05,3.0,True,YAHOO_ONLY
539314,539314.BO,2021-11-09,1.25,True,YAHOO_ONLY
539337,539337.BO,2020-11-03,1.4,True,YAHOO_ONLY
539363,539363.BO,2017-12-06,1.1,True,YAHOO_ONLY
539398,539398.BO,2016-12-15,1.25,True,YAHOO_ONLY
539398,539398.BO,2019-02-28,1.8,True,YAHOO_ONLY
539402,539402.BO,2020-10-08,1.6,True,YAHOO_ONLY
539428,539428.BO,2017-03-08,2.0,True,YAHOO_ONLY
