isin,listing_date,rec_date,open,high,low,close,volume,source
INE012Q01039,2014-04-22,2014-04-22,10.55,11.05,10.55,11.05,1170000.0,bse_bhavcopy
INE02EZ01022,2019-01-10,2019-01-10,61.0,64.05,61.0,62.1,632000.0,bse_bhavcopy
INE030T01027,2015-10-27,2015-10-27,80.0,80.0,76.0,76.0,11200.0,bse_bhavcopy
INE043K01029,2010-10-27,2010-10-27,251.0,399.0,247.8,378.5,22935966.0,bse_bhavcopy
INE045J01034,2011-03-11,2011-03-11,80.0,157.9,74.1,140.9,34591514.0,bse_bhavcopy
INE04AK01028,2019-07-04,2019-07-04,22.0,23.1,22.0,23.1,606000.0,bse_bhavcopy
INE05FR01029,2021-03-17,2021-03-17,75.0,81.0,70.0,70.05,152000.0,bse_bhavcopy
INE060601031,2019-07-04,2019-07-04,36.0,36.15,36.0,36.05,525000.0,bse_bhavcopy
INE062Y01020,2017-10-09,2017-10-09,35.1,35.1,32.2,34.5,705000.0,bse_bhavcopy
INE08E401029,2019-09-05,2019-09-05,83.0,84.4,83.0,84.35,20800.0,bse_bhavcopy
INE0BDU01028,2020-03-25,2020-03-25,36.0,36.0,36.0,36.0,96000.0,bse_bhavcopy
INE0BLY01023,2020-11-02,2020-11-02,40.5,40.5,38.5,39.55,24000.0,bse_bhavcopy
INE0ID001024,2022-07-18,2022-07-18,27.0,27.0,25.65,25.65,708000.0,bse_bhavcopy
INE0K1401020,2022-03-30,2022-03-30,20.15,21.15,20.0,21.15,426000.0,bse_bhavcopy
INE0KKN01029,2022-09-05,2022-09-05,70.0,72.0,66.5,66.5,344000.0,bse_bhavcopy
INE105I01020,2007-08-21,2007-08-21,87.9,157.5,80.0,142.8,26924299.0,bse_bhavcopy
INE127T01021,2016-02-25,2016-02-25,72.0,72.0,70.0,70.95,106000.0,bse_bhavcopy
INE145Y01023,2017-09-05,2017-09-05,32.0,36.0,32.0,32.95,504000.0,bse_bhavcopy
INE174Q01011,2014-04-21,2014-04-21,67.0,69.3,65.0,67.5,202000.0,bse_bhavcopy
INE178O01025,2013-01-14,2013-01-14,24.5,26.0,24.15,25.55,138000.0,bse_bhavcopy
INE201K01015,2009-10-26,2009-10-26,100.0,170.0,100.0,164.3,17924873.0,bse_bhavcopy
INE206Z01020,2018-10-16,2018-10-16,36.0,37.8,36.0,37.8,216000.0,bse_bhavcopy
INE209O01028,2013-02-07,2013-02-07,25.25,26.5,25.25,26.5,858000.0,bse_bhavcopy
INE211P01021,2013-08-30,2013-08-30,23.8,26.25,23.8,23.8,798000.0,bse_bhavcopy
INE235G01011,2006-10-06,2006-10-06,19.35,19.35,14.9,16.2,9385025.0,bse_bhavcopy
INE278R01034,2018-04-02,2018-04-02,136.0,142.8,136.0,142.8,254041.0,bse_bhavcopy
INE285H01022,2006-09-25,2006-09-25,170.0,209.5,170.0,192.3,11203665.0,bse_bhavcopy
INE335I01056,2007-11-23,2007-11-23,21.0,41.25,21.0,37.7,27422665.0,bse_bhavcopy
INE341Z01025,2018-02-20,2018-02-21,153.95,153.95,150.0,150.1,123000.0,bse_bhavcopy
INE359U01028,2016-04-13,2016-04-13,12.6,12.6,12.6,12.6,10000.0,bse_bhavcopy
INE365S01045,2015-09-02,2015-09-02,45.0,47.25,45.0,45.0,72000.0,bse_bhavcopy
INE388G01026,2006-04-28,2006-04-28,180.0,254.0,180.0,220.0,10562372.0,bse_bhavcopy
INE402Y01028,2017-10-13,2017-10-13,156.0,156.0,131.0,132.0,256000.0,bse_bhavcopy
INE437O01025,2013-03-12,2013-03-12,26.25,26.25,26.25,26.25,12000.0,bse_bhavcopy
INE451S01027,2015-07-14,2015-07-14,10.25,10.5,10.25,10.5,40000.0,bse_bhavcopy
INE452S01025,2015-12-29,2015-12-29,64.7,64.7,63.65,64.4,334000.0,bse_bhavcopy
INE474O01010,2013-06-11,2013-06-11,10.0,10.5,10.0,10.5,780000.0,bse_bhavcopy
INE513R01026,2014-12-11,2014-12-11,41.9,41.9,39.85,39.85,117000.0,bse_bhavcopy
INE537U01037,2016-09-14,2016-09-14,24.0,24.0,21.75,21.8,270000.0,bse_bhavcopy
INE544W01021,2017-03-30,2017-03-30,23.0,25.55,23.0,25.1,312000.0,bse_bhavcopy
INE592O01019,2016-09-15,2016-09-15,9.99,10.95,9.63,9.7,230000.0,bse_bhavcopy
INE594W01042,2017-05-08,2017-05-08,10.8,14.5,10.8,13.25,800000.0,bse_bhavcopy
INE607V01028,2017-01-05,2017-01-05,42.75,46.0,42.75,46.0,75000.0,bse_bhavcopy
INE626Z01029,2018-04-25,2018-04-25,10.0,10.3,10.0,10.0,880000.0,bse_bhavcopy
INE630Y01024,2018-02-08,2018-02-08,100.0,100.0,90.0,97.15,494400.0,bse_bhavcopy
INE636N01016,2012-10-12,2012-10-12,26.85,28.15,26.85,27.15,432000.0,bse_bhavcopy
INE647N01021,2013-09-04,2013-09-04,35.0,36.0,35.0,35.8,48000.0,bse_bhavcopy
INE647Z01025,2018-10-23,2018-10-23,53.0,54.0,51.0,51.0,168000.0,bse_bhavcopy
INE653S01028,2015-07-10,2015-07-10,17.5,18.35,17.05,17.3,280000.0,bse_bhavcopy
INE684H01018,2007-07-19,2007-07-19,55.75,67.05,48.5,60.65,117103693.0,bse_bhavcopy
INE685Z01033,2018-07-09,2018-07-09,100.0,104.7,100.0,100.15,338400.0,bse_bhavcopy
INE688J01023,2009-08-03,2009-08-03,93.05,102.4,91.8,95.65,12818724.0,bse_bhavcopy
INE694X01030,2017-07-17,2017-07-17,21.0,21.0,19.9,20.7,390000.0,bse_bhavcopy
INE705X01026,2018-03-26,2018-03-26,15.01,15.76,15.01,15.76,120000.0,bse_bhavcopy
INE714U01024,2017-03-21,2017-03-21,19.8,20.05,16.6,20.05,420000.0,bse_bhavcopy
INE740X01023,2018-02-15,2018-02-15,10.2,10.2,8.25,9.25,370000.0,bse_bhavcopy
INE742R01013,2016-01-14,2016-01-14,26.75,28.05,25.45,27.35,576000.0,bse_bhavcopy
INE763I01026,2007-12-28,2007-12-28,701.1,813.75,685.2,728.0,2662545.0,bse_bhavcopy
INE800S01017,2015-10-19,2015-10-19,15.25,16.01,15.05,16.01,220000.0,bse_bhavcopy
INE818H01020,2006-12-18,2006-12-18,60.0,62.9,51.0,55.0,5413788.0,bse_bhavcopy
INE819S01025,2016-07-07,2016-07-07,133.0,138.0,131.3,134.6,28000.0,bse_bhavcopy
INE830N01015,2012-11-07,2012-11-07,16.7,17.1,16.0,16.3,200000.0,bse_bhavcopy
INE904R01027,2015-04-15,2015-04-15,14.25,14.25,14.25,14.25,8000.0,bse_bhavcopy
INE906O01029,2013-09-12,2013-09-12,69.2,69.2,69.1,69.1,4000.0,bse_bhavcopy
INE906Y01028,2019-10-09,2019-10-09,23.2,23.2,23.05,23.05,54000.0,bse_bhavcopy
INE911Z01025,2018-10-10,2018-10-10,61.0,62.0,61.0,61.25,526000.0,bse_bhavcopy
INE923Y01023,2018-02-16,2018-02-16,35.1,43.2,31.05,39.1,84000.0,bse_bhavcopy
INE700H01012,2006-09-25,2006-09-25,35.5,36.0,23.1,23.6,6977994.0,bse_bhavcopy
INE224B01024,2006-04-26,2006-04-26,37.05,41.0,36.6,37.05,1954874.0,bse_bhavcopy
INE979C01013,2006-04-28,2006-04-28,25.0,26.7,20.25,21.1,1784141.0,bse_bhavcopy
INE720H01010,2007-11-02,2007-11-02,42.0,59.0,40.05,43.5,4080181.0,bse_bhavcopy
INE989B01014,2007-09-25,2007-09-25,45.35,45.4,42.3,43.9,11477.0,bse_bhavcopy
INE213J01012,2008-10-13,2008-10-13,16.0,16.0,4.75,5.25,17400597.0,bse_bhavcopy
INE207I01016,2008-07-03,2008-07-03,13.9,20.0,11.35,11.9,35906256.0,bse_bhavcopy
INE450H01014,2008-06-04,2008-06-04,260.0,288.4,256.6,268.05,16491651.0,bse_bhavcopy
INE435H01015,2008-02-28,2008-02-28,48.0,66.0,47.0,52.7,31594603.0,bse_bhavcopy
INE091K01010,2010-08-04,2010-08-04,159.4,174.9,150.0,163.05,23854228.0,bse_bhavcopy
INE341L01017,2011-07-07,2011-07-07,10.1,30.7,10.1,25.35,135859684.0,bse_bhavcopy
INE926O01019,2013-09-26,2013-09-26,24.95,24.95,24.95,24.95,8000.0,bse_bhavcopy
INE006I01046,2007-03-20,2007-03-20,115.0,115.0,100.2,104.55,,bse_bhavcopy
INE022Q01020,2017-10-23,2017-10-23,1500.0,1658.0,1500.0,1626.45,,bse_bhavcopy
INE07O001026,2021-03-19,2021-03-19,206.0,233.15,187.0,208.3,,bse_bhavcopy
INE095N01031,2012-04-12,2012-04-12,100.0,101.0,95.05,97.05,,bse_bhavcopy
INE0CCU25019,2020-08-07,2020-08-07,304.0,308.9,299.0,303.87,,bse_bhavcopy
INE0FDU25010,2021-02-16,2021-02-16,275.05,280.05,258.35,269.96,,bse_bhavcopy
INE0GGX23010,2021-05-14,2021-05-14,104.0,104.97,102.84,102.98,,bse_bhavcopy
INE0NDH25011,2023-05-19,2023-05-19,102.27,104.9,102.27,104.26,,bse_bhavcopy
INE0NHL23019,2024-03-12,2024-03-12,101.0,104.0,101.0,103.05,,bse_bhavcopy
INE0Z8Z23013,2025-01-17,2025-01-17,99.0,99.49,98.57,99.01,,bse_bhavcopy
INE170V01027,2017-07-25,2017-07-25,259.15,272.1,250.0,272.1,,bse_bhavcopy
INE190H01024,2006-03-08,2006-03-08,65.0,65.0,45.25,46.95,,bse_bhavcopy
INE1UA823019,2025-10-17,2025-10-17,105.0,108.23,105.0,106.25,,bse_bhavcopy
INE200M01039,2016-11-08,2016-11-08,430.0,471.0,417.1,461.9,,bse_bhavcopy
INE213M01024,2012-07-18,2012-07-18,55.8,56.0,53.05,55.05,,bse_bhavcopy
INE244B01030,2006-05-24,2006-05-24,419.75,440.0,419.75,420.45,,bse_bhavcopy
INE286H01012,2006-03-17,2006-03-17,58.9,61.9,49.55,57.15,,bse_bhavcopy
INE297H01019,2006-04-04,2006-04-04,11.05,14.4,10.05,14.1,,bse_bhavcopy
INE305H01010,2006-03-02,2006-03-02,125.0,175.6,120.0,156.2,,bse_bhavcopy
INE338I01027,2007-09-11,2007-09-11,999.0,999.0,913.0,977.45,,bse_bhavcopy
INE350H01032,2006-03-17,2006-03-17,749.9,1036.9,749.9,972.7,,bse_bhavcopy
INE383H01017,2006-04-05,2006-04-05,31.9,36.4,30.35,32.2,,bse_bhavcopy
INE400H01019,2006-04-05,2006-04-05,37.0,44.4,37.0,41.7,,bse_bhavcopy
INE483S01020,2016-04-04,2016-04-04,458.0,466.9,439.9,445.7,,bse_bhavcopy
INE489H01020,2007-06-05,2007-06-05,332.5,502.7,332.5,484.1,,bse_bhavcopy
INE508G01029,2007-06-13,2007-06-13,415.55,498.0,415.55,480.35,,bse_bhavcopy
INE528G01035,2020-07-27,2020-07-27,12.3,12.3,12.3,12.3,,bse_bhavcopy
INE538H01016,2007-01-10,2007-01-10,189.9,248.1,185.1,226.5,,bse_bhavcopy
INE619A01035,2022-04-08,2022-04-08,850.0,940.0,825.7,924.85,,bse_bhavcopy
INE663F01032,2006-11-21,2006-11-21,480.0,623.8,480.0,593.2,,bse_bhavcopy
INE668F01031,2007-12-19,2007-12-19,799.0,880.0,752.6,793.7,,bse_bhavcopy
INE669E01016,2024-04-25,2024-04-25,12.0,13.98,12.0,13.89,,bse_bhavcopy
INE683A01023,2006-03-07,2006-03-07,65.75,65.75,63.8,64.7,,bse_bhavcopy
INE785M01021,2012-12-27,2012-12-27,135.5,154.75,135.5,149.0,,bse_bhavcopy
INE891A01014,2006-05-19,2006-05-19,327.6,327.6,327.6,327.6,,bse_bhavcopy
INE951I01027,2008-03-14,2008-03-14,73.9,74.5,66.15,69.05,,bse_bhavcopy
INE066O01014,2014-05-09,2014-05-09,164.75,164.75,164.75,164.75,,verified_agent_2026-06-01
INE00KV01022,2018-10-08,2018-10-08,35.0,35.0,33.25,33.25,,own_prices|high
INE00Y701026,2019-09-12,2019-09-12,36.0,36.0,36.0,36.0,,own_prices|medium
INE00Z501029,2018-10-10,2018-10-10,34.1,35.0,32.75,33.7,,own_prices|medium
INE01GN01025,2018-10-23,2018-10-23,92.0,92.9,89.0,90.0,,own_prices|medium
INE01KI01027,2018-10-11,2018-10-11,40.5,42.5,40.5,42.4,,own_prices|medium
INE028A01039,2006-02-06,2006-02-06,230.0,237.3,230.0,233.7,,own_prices|medium
INE02WG01024,2019-08-06,2019-08-06,93.0,93.0,93.0,93.0,,external_ipocentral_chittorgarh|medium
INE032Z01020,2018-04-25,2018-04-25,60.0,63.0,57.0,63.0,,own_prices|medium
INE06IR01021,2019-04-05,2019-04-05,255.0,267.75,255.0,267.6,,own_prices|medium
INE07S101038,2021-03-09,2021-03-09,165.6,166.5,165.05,165.5,,own_prices|medium
INE087Z01024,2018-04-27,2018-04-27,55.75,57.0,53.0,57.0,,own_prices|medium
INE098201036,2020-01-13,2020-01-13,24.1,25.0,23.3,24.8,,own_prices|medium
INE0A0S01028,2020-10-19,2020-10-19,46.0,46.0,45.1,45.1,,own_prices|medium
INE0ALR01029,2020-10-15,2020-10-15,70.2,70.2,66.7,66.7,,own_prices|medium
INE0APB01032,2019-11-27,2019-11-27,53.0,55.65,51.5,51.5,,own_prices|medium
INE0D6I01023,2020-07-06,2020-07-06,101.95,106.9,101.95,106.9,,own_prices|medium
INE0EEJ01023,2020-10-21,2020-10-21,95.0,97.5,94.0,95.8,,own_prices|medium
INE0LCW01025,2022-09-22,2022-09-22,82.0,86.1,77.9,82.8,,own_prices|medium
INE106T01025,2016-02-25,2016-02-25,60.0,60.0,54.0,58.75,,own_prices|medium
INE112X01025,2017-04-18,2017-04-18,34.4,35.5,34.1,35.2,,own_prices|medium
INE188Y01031,2017-11-24,2017-11-24,113.0,129.6,113.0,129.6,,own_prices|medium
INE262Z01023,2018-06-05,2018-06-05,68.0,68.0,64.6,66.2,,own_prices|medium
INE291W01037,2017-03-02,2017-03-02,180.0,180.0,180.0,180.0,,own_prices|high
INE324X01026,2018-03-15,2018-03-15,83.0,83.0,68.05,70.55,,own_prices|medium
INE338Y01016,2024-03-28,2024-03-28,76.6,76.6,76.6,76.6,,own_prices|medium
INE405Y01021,2017-10-10,2017-10-10,27.3,29.6,26.3,26.3,,own_prices|medium
INE434A01013,2006-02-07,2006-02-07,91.9,91.9,90.0,90.35,,own_prices|medium
INE581X01021,2017-06-23,2017-06-23,50.0,52.0,43.7,50.15,,own_prices|medium
INE593W01028,2017-04-13,2017-04-13,54.0,54.0,54.0,54.0,,own_prices|high
INE632X01030,2017-07-18,2017-07-18,41.9,48.0,41.9,48.0,,own_prices|medium
INE652Z01025,2018-07-26,2018-07-26,51.65,51.65,51.65,51.65,,external_investorzone_chittorgarh|medium
INE688Y01022,2018-09-03,2018-09-03,89.9,94.35,89.5,94.35,,own_prices|high
INE691Z01023,2018-07-11,2018-07-11,21.1,21.3,21.0,21.2,,own_prices|medium
INE813V01022,2020-02-06,2020-02-06,102.0,102.0,98.1,99.75,,own_prices|medium
INE964W01021,2017-04-18,2017-04-18,72.0,72.05,70.2,72.0,,own_prices|medium
INE972X01022,2017-08-22,2017-08-22,71.9,73.0,66.55,70.35,,own_prices|medium
INE997Y01027,2018-04-02,2018-04-02,21.0,21.0,21.0,21.0,,own_prices|medium
