isin,latest_name,note
INE07T201019,Restaurant Brands Asia Ltd.,Burger King India renamed to Restaurant Brands Asia (RBA) — human-verified
INE00FF01025,Acutaas Chemicals Ltd.,Ami Organics renamed to Acutaas Chemicals (ACUTAAS) — human-verified
INE758T01015,Eternal Ltd.,Zomato renamed to Eternal (ETERNAL) — human-verified
INE382M01027,United Foodbrands Ltd.,Barbeque-Nation renamed to United Foodbrands (BARBEQUE->UFBL) — human-verified
INE035801013,Aeroflex Neu Ltd.,Sah Polymers renamed to Aeroflex Neu (SAH->AERONEU) — human-verified
INE619A01035,Patanjali Foods Ltd.,Ruchi Soya renamed to Patanjali Foods (PATANJALI) — human-verified
INE699H01024,AWL Agri Business Ltd.,Adani Wilmar renamed to AWL Agri Business (AWL) — human-verified
INE0UIZ01018,BlackBuck Ltd.,Zinka Logistics trades as BlackBuck (BLACKBUCK) — human-verified
INE0AQ201015,The Leela Palaces Hotels & Resorts Ltd.,Schloss Bangalore trades as The Leela (THELEELA) — human-verified
INE0GGO01015,Krishival Foods Ltd.,Empyrean Cashews renamed to Krishival Foods (KRISHIVAL) — human-verified
INE0OYE01013,Quest Flow Controls Ltd.,Meson Valves India renamed to Quest Flow Controls (QUESTFLOW) — BSE scrip — human-verified
INE0QXT01018,Dolphin Kitchen Utensils and Appliances Ltd.,Sai Swami Metals renamed to Dolphin Kitchen Utensils (DKUAL) — human-verified
INE0M3I01029,Dhansa Labs Ltd.,Ambey Laboratories renamed to Dhansa Labs (Mar 2026) — human-verified
INE0H9P01028,Arisinfra Solutions Ltd.,ticker shortened ARISINFRA->ARIS; name unchanged — human-verified
INE0M4D01010,Standard Glass Lining Technology Ltd.,ticker SGLTL->SETL; name unchanged — human-verified
