isin,bse_code,nse_symbol,company,type,gap,listing_date,rec_date,open,high,low,close,volume,issue_price,chittor_listing_open,source
INE012Q01039,538119,RNBDENIMS,R&B Denims Ltd.,SME,none_listing_era,2014-04-22,2014-04-22,10.55,11.05,10.55,11.05,1170000,10.00,10.55,bse_bhavcopy
INE02EZ01022,542285,AXITA,Axita Cotton Ltd.,SME,none_listing_era,2019-01-10,2019-01-10,61.00,64.05,61.00,62.10,632000,60.00,61.00,bse_bhavcopy
INE030T01027,539428,,Tejnaksh Healthcare Ltd.,SME,none_listing_era,2015-10-27,2015-10-27,80.00,80.00,76.00,76.00,11200,80.00,80.00,bse_bhavcopy
INE043K01029,533276,BSLIMITED,BS Transcomm Ltd.,MB,none_listing_era,2010-10-27,2010-10-27,251.00,399.00,247.80,378.50,22935966,248.00,251.00,bse_bhavcopy
INE045J01034,533333,FCL,Fineotex Chemical Ltd.,MB,none_listing_era,2011-03-11,2011-03-11,80.00,157.90,74.10,140.90,34591514,70.00,80.00,bse_bhavcopy
INE04AK01028,542725,SBC,SBC Exports Ltd.,SME,none_listing_era,2019-07-04,2019-07-04,22.00,23.10,22.00,23.10,606000,22.00,22.00,bse_bhavcopy
INE05FR01029,542579,,Ashapuri Gold Ornament Ltd. FPO,SME,none_listing_era,2021-03-17,2021-03-17,75.00,81.00,70.00,70.05,152000,81.00,,bse_bhavcopy
INE060601031,542724,,Earum Pharmaceuticals Ltd.,SME,none_listing_era,2019-07-04,2019-07-04,36.00,36.15,36.00,36.05,525000,36.00,36.00,bse_bhavcopy
INE062Y01020,540730,,Mehai Technology Ltd.,SME,none_listing_era,2017-10-09,2017-10-09,35.10,35.10,32.20,34.50,705000,40.00,35.10,bse_bhavcopy
INE08E401029,542770,,Alphalogic Techsys Ltd.,SME,none_listing_era,2019-09-05,2019-09-05,83.00,84.40,83.00,84.35,20800,84.00,83.00,bse_bhavcopy
INE0BDU01028,543171,,RO Jewels Ltd.,SME,none_listing_era,2020-03-25,2020-03-25,36.00,36.00,36.00,36.00,96000,36.00,36.00,bse_bhavcopy
INE0BLY01023,543244,,Shine Fashions (India) Ltd.,SME,none_listing_era,2020-11-02,2020-11-02,40.50,40.50,38.50,39.55,24000,40.00,40.50,bse_bhavcopy
INE0ID001024,543545,,Veerkrupa Jewellers Ltd.,SME,none_listing_era,2022-07-18,2022-07-18,27.00,27.00,25.65,25.65,708000,27.00,27.00,bse_bhavcopy
INE0K1401020,543499,,Achyut Healthcare Ltd.,SME,none_listing_era,2022-03-30,2022-03-30,20.15,21.15,20.00,21.15,426000,20.00,20.15,bse_bhavcopy
INE0KKN01029,543590,RHETAN,Rhetan TMT Ltd.,SME,none_listing_era,2022-09-05,2022-09-05,70.00,72.00,66.50,66.50,344000,70.00,70.00,bse_bhavcopy
INE105I01020,532886,SELMC,SEL Manufacturing Co.Ltd.,MB,none_listing_era,2007-08-21,2007-08-21,87.90,157.50,80.00,142.80,26924299,90.00,87.90,bse_bhavcopy
INE127T01021,539686,KPEL,K.P.Energy Ltd.,SME,none_listing_era,2016-02-25,2016-02-25,72.00,72.00,70.00,70.95,106000,70.00,72.00,bse_bhavcopy
