isin,listing_date,open,high,low,close,source,confidence
INE006I01046,2007-03-20,115.00,115.00,100.20,104.55,bse_bhavcopy,high
INE022Q01020,2017-10-23,1500.00,1658.00,1500.00,1626.45,bse_bhavcopy,high
INE07O001026,2021-03-19,206.00,233.15,187.00,208.30,bse_bhavcopy,high
INE095N01031,2012-04-12,100.00,101.00,95.05,97.05,bse_bhavcopy,high
INE0CCU25019,2020-08-07,304.00,308.90,299.00,303.87,bse_bhavcopy,high
INE0FDU25010,2021-02-16,275.05,280.05,258.35,269.96,bse_bhavcopy,high
INE0GGX23010,2021-05-14,104.00,104.97,102.84,102.98,bse_bhavcopy,high
INE0NDH25011,2023-05-19,102.27,104.90,102.27,104.26,bse_bhavcopy,high
INE0NHL23019,2024-03-12,101.00,104.00,101.00,103.05,bse_bhavcopy,high
INE0Z8Z23013,2025-01-17,99.00,99.49,98.57,99.01,bse_bhavcopy,high
INE170V01027,2017-07-25,259.15,272.10,250.00,272.10,bse_bhavcopy,high
INE190H01024,2006-03-08,65.00,65.00,45.25,46.95,bse_bhavcopy,high
INE1UA823019,2025-10-17,105.00,108.23,105.00,106.25,bse_bhavcopy,high
INE200M01039,2016-11-08,430.00,471.00,417.10,461.90,bse_bhavcopy,high
INE213M01024,2012-07-18,55.80,56.00,53.05,55.05,bse_bhavcopy,high
INE244B01030,2006-05-24,419.75,440.00,419.75,420.45,bse_bhavcopy,high
INE286H01012,2006-03-17,58.90,61.90,49.55,57.15,bse_bhavcopy,high
INE297H01019,2006-04-04,11.05,14.40,10.05,14.10,bse_bhavcopy,high
INE305H01010,2006-03-02,125.00,175.60,120.00,156.20,bse_bhavcopy,high
INE338I01027,2007-09-11,999.00,999.00,913.00,977.45,bse_bhavcopy,high
INE350H01032,2006-03-17,749.90,1036.90,749.90,972.70,bse_bhavcopy,high
INE383H01017,2006-04-05,31.90,36.40,30.35,32.20,bse_bhavcopy,high
INE400H01019,2006-04-05,37.00,44.40,37.00,41.70,bse_bhavcopy,high
INE483S01020,2016-04-04,458.00,466.90,439.90,445.70,bse_bhavcopy,high
INE489H01020,2007-06-05,332.50,502.70,332.50,484.10,bse_bhavcopy,high
INE508G01029,2007-06-13,415.55,498.00,415.55,480.35,bse_bhavcopy,high
INE528G01035,2020-07-27,12.30,12.30,12.30,12.30,bse_bhavcopy,high
INE538H01016,2007-01-10,189.90,248.10,185.10,226.50,bse_bhavcopy,high
INE619A01035,2022-04-08,850.00,940.00,825.70,924.85,bse_bhavcopy,high
INE663F01032,2006-11-21,480.00,623.80,480.00,593.20,bse_bhavcopy,high
INE668F01031,2007-12-19,799.00,880.00,752.60,793.70,bse_bhavcopy,high
INE669E01016,2024-04-25,12.00,13.98,12.00,13.89,bse_bhavcopy,high
INE683A01023,2006-03-07,65.75,65.75,63.80,64.70,bse_bhavcopy,high
INE785M01021,2012-12-27,135.50,154.75,135.50,149.00,bse_bhavcopy,high
INE891A01014,2006-05-19,327.60,327.60,327.60,327.60,bse_bhavcopy,medium
INE951I01027,2008-03-14,73.90,74.50,66.15,69.05,bse_bhavcopy,high
