isin,company,source,pre_ipo_fin_year,net_sales_cr,pat_cr,operating_profit_cr,debt_equity,verify_method,confidence,why,raw_rev_nums,raw_pat_nums,year_headers,unit,pnl_page
INE093I01010,Oberoi Realty Ltd.,SEBI-DRHP,2010,5.49,28.22,28.22,,"cover_ok(ratio=1.00,date=); pnl_page=52(score=8,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1294997993862.pdf",low,"pat_exceeds_sales(sales=5.49,pat=28.22)","[0.7, 81.02, 288.53, 153.92, 54.89, 66.73]","[355.77, 603.75, 962.22, 487.3, 282.18, 144.86]","[2006, 2007, 2008, 2009, 2010, 2010]",million,52
INE599M01018,Just Dial Ltd.,SEBI-DRHP,2009,91.81,7.54,9.98,,"cover_ok(ratio=1.00,date=); pnl_page=198(score=9,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1369998042008.pdf",low,"wrong_fy(picked=2009,preFY=2013)","[2716.14, 2752.15, 1876.6, 1347.63, 918.14, 716.03]","[470.78, 504.22, 288.25, 193.25, 75.41, 20.89]","[2009, 2008]",million,198
INE811K01011,Prestige Estates Projects Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291277678377.pdf,low,no_restated_pnl_page,null,null,null,,
INE791I01019,Brigade Enterprises Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291966152425.pdf,low,no_restated_pnl_page,null,null,null,,
INE323I01011,Puravankara Projects Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=51(score=2,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291711573104.pdf",low,pnl_lines_not_parsed,null,null,"[2004, 2005, 2006]",million,51
INE821I01022,IRB Infrastructure Developers Ltd.,SEBI-DRHP,2007,3.26,-0.01,-0.01,,"cover_ok(ratio=1.00,date=); pnl_page=351(score=10,standalone); unit=thousand; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1290849869454.pdf",low,"col_count_mismatch(nrev=3,npat=6)","[32612.0, 86786.0, 96000.0]","[15662.0, 73445.0, 134910.0, -123.0, 77.0, 389.0]","[2007, 2005, 2004]",thousand,351
INE785M01021,PC Jeweller Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=54(score=6,consol); unit=unknown; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1355997617858.pdf",low,unit_unknown,"[18557.0, 30419.27]","[1423.45, 2296.85]",[],unknown,54
INE671H01015,Sobha Developers Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=219(score=2,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1292303873443.pdf",low,pnl_lines_not_parsed,[18.16],null,"[2005, 2006]",million,219
INE800H01010,Omaxe Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=57(score=8,consol); unit=unknown; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1292411967634.pdf",low,unit_unknown,"[5897.66, 8137.95, 3954.71, 2834.92, 1453.13, 559.19]","[1031.18, 1207.31, 132.8, 108.2, 49.72, 15.79]","[2006, 2006, 2005, 2004, 2003, 2002]",unknown,57
INE517F01014,Gujarat Pipavav Port Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1287470984213.pdf,low,no_restated_pnl_page,null,null,null,,
INE874I01013,Ramky Infrastructure Ltd.,SEBI-DRHP,2007,735.7,40.03,55.59,,"cover_ok(ratio=1.00,date=); pnl_page=51(score=8,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1288346567322.pdf",low,"wrong_fy(picked=2007,preFY=2010)","[7357.04, 10104.58, 12327.11, 7043.35]","[400.33, 431.04, 462.31, 264.32]","[2007, 2008, 2009, 2009]",million,51
INE542F01020,Pipavav Shipyard Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1289541229685.pdf,low,no_restated_pnl_page,null,null,null,,
INE814H01029,Adani Power Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=53(score=7,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1290067921102.pdf",low,pnl_lines_not_parsed,null,"[-24.04, -71.79]",[],million,53
INE274J01014,Oil India Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=203(score=11,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1289624011284.pdf",low,pnl_lines_not_parsed,"[19020.73, 23126.63, 71397.19, 59653.05, 52850.89, 54705.79, 38415.38]",null,"[2009, 2008, 2009, 2008, 2007, 2006, 2005]",million,203
INE002L01015,SJVN Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1288167789807.pdf,low,no_restated_pnl_page,null,null,null,,
INE099J01015,Jaypee Infratech Ltd.,SEBI-DRHP,2009,525.5,266.73,,,"cover_ok(ratio=1.00,date=); pnl_page=243(score=11,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1288085706477.pdf",low,"col_count_mismatch(nrev=2,npat=3)","[5254.95, 5545.43]","[3988.52, 2667.31, -113.69]","[2009, 2008]",million,243
INE429I01024,Consolidated Construction Consortium Ltd.,SEBI-DRHP,2007,40.38,47.68,,,"cover_ok(ratio=1.00,date=); pnl_page=34(score=5,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291887945172.pdf",low,"pat_exceeds_sales(sales=40.38,pat=47.68)","[403.8, 204.18, 115.49, 70.34, 47.23]","[476.77, 189.86, 79.81, 41.2, 31.56]","[2007, 2006, 2005, 2004, 2003]",million,34
INE668F01031,Jyothy Laboratories Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1293525045169.pdf,low,no_restated_pnl_page,null,null,null,,
INE933K01021,Bajaj Corp Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=125(score=9,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1288345787608.pdf",low,pnl_lines_not_parsed,null,"[-0.02, -0.63, 469.92, 564.97]","[2007, 2008, 2009]",million,125
INE998I01010,Mahindra Holidays & Resorts India Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=238(score=6,consol); unit=unknown; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1289882738866.pdf",low,unit_unknown,null,"[79.8, 18.05, 84.04, 22.28, 42.53, 17.63, 20.04, 12.79]","[2009, 2008, 2007, 2006]",unknown,238
INE018I01017,MindTree Consulting Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=68(score=2,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291787203014.pdf",low,pnl_lines_not_parsed,null,null,"[2004, 2005]",million,68
INE956G01038,VA Tech Wabag Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1287656411921.pdf,low,no_restated_pnl_page,null,null,null,,
INE950I01011,D B Corp Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=344(score=8,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1289381639008.pdf",low,"gate(years=[],pickFY=None,preFY=2009,fy_ok=False,nrev=6,npat=6,sales=None,pat=None,pos=False,margin=False,ncols=True)","[2158.65, 1958.96, 1741.45, 1746.95, 1126.55, 1046.1]","[359.03, 697.79, 548.11, 347.45, 909.66, -25.9]",[],million,344
INE066O01014,Wonderla Holidays Ltd.,SEBI-DRHP,,,,,,cover_ok(ratio=1.00) but no_restated_pnl_page; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1399460865060.pdf,low,no_restated_pnl_page,null,null,null,,
INE442H01029,Ashoka Buildcon Ltd.,SEBI-DRHP,,,,,,"cover_ok(ratio=1.00,date=); pnl_page=60(score=9,consol); unit=unknown; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1287656492405.pdf",low,unit_unknown,"[775.59, 808.58, 677.83, 480.18, 247.38]","[858.82, 383.02, 365.15, 244.25, 30.65]","[2010, 2009, 2008, 2007, 2006]",unknown,60
