isin,company,source,pre_ipo_fin_year,net_sales_cr,pat_cr,operating_profit_cr,debt_equity,verify_method,confidence
INE522F01014,Coal India Ltd.,SEBI-DRHP,2010,44615.25,9833.7,,,"cover_ok(ratio=1.00,date=); pnl_page=288(score=10,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291277168136.pdf",high
INE271C01023,DLF Ltd.,SEBI-DRHP,2007,4034.1,2549.5,2549.5,,"cover_ok(ratio=1.00,date=); pnl_page=355(score=9,consol); unit=crore; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291871042476.pdf",high
INE742F01042,Mundra Port & Special Economic Zone Ltd.,SEBI-DRHP,2007,579.74,187.44,,,"cover_ok(ratio=1.00,date=); pnl_page=43(score=11,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291953481172.pdf",high
INE200M01039,Varun Beverages Ltd.,SEBI-DRHP,2015,3905.89,87.04,,,"cover_ok(ratio=1.00,date=); pnl_page=64(score=8,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1466744669824.pdf",high
INE910H01017,Cairn India Ltd.,SEBI-DRHP,2006,353.2,27.4,,,"cover_ok(ratio=1.00,date=); pnl_page=231(score=4,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1292323115043.pdf",high
INE121E01018,JSW Energy Ltd.,SEBI-DRHP,2009,863.59,267.58,346.44,,"cover_ok(ratio=1.00,date=); pnl_page=66(score=11,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1289381597416.pdf",high
INE008I01026,Cox & Kings (India) Ltd.,SEBI-DRHP,2009,286.9,63.44,,,"cover_ok(ratio=1.00,date=); pnl_page=238(score=8,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1289381548065.pdf",high
INE061F01013,Fortis Healthcare Ltd.,SEBI-DRHP,2006,97.73,-28.03,,,"cover_ok(ratio=1.00,date=); pnl_page=219(score=3,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291884229608.pdf",high
INE561H01026,Parsvnath Developers Ltd.,SEBI-DRHP,2006,246.87,36.55,54.2,,"cover_ok(ratio=1.00,date=); pnl_page=38(score=8,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1292385027630.pdf",high
INE745G01043,Multi Commodity Exchange of India Ltd.,SEBI-DRHP,2011,368.89,173.1,245.75,,"cover_ok(ratio=1.00,date=); pnl_page=58(score=11,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1331110322586.pdf",high
INE191I01012,Housing Development & Infrastructure Ltd.,SEBI-DRHP,2007,1204.19,548.0,625.11,,"cover_ok(ratio=1.00,date=July 5, 2007); pnl_page=40(score=8,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291797126045.pdf",high
INE848E01016,NHPC Ltd.,SEBI-DRHP,2009,3444.78,1244.15,,,"cover_ok(ratio=1.00,date=); pnl_page=249(score=9,consol); unit=crore; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1289808171416.pdf",high
INE490G01020,MOIL Ltd.,SEBI-DRHP,2010,635.05,330.72,494.78,,"cover_ok(ratio=1.00,date=); pnl_page=44(score=10,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1294035222486.pdf",high
INE621H01010,Religare Enterprises Ltd.,SEBI-DRHP,2007,283.57,27.49,,,"cover_ok(ratio=1.00,date=); pnl_page=451(score=11,consol); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1291954751766.pdf",high
INE221J01015,Sharda Cropchem Ltd.,SEBI-DRHP,2014,781.91,106.9,148.37,,"cover_ok(ratio=1.00,date=); pnl_page=60(score=3,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1411104729220.pdf",high
INE312H01016,Inox Leisure Ltd.,SEBI-DRHP,2005,61.48,7.22,14.1,,"cover_ok(ratio=1.00,date=); pnl_page=171(score=11,standalone); unit=million; pdf=https://www.sebi.gov.in/sebi_data/attachdocs/1292477212251.pdf",high
