isin,company,preFY,slug,page_name,name_ok,preFY_present,pat,verify
INE302M01033,Prabhat Dairy Ltd.,2015,nse:PRABHAT,Madhyam Agrivet Industries Ltd,False,True,3.6,STAGED(rename-code-verified)
INE200M01039,Varun Beverages Ltd.,2016,bse:540180,Varun Beverages Ltd,True,False,,no-page/no-financials
INE264T01014,Capacit'e Infraprojects Ltd.,2017,bse:540710,Capacite Infraprojects Ltd,False,True,69.0,STAGED(rename-code-verified)
INE285J01028,Security & Intelligence Services (India) Ltd.,2017,bse:540673,SIS Ltd,False,True,54.0,STAGED(rename-code-verified)
INE219X23014,IndiGrid Infrastructure Trust InvIT,2017,bse:540565,IndiGrid Infrastructure Trust,True,False,,page-found-but-preFY-off-window earliest=2014
INE278R01034,Karda Constructions Ltd.,2018,bse:541161,Dharan Infra-EPC Ltd,False,True,13.0,STAGED(rename-code-verified)
INE00M201021,Sterling & Wilson Solar Ltd.,2019,bse:542760,Sterling &amp; Wilson Renewable Energy Ltd,False,True,196.0,STAGED(rename-code-verified)
INE382T01014,Fourth Dimension Solutions Ltd.,2015,,,False,False,,no-page/no-financials
INE742R01013,OFS Technologies Ltd.,2015,,,False,False,,no-page/no-financials
INE800S01017,Cawasji Behramji Catering Services Ltd.,2015,,,False,False,,no-page/no-financials
INE256S01012,Vaksons Automobiles Ltd.,2015,bse:539402,Naksh Precious Metals Ltd,False,True,0.18,STAGED(rename-code-verified)
INE725P01012,H.K.Trade International Ltd.,2015,bse:539337,Waaree Technologies Ltd,False,True,0.11,STAGED(rename-code-verified)
INE365S01045,Oyeeee Media Ltd.,2015,bse:539310,Thinkink Picturez Ltd,False,True,0.28,STAGED(rename-code-verified)
INE480S01026,Gala Print City Ltd.,2015,bse:539228,Gala Global Products Ltd,False,True,0.11,STAGED(rename-code-verified)
INE027T01023,M.D.Inducto Cast Ltd.,2015,bse:539226,Rudra Global Infra Products Ltd,False,True,6.0,STAGED(rename-code-verified)
INE451S01027,VMV Holidays Ltd.,2015,bse:539222,Growington Ventures India Ltd,False,True,-0.0,STAGED(rename-code-verified)
INE653S01028,Junction Fabrics & Apparels Ltd.,2015,bse:539216,Garment Mantra Lifestyle Ltd,False,True,0.0,STAGED(rename-code-verified)
