isin,name,preFY,landing_url
INE522F01014,Coal India Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/nov-2010/coal-india-limited_7391.html
INE271C01023,DLF Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/jun-2007/dlf-limited_9082.html
INE742F01042,Mundra Port & Special Economic Zone Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/nov-2007/mundra-port-and-special-economic-zone-limited_9514.html
INE093I01010,Oberoi Realty Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/oct-2010/oberoi-realty-limited_14289.html
INE599M01018,Just Dial Ltd.,2013,https://www.sebi.gov.in/filings/public-issues/may-2013/just-dial-limited_24844.html
INE811K01011,Prestige Estates Projects Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/oct-2010/prestige-estates-projects-limited_7403.html
INE200M01039,Varun Beverages Ltd.,2016,https://www.sebi.gov.in/filings/public-issues/jun-2016/varun-beverages-limited_32675.html
INE791I01019,Brigade Enterprises Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/dec-2007/brigade-enterprises-limited_9723.html
INE323I01011,Puravankara Projects Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/jan-2007/puravankara-projects-limited_8418.html
INE821I01022,IRB Infrastructure Developers Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/feb-2008/irb-infrastructure-developers-limited_6246.html
INE910H01017,Cairn India Ltd.,2006,https://www.sebi.gov.in/filings/public-issues/oct-2006/cairn-india-limited_10788.html
INE121E01018,JSW Energy Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/dec-2009/jsw-energy-limited_3146.html
INE785M01021,PC Jeweller Ltd.,2012,https://www.sebi.gov.in/filings/public-issues/dec-2012/pc-jeweller-limited_23991.html
INE671H01015,Sobha Developers Ltd.,2006,https://www.sebi.gov.in/filings/public-issues/aug-2006/sobha-developers-limited_10472.html
INE008I01026,Cox & Kings (India) Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/dec-2009/cox-and-kings-india-limited_3145.html
INE061F01013,Fortis Healthcare Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/apr-2007/fortis-healthcare-limited_9348.html
INE800H01010,Omaxe Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/dec-2006/omaxe-limited_11100.html
INE561H01026,Parsvnath Developers Ltd.,2006,https://www.sebi.gov.in/filings/public-issues/nov-2006/parsvnath-developers-limited_10860.html
INE517F01014,Gujarat Pipavav Port Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/sep-2010/gujarat-pipavav-port-limited_139.html
INE874I01013,Ramky Infrastructure Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/mar-2010/ramky-infrastructure-limited_2391.html
INE745G01043,Multi Commodity Exchange of India Ltd.,2011,https://www.sebi.gov.in/filings/public-issues/mar-2012/multi-commodity-exchange-of-india-limited_22301.html
INE542F01020,Pipavav Shipyard Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/oct-2009/pipavav-shipyard-limited_3720.html
INE191I01012,Housing Development & Infrastructure Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/jul-2007/housing-development-and-infrastructure-limited_8813.html
INE814H01029,Adani Power Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/apr-2009/adani-power-limited_5208.html
INE848E01016,NHPC Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/aug-2009/nhpc-limited_4349.html
INE274J01014,Oil India Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/sep-2009/oil-india-limited_4074.html
INE002L01015,SJVN Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/may-2010/sjvn-limited_1641.html
INE490G01020,MOIL Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/dec-2010/moil-limited_14132.html
INE099J01015,Jaypee Infratech Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/jun-2010/jaypee-infratech-limited_1315.html
INE621H01010,Religare Enterprises Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/nov-2007/religare-enterprises-limited_9516.html
INE429I01024,Consolidated Construction Consortium Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/oct-2007/prospectus-consolidated-construction-consortium-limited_9391.html
INE668F01031,Jyothy Laboratories Ltd.,2007,https://www.sebi.gov.in/filings/public-issues/jun-2007/jyothy-laboratories-limited_13610.html
INE933K01021,Bajaj Corp Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/mar-2010/bajaj-corp-limited_2379.html
INE998I01010,Mahindra Holidays & Resorts India Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/jul-2009/mahindra-holidays-and-resorts-india-limited_4588.html
INE221J01015,Sharda Cropchem Ltd.,2014,https://www.sebi.gov.in/filings/public-issues/sep-2014/sharda-cropchem-limited_28010.html
INE018I01017,MindTree Consulting Ltd.,2006,https://www.sebi.gov.in/filings/public-issues/feb-2007/mindtree-consulting-limited_8674.html
INE312H01016,Inox Leisure Ltd.,2005,https://www.sebi.gov.in/filings/public-issues/jan-2006/inox-leisure-ltd_11198.html
INE956G01038,VA Tech Wabag Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/oct-2010/va-tech-wabag-limited_331.html
INE950I01011,D B Corp Ltd.,2009,https://www.sebi.gov.in/filings/public-issues/dec-2009/d-b-corp-limited_3147.html
INE066O01014,Wonderla Holidays Ltd.,2014,https://www.sebi.gov.in/filings/public-issues/may-2014/wonderla-holidays-limited_26845.html
INE442H01029,Ashoka Buildcon Ltd.,2010,https://www.sebi.gov.in/filings/public-issues/oct-2010/ashoka-buildcon-limited_333.html
